Date,1day,2day,3day
15-Feb,1.35,1.3023,1.2553
16-Feb,1.4469,1.3984,1.3505
17-Feb,1.5456,1.4962,1.4475
18-Feb,1.6459,1.5957,1.5461
19-Feb,1.748,1.6969,1.6465
20-Feb,1.8517,1.7998,1.7485
21-Feb,1.9572,1.9044,1.8523
22-Feb,2.0643,2.0107,1.9577
23-Feb,2.1732,2.1187,2.0649
24-Feb,2.2837,2.2284,2.1737
25-Feb,2.396,2.3398,2.2843
26-Feb,2.5099,2.4529,2.3965
27-Feb,2.6256,2.5677,2.5105
28-Feb,2.7429,2.6842,2.6261
29-Feb,2.8,2.7715,2.7228
1-Mar,2.862,2.831,2.8016
2-Mar,2.9827,2.9223,2.8816
3-Mar,3.1052,3.0439,2.9833
4-Mar,3.2293,3.1672,3.1057
5-Mar,3.3552,3.2922,3.2299
6-Mar,3.4827,3.4189,3.3557
7-Mar,3.612,3.5473,3.4833
8-Mar,3.7429,3.6774,3.6125
9-Mar,3.8756,3.8092,3.7435
10-Mar,4.0099,3.9427,3.8761
11-Mar,4.146,4.0779,4.0105
12-Mar,4.2837,4.2148,4.1465
13-Mar,4.4232,4.3534,4.2843
14-Mar,4.5643,4.4937,4.4237
15-Mar,4.7072,4.6357,4.5649
16-Mar,4.8943,4.8007,4.7219
17-Mar,5.0308,4.9626,4.8774
18-Mar,5.1687,5.0998,5.0313
19-Mar,5.308,5.2384,5.1692
20-Mar,5.4487,5.3784,5.3085
21-Mar,5.5908,5.5198,5.4492
22-Mar,5.7343,5.6626,5.5913
23-Mar,5.8792,5.8068,5.7348
24-Mar,6.0255,5.9524,5.8797
25-Mar,6.1732,6.0994,6.026
26-Mar,6.3223,6.2478,6.1737
27-Mar,6.4728,6.3976,6.3228
28-Mar,6.6247,6.5488,6.4733
29-Mar,6.778,6.7014,6.6252
30-Mar,6.9327,6.8554,6.7785
31-Mar,7.0888,7.0108,6.9332
1-Apr,7.2463,7.1676,7.0893
2-Apr,7.4052,7.3258,7.2468
3-Apr,7.5655,7.4854,7.4057
4-Apr,7.7272,7.6464,7.566
5-Apr,7.8903,7.8088,7.7277
6-Apr,8.0548,7.9726,7.8908
7-Apr,8.2207,8.1378,8.0553
8-Apr,8.388,8.3044,8.2212
9-Apr,8.5567,8.4724,8.3885
10-Apr,8.7268,8.6418,8.5572
11-Apr,8.8983,8.8126,8.7273
12-Apr,9.0712,8.9848,8.8988
13-Apr,9.2455,9.1584,9.0717
14-Apr,9.4212,9.3334,9.246
15-Apr,9.5983,9.5098,9.4217
