Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Summer-land,2 day mean running average,3 day mean running average,7 day mean running average,,14 day mean running average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 day mean temperature (7 day average),,,,,,,Historical average  1981  2010,,Date,Historical average  1981-2010,Temperature difference from historical average (°C),,,,,,,7 day avg mean temp (°C)
18/08/2012,2012,8,18,32.8,13.1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec-13,13-14,14-15,15-16,16-17,17-18,18-19,Avg (7 d),,,Avg (7d °C),Dec-13,13-14,14-15,15-16,16-17,17-18,18-19,18-19
19/08/2012,2012,8,19,34.9,13.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jan,-0.8,-2.6,0.3,0,-8.8,0.7,1.8,-1.2,,Jan 04-10,-1.2,0.4,-1.4,1.4,1.1,-7.7,1.9,3,1.8
20/08/2012,2012,8,20,34.1,16.2,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17-Jan,-5.5,3.4,0.9,0.7,-9.3,0.6,-0.1,-0.8,,Jan 11-17,-0.8,-4.7,4.2,1.8,1.6,-8.4,1.4,0.7,-0.1
21/08/2012,2012,8,21,31.1,14.7,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-Jan,-3.7,0.3,1.6,3.1,1.7,3,-0.1,-0.5,,Jan 18-24,-0.5,-3.2,0.8,2.1,3.6,2.2,3.5,0.4,-0.1
22/08/2012,2012,8,22,27.8,9.1,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-Jan,0.2,-0.4,2.7,3.2,0.6,2.6,-1.7,-0.1,,Jan 25-31,-0.1,0.3,-0.3,2.8,3.3,0.7,2.7,-1.6,-1.7
23/08/2012,2012,8,23,25,7.9,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Feb,1.2,-9,4.4,0.3,-7,2.7,-7.2,0.4,,Feb 01-07,0.4,0.8,-9.4,4,-0.1,-7.4,2.3,-7.6,-7.2
24/08/2012,2012,8,24,22.8,10.3,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Feb,1.1,-1.1,7.9,2.9,-2.4,-0.9,-8.7,1,,Feb 08-14,1,0.1,-2.1,6.9,1.9,-3.4,-1.9,-9.7,-8.7
25/08/2012,2012,8,25,25.3,7.2,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-Feb,1.4,3,3.1,4.6,3.1,-5.3,-3.9,1.6,,Feb 15-21,1.6,-0.2,1.4,1.5,3,1.5,-6.9,-5.5,-3.9
26/08/2012,2012,8,26,27,9.9,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28-Feb,3.4,-3.7,2.8,2.9,-1.5,-2.3,-4.5,2.4,,Feb 22-28,2.4,1,-6.1,0.4,0.5,-3.9,-4.7,-6.9,-4.5
27/08/2012,2012,8,27,29.4,13.1,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07-Mar,4.7,1.9,2.6,7.2,1.5,0.5,-4.4,3.2,,Mar 01-07,3.2,1.5,-1.3,-0.6,4,-1.7,-2.7,-7.7,-4.4
28/08/2012,2012,8,28,24.6,12.9,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Mar,6.6,7.2,9.6,5.6,4.4,2.7,-1.8,4.1,,Mar 08-14,4.1,2.5,3,5.5,1.5,0.2,-1.4,-5.9,-1.8
29/08/2012,2012,8,29,24.8,8,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-Mar,5.3,5.2,8.5,4.7,4.3,5,4.6,5.2,,Mar 15-21,5.2,0.1,0,3.4,-0.5,-0.8,-0.2,-0.6,4.6
30/08/2012,2012,8,30,25.8,10.2,18,,,,,,,Tmin,,,2 day average day2,,,,,,,,3 day average day3,,,,,,,,,1 day mean temperature,,,,,,,,28-Mar,3.5,3.8,9.2,7.2,6.5,5.5,7.9,6.2,,Mar 22-28,6.2,-2.6,-2.4,3.1,1,0.3,-0.7,1.7,7.9
31/08/2012,2012,8,31,25.5,9.5,17.5,,17.8,17.3,18.1,,,day,,,Dec-13,13-14,14-15,15-16,16-17,17-18,18-19,,Dec-13,13-14,14-15,15-16,16-17,17-18,18-19,,,Dec-13,13-14,14-15,15-16,16-17,17-18,18-19,,,,,,,,,,,,,,,,,,,,,
01/09/2012,2012,9,1,25.6,10.5,18.1,,17.8,17.9,18.4,10.6,19.2,-11.8,01/09/2012,01-Sep,17.8,18.4,16.5,17.8,19.4,20.9,15.9,,17.9,18.9,17.1,17.5,18.9,20.6,15.9,,01-Sep,18.1,19,16,18,17.8,20.7,15.8,,,,,,,,,,,,,,,,,,,,,
02/09/2012,2012,9,2,25.2,5.7,15.5,,16.8,17,17.9,10,18.6,115,02/09/2012,02-Sep,16.8,20.2,16.2,17.3,16.7,21.7,16.2,,17,19.4,16.5,17.4,18.1,21.5,16.1,,02-Sep,15.5,21.3,16.4,16.5,15.6,22.7,16.6,,,,,,,,,,,,,,,,,,,,,
03/09/2012,2012,9,3,24.5,8.3,16.4,,16,16.7,17.2,9.3,18,,03/09/2012,03-Sep,16,21.9,15.9,15.3,14.8,22.7,16.8,,16.7,20.9,15.9,16.2,15.8,22,16.5,,03-Sep,16.4,22.5,15.4,14.1,13.9,22.6,17,,,,,,,,,,,,,,,,,,,,,
04/09/2012,2012,9,4,25.9,12.8,19.4,,17.9,17.1,17.3,9.3,17.7,,04/09/2012,04-Sep,17.9,20.5,15,14.1,14.7,23.4,16,,17.1,20.8,15.5,14.9,15,23.1,16.2,,04-Sep,19.4,18.5,14.6,14.1,15.5,24.1,15,,,,,,,,,,,,,,,,,,,,,
05/09/2012,2012,9,5,23.6,7,15.3,,17.4,17,17.2,9.1,17.5,,05/09/2012,05-Sep,17.4,19.1,15.4,14.1,14.5,21.6,15.1,,17,20.2,15.4,14.1,14.3,21.9,15.7,,05-Sep,15.3,19.7,16.1,14,13.5,19.1,15.2,,,,,,,,,,,,,,,,,,,,,
06/09/2012,2012,9,6,24.5,6.9,15.7,,15.5,16.8,16.8,8.7,17.4,,06/09/2012,06-Sep,15.5,18.4,16.9,13,14.2,19.9,15.9,,16.8,18.4,16.1,13.3,14.6,21.3,15.6,,06-Sep,15.7,17.1,17.6,11.9,14.9,20.7,16.6,,,,,,,,,,,,,,,,,,,,,
07/09/2012,2012,9,7,26.1,6,16.1,,15.9,15.7,16.6,8.2,17.4,,07/09/2012,07-Sep,15.9,16.9,18.4,13.2,15.4,20,17.2,,15.7,17.8,17.6,13.5,14.7,19.7,16.5,,07-Sep,16.1,16.6,19.2,14.5,15.8,19.2,17.7,,,,,,,,,,,,,,,,,,,,,
08/09/2012,2012,9,8,30.1,5.9,18,,17.1,16.6,16.6,7.5,17.5,,08/09/2012,08-Sep,17.1,17.7,20.8,15.4,15.5,20.6,17.6,,16.6,17.5,19.7,14.2,15.3,20.6,17.2,,08-Sep,18,18.7,22.3,16.2,15.2,22,17.4,,,,,,,,,,,,,,,,,,,,,
09/09/2012,2012,9,9,29.3,14.9,22.1,,20.1,18.7,17.6,8.8,17.8,,09/09/2012,09-Sep,20.1,18.8,19.1,16.5,14.7,21.1,18,,18.7,18,19.1,15.8,15,20.5,17.9,,09-Sep,22.1,18.8,15.8,16.7,14.1,20.2,18.5,,,,,,,,,,,,,,,,,,,,,
10/09/2012,2012,9,10,19,11.8,15.4,*,18.8,18.5,17.4,9.3,17.3,,10/09/2012,10-Sep,18.8,19.3,15,16.9,17.8,18.7,17.9,,18.5,19.1,17.4,16.7,16.9,19.8,17.7,,10-Sep,15.4,19.8,14.2,17.1,21.4,17.2,17.3,,,,,,,,,,,,,,,,,,,,,
11/09/2012,2012,9,11,19.9,3.6,11.8,,13.6,16.4,16.3,8,16.8,,11/09/2012,11-Sep,13.6,19.6,12.7,17.7,19,17.3,15.8,,16.4,19.3,13.7,17.3,17.3,18.2,16.7,,11-Sep,11.8,19.3,11.2,18.2,16.5,17.3,14.3,,,,,,,,,,,,,,,,,,,,,
12/09/2012,2012,9,12,21,0.7,10.9,,11.4,12.7,15.7,7.1,16.4,,12/09/2012,12-Sep,11.4,19.8,10.8,18.8,15.6,16.9,13.6,,12.7,19.8,11.9,18.2,17.5,17,14.8,,12-Sep,10.9,20.2,10.4,19.3,14.6,16.5,12.8,,,,,,,,,,,,,,,,,,,,,
13/09/2012,2012,9,13,23.7,4,13.9,,12.4,12.2,15.5,6.7,16.2,,13/09/2012,13-Sep,12.4,20.6,12.7,20,14.2,16.7,12.1,,12.2,20.2,12.2,19.4,14.9,16.9,12.8,,13-Sep,13.9,21,14.9,20.6,13.7,16.8,11.4,,,,,,,,,,,,,,,,,,,,,
14/09/2012,2012,9,14,27.4,3.6,15.5,,14.7,13.4,15.4,6.4,16,,14/09/2012,14-Sep,14.7,20.7,15,16.8,14.6,15.6,12.1,,13.4,20.5,13.5,17.6,14.6,15.9,12.3,,14-Sep,15.5,20.3,15.1,13,15.5,14.3,12.7,,,,,,,,,,,,,,,,,,,,,
15/09/2012,2012,9,15,26.5,4.9,15.7,,15.6,15,15,6.2,15.8,,15/09/2012,15-Sep,15.6,20.2,15,12.6,15.7,14.4,12.5,,15,20.4,15,15.2,15,15.2,12.1,,15-Sep,15.7,20,14.9,12.1,15.9,14.4,12.2,,,,,,,,,,,,,,,,,,,,,
16/09/2012,2012,9,16,25.3,9.4,17.4,,16.6,16.2,14.4,5.4,16,,16/09/2012,16-Sep,16.6,19.4,15.2,12.6,16.5,14.4,12.7,,16.2,19.7,15.2,12.7,16.2,14.4,12.7,,16-Sep,17.4,18.8,15.5,13,17.1,14.4,13.2,,,,,,,,,,,,,,,,,,,,,
17/09/2012,2012,9,17,24.8,7.1,16,,16.7,16.4,14.5,4.8,15.9,,17/09/2012,17-Sep,16.7,17.8,15.8,12.3,17,14,12,,16.4,18.5,15.5,12.2,16.6,14.1,12.1,,17-Sep,16,16.8,16,11.6,16.8,13.5,10.8,,,,,,,,,,,,,,,,,,,,,
18/09/2012,2012,9,18,24.4,3.8,14.1,,15.1,15.8,14.8,4.8,15.6,,18/09/2012,18-Sep,15.1,16.5,17.2,13.7,18,13,12.3,,15.8,17.2,16.6,13.5,17.7,13.4,12.6,,18-Sep,14.1,16.1,18.3,15.8,19.1,12.4,13.7,,,,,,,,,,,,,,,,,,,,,
19/09/2012,2012,9,19,26,7.1,16.6,,15.4,15.6,15.6,5.7,15.7,,19/09/2012,19-Sep,15.4,14.6,19.2,17,16.7,11.2,13,,15.6,15.3,18.1,15.2,16.7,12,12.2,,19-Sep,16.6,13,20,18.1,14.2,10,12.2,,,,,,,,,,,,,,,,,,,,,
20/09/2012,2012,9,20,25.5,9.2,17.4,,17,16,16.1,6.4,15.8,,20/09/2012,20-Sep,17,13,18.5,20.3,13.1,9.8,12.6,,16,14,18.4,18.8,15.1,10.7,12.9,,20-Sep,17.4,13,16.9,22.5,12,9.6,12.9,,,,,,,,,,,,,,,,,,,,,
21/09/2012,2012,9,21,25.2,6.4,15.8,,16.6,16.6,16.1,6.8,15.8,,21/09/2012,21-Sep,16.6,14.2,16.8,18.1,13.8,10.3,13.3,,16.6,13.8,17.8,18.1,13.9,10.2,12.9,,21-Sep,15.8,15.4,16.6,13.7,15.5,11,13.6,,,,,,,,,,,,,,,,,,,,,
22/09/2012,2012,9,22,24.9,7.2,16.1,,16,16.4,16.2,7.2,15.6,,22/09/2012,22-Sep,16,13.5,15.8,12.5,15.9,11.6,14,,16.4,13.3,16.1,15.8,14.6,10.9,13.6,,22-Sep,16.1,11.6,14.9,11.3,16.2,12.2,14.3,,,,,,,,,,,,,,,,,,,,,
23/09/2012,2012,9,23,23.9,8,16,,16.1,16,16,7,15.2,,23/09/2012,23-Sep,16.1,12.4,15.5,12.1,14.7,12.9,13.7,,16,13.4,15.8,12.6,14.9,12.3,13.6,,23-Sep,16,13.2,16,12.8,13.1,13.6,13,,,,,,,,,,,,,,,,,,,,,
24/09/2012,2012,9,24,25.7,6.2,16,,16,16,16,6.8,15.2,,24/09/2012,24-Sep,16,12.1,17.1,13.6,14.4,12.5,13.8,,16,11.9,16.3,12.8,15,12.4,13.9,,24-Sep,16,11,18.1,14.4,15.7,11.3,14.5,,,,,,,,,,,,,,,,,,,,,
25/09/2012,2012,9,25,24.6,13,18.8,,17.4,16.9,16.7,8.2,15.7,,25/09/2012,25-Sep,17.4,11.1,17.2,15.4,15.8,11.5,13.2,,16.9,11.8,16.8,14.5,14.9,12.2,13.1,,25-Sep,18.8,11.1,16.2,16.4,15.8,11.6,11.9,,,,,,,,,,,,,,,,,,,,,
26/09/2012,2012,9,26,21.9,6.8,14.4,,16.6,16.4,16.4,8.1,16,,26/09/2012,26-Sep,16.6,11.3,14.7,14.4,16.5,12.7,11.9,,16.4,11.2,15.8,14.4,16.2,12.2,12.8,,26-Sep,14.4,11.4,13.2,12.3,17.2,13.8,11.9,,,,,,,,,,,,,,,,,,,,,
27/09/2012,2012,9,27,22.4,4.7,13.6,,14,15.6,15.8,7.5,16,,27/09/2012,27-Sep,14,9.4,13.8,11.3,17,13.6,13.1,,15.6,10,14.6,13,16.6,12.9,12.7,,27-Sep,13.6,7.4,14.4,10.3,16.7,13.4,14.2,,,,,,,,,,,,,,,,,,,,,
28/09/2012,2012,9,28,24,4.6,14.3,,14,14.1,15.6,7.2,15.9,,28/09/2012,28-Sep,14,10.8,14.2,10.7,14.8,14.3,14.2,,14.1,11,13.9,11.2,15.6,14.1,13.4,,28-Sep,14.3,14.1,14,11.1,12.8,15.2,14.1,,,,,,,,,,,,,,,,,,,,,
29/09/2012,2012,9,29,25.6,8.3,17,,15.7,15,15.7,7.4,16,,29/09/2012,29-Sep,15.7,12.8,13.7,11,12.4,15.2,12.3,,15,11,13.9,10.7,13.8,14.6,12.9,,29-Sep,17,11.5,13.4,10.8,12,15.2,10.5,,,,,,,,,,,,,,,,,,,,,
30/09/2012,2012,9,30,22.1,5.4,13.8,,15.4,15,15.4,7,15.7,,30/09/2012,30-Sep,15.4,11.4,12.8,11.1,13.8,13.5,10.5,,15,12.3,13.2,11.1,13.5,14.1,11.7,,30-Sep,13.8,11.2,12.2,11.3,15.6,11.8,10.5,,,,,,,,,,,,,,,,,,,,,
01/10/2012,2012,10,1,22.8,6.1,14.5,,14.2,15.1,15.2,7,15.6,,01/10/2012,01-Oct,14.2,10.5,11.6,12.6,14.5,12,10.6,,15.1,10.8,12.2,12,13.6,13.1,10.5,,01-Oct,14.5,9.7,11,13.8,13.3,12.2,10.6,,,,,,,,,,,,,,,,,,,,,
02/10/2012,2012,10,2,19.1,5.9,12.5,,13.5,13.6,14.3,6,15.5,,02/10/2012,02-Oct,13.5,8.3,11.6,12,11.5,11.9,9.2,,13.6,9.2,11.8,11.7,12.9,11.9,9.6,,02-Oct,12.5,6.8,12.2,10.1,9.7,11.6,7.7,,,,,,,,,,,,,,,,,,,,,
03/10/2012,2012,10,3,15.2,1.5,8.4,,10.5,11.8,13.4,5.2,14.9,,03/10/2012,03-Oct,10.5,8.2,11.1,11.6,10,10.4,6.1,,11.8,8.7,11.1,12.3,11.1,11,7.6,,03-Oct,8.4,9.5,10,13.1,10.2,9.2,4.4,,,,,,,,,,,,,,,,,,,,,
04/10/2012,2012,10,4,16.2,-0.8,7.7,,8.1,9.5,12.6,4.4,14.2,,04/10/2012,04-Oct,8.1,8.5,11.7,11.6,10.4,8.9,6.4,,9.5,7.9,11.8,11.1,10.2,9.8,6.8,,04-Oct,7.7,7.4,13.3,10.1,10.6,8.5,8.4,,,,,,,,,,,,,,,,,,,,,
05/10/2012,2012,10,5,15.6,-0.6,7.5,,7.6,7.9,11.6,3.7,13.6,,05/10/2012,05-Oct,7.6,9.3,12.6,9.9,11.1,8.9,6.6,,7.9,9.4,11.7,10.9,10.8,9,5.8,,05-Oct,7.5,11.2,11.8,9.6,11.5,9.2,4.7,,,,,,,,,,,,,,,,,,,,,
06/10/2012,2012,10,6,16.6,0.4,8.5,,8,7.9,10.4,2.6,13.1,,06/10/2012,06-Oct,8,12,13,9.6,11.7,8.9,6.9,,7.9,10.4,13.1,9.7,11.3,8.8,7.4,,06-Oct,8.5,12.7,14.1,9.5,11.9,8.6,9.1,,,,,,,,,,,,,,,,,,,,,
07/10/2012,2012,10,7,17.7,-1.1,8.3,,8.4,8.1,9.6,1.6,12.5,,07/10/2012,07-Oct,8.4,13.6,14.4,10.4,13.1,9.7,7.7,,8.1,12.8,13.5,10.1,12.6,9.5,6.7,,07-Oct,8.3,14.4,14.6,11.2,14.3,10.7,6.3,,,,,,,,,,,,,,,,,,,,,
08/10/2012,2012,10,8,18.6,0.9,9.8,,9.1,8.9,9,0.9,12.1,,08/10/2012,08-Oct,9.1,12.4,14.7,13.3,12.7,9.6,7.7,,8.9,12.5,14.5,12,12.4,9.2,8.2,,08-Oct,9.8,10.4,14.7,15.4,11,8.4,9.1,,,,,,,,,,,,,,,,,,,,,
09/10/2012,2012,10,9,18.5,2.9,10.7,,10.3,9.6,8.7,0.5,11.5,,09/10/2012,09-Oct,10.3,8.9,13.7,16.3,11.5,7.7,10.2,,9.6,10.7,14,14.6,12.4,8.7,8.9,,09-Oct,10.7,7.3,12.7,17.1,11.9,7,11.2,,,,,,,,,,,,,,,,,,,,,
10/10/2012,2012,10,10,18.5,0.8,9.7,,10.2,10.1,8.9,0.4,11.2,,10/10/2012,10-Oct,10.2,7.8,12.7,16.8,9.7,8.6,10.8,,10.1,8.6,13.3,16.3,10.1,8.5,10.2,,10-Oct,9.7,8.2,12.6,16.4,7.4,10.1,10.3,,,,,,,,,,,,,,,,,,,,,
11/10/2012,2012,10,11,17.4,1.2,9.3,,9.5,9.9,9.1,0.6,10.9,,11/10/2012,11-Oct,9.5,6.3,13.5,15.6,6.4,7.6,8.5,,9.9,6.6,13.2,16.1,8.2,7.4,9.4,,11-Oct,9.3,4.4,14.4,14.7,5.3,5,6.7,,,,,,,,,,,,,,,,,,,,,
12/10/2012,2012,10,12,19,5.9,12.5,,10.9,10.5,9.8,1.6,10.7,,12/10/2012,12-Oct,10.9,7.3,13,13.6,5.1,5.6,8.4,,10.5,7.6,12.8,14.5,5.8,7.1,9,,12-Oct,12.5,10.2,11.5,12.5,4.8,6.2,10.1,,,,,,,,,,,,,,,,,,,,,
13/10/2012,2012,10,13,15.3,10.3,12.8,,12.7,11.5,10.4,3,10.4,,13/10/2012,13-Oct,12.7,9.4,12.5,12.1,6.7,6.6,9.9,,11.5,7.7,13.1,12.9,6.2,6,8.8,,13-Oct,12.8,8.6,13.4,11.6,8.6,6.9,9.6,,,,,,,,,,,,,,,,,,,,,
14/10/2012,2012,10,14,17.9,10.6,14.3,*,13.6,13.2,11.3,4.7,10.5,,14/10/2012,14-Oct,13.6,7.6,13.8,10.3,9.9,4.8,7.5,,13.2,8.4,13,11,8.2,5.3,8.3,,14-Oct,14.3,6.5,14.2,8.9,11.1,2.7,5.3,,,,,,,,,,,,,,,,,,,,,
15/10/2012,2012,10,15,19.8,9.2,14.5,,14.4,13.9,12,5.8,10.5,,15/10/2012,15-Oct,14.4,6.3,12.6,9,11.4,6.8,5.6,,13.9,7.1,12.9,9.8,10.4,6.8,6.9,,15-Oct,14.5,6.1,11,9,11.6,10.9,5.8,,,,,,,,,,,,,,,,,,,,,
16/10/2012,2012,10,16,15.9,9.6,12.8,,13.7,13.9,12.3,6.8,10.5,,16/10/2012,16-Oct,13.7,7.9,10.5,9.4,11.8,12.4,6.1,,13.9,7.4,11.7,9.2,11.6,9.1,5.8,,16-Oct,12.8,9.7,10,9.8,12,13.8,6.4,,,,,,,,,,,,,,,,,,,,,
17/10/2012,2012,10,17,14.5,-1.2,6.7,,9.8,11.3,11.8,6.5,10.4,,17/10/2012,17-Oct,9.8,8.7,10,10.3,10.8,11.8,6.1,,11.3,7.8,10.3,9.8,11,11.5,6,,17-Oct,6.7,7.6,9.9,10.7,9.5,9.7,5.8,,,,,,,,,,,,,,,,,,,,,
18/10/2012,2012,10,18,15.7,9.6,12.7,,9.7,10.7,12.3,7.7,10.7,,18/10/2012,18-Oct,9.7,6.5,12.1,11.6,9.1,8.4,6.5,,10.7,7.6,11.4,11,10.1,10.2,6.4,,18-Oct,12.7,5.4,14.3,12.5,8.7,7,7.1,,,,,,,,,,,,,,,,,,,,,
19/10/2012,2012,10,19,16.4,8.8,12.6,,12.7,10.7,12.3,8.1,11.1,,19/10/2012,19-Oct,12.7,5.6,15,13.7,8.1,8.8,7.7,,10.7,6.2,13.3,12.7,8.6,9.1,7,,19-Oct,12.6,5.7,15.6,14.8,7.5,10.6,8.2,,,,,,,,,,,,,,,,,,,,,
20/10/2012,2012,10,20,12.4,2.6,7.5,,10.1,10.9,11.6,7,11,,20/10/2012,20-Oct,10.1,6.7,14.1,12.4,9.4,11.5,7.9,,10.9,6.2,14.2,12.4,9.1,10,7.6,,20-Oct,7.5,7.6,12.6,10,11.2,12.3,7.5,,,,,,,,,,,,,,,,,,,,,
21/10/2012,2012,10,21,7.9,-2.6,2.7,,5.1,7.6,9.9,5.1,10.6,,21/10/2012,21-Oct,5.1,7.8,13.4,9.1,9.5,9.2,7.6,,7.6,7.1,14.1,11,8.8,9.7,7.8,,21-Oct,2.7,8,14.1,8.1,7.7,6.1,7.6,,,,,,,,,,,,,,,,,,,,,
22/10/2012,2012,10,22,8.1,0.5,4.3,,3.5,4.8,8.5,3.9,10.2,,22/10/2012,22-Oct,3.5,7.1,13.3,8.7,8.2,9,7.1,,4.8,7.2,13,9.1,9.2,10.1,7.2,,22-Oct,4.3,6.1,12.4,9.3,8.6,11.8,6.6,,,,,,,,,,,,,,,,,,,,,
23/10/2012,2012,10,23,5.7,2.8,4.3,,4.3,3.8,7.3,2.9,9.8,,23/10/2012,23-Oct,4.3,7.3,12,7.9,9,9.1,6.1,,3.8,7.5,12.7,7.9,8.5,8.1,6.6,,23-Oct,4.3,8.4,11.6,6.4,9.3,6.3,5.5,,,,,,,,,,,,,,,,,,,,,
24/10/2012,2012,10,24,5.2,3.3,4.3,,4.3,4.3,6.9,3.6,9.4,,24/10/2012,24-Oct,4.3,8,9.2,5.6,9.1,7.8,7.7,,4.3,7.4,10.2,6.8,8.9,9.1,7.3,,24-Oct,4.3,7.6,6.7,4.8,8.9,9.3,9.9,,,,,,,,,,,,,,,,,,,,,
25/10/2012,2012,10,25,9,1.3,5.2,,4.8,4.6,5.8,2.4,9.1,,25/10/2012,25-Oct,4.8,7.7,8.3,5.5,10,8.2,11.2,,4.6,7.9,9.4,5.8,9.8,7.6,9.3,,25-Oct,5.2,7.8,9.9,6.1,11.1,7.1,12.5,,,,,,,,,,,,,,,,,,,,,
26/10/2012,2012,10,26,6.6,1.6,4.1,,4.7,4.5,4.6,1.4,8.5,,26/10/2012,26-Oct,4.7,7.7,10.1,7.9,9.2,6.3,10.8,,4.5,7.7,9,6.9,9.1,7.3,10.5,,26-Oct,4.1,7.6,10.3,9.7,7.3,5.4,9.1,,,,,,,,,,,,,,,,,,,,,
27/10/2012,2012,10,27,7,3.7,5.4,,4.8,4.9,4.3,1.5,8,,27/10/2012,27-Oct,4.8,8,9.3,8.4,8.8,5.9,7.4,,4.9,7.9,9.5,7.6,9.5,6.3,9.1,,27-Oct,5.4,8.3,8.2,7,10.2,6.3,5.6,,,,,,,,,,,,,,,,,,,,,
28/10/2012,2012,10,28,11.9,6.8,9.4,,7.4,6.3,5.3,2.9,7.6,,28/10/2012,28-Oct,7.4,7.5,8.8,5.9,9.9,6.4,7,,6.3,7.5,9.3,7.1,9,6,7.7,,28-Oct,9.4,6.7,9.3,4.7,9.5,6.4,8.3,,,,,,,,,,,,,,,,,,,,,
29/10/2012,2012,10,29,12.4,7.1,9.8,,9.6,8.2,6.1,3.8,7.3,,29/10/2012,29-Oct,9.6,5.1,10.5,7.2,7.7,6.3,8.4,,8.2,6.1,9.7,7.1,8.5,6.3,7.4,,29-Oct,9.8,3.4,11.7,9.7,5.8,6.1,8.4,,,,,,,,,,,,,,,,,,,,,
30/10/2012,2012,10,30,12.4,9,10.7,,10.3,10,7,4.7,7.1,,30/10/2012,30-Oct,10.3,3,11.3,10.6,6.7,4.4,7.6,,10,4.2,10.6,8.6,7.6,5,7.8,,30-Oct,10.7,2.6,10.8,11.4,7.6,2.6,6.8,,,,,,,,,,,,,,,,,,,,,
31/10/2012,2012,10,31,10.2,8.8,9.5,,10.1,10,7.7,5.5,7.3,,31/10/2012,31-Oct,10.1,5.4,10.6,10.9,8.6,2.9,8,,10,4.7,11,10.5,7.7,4,8.1,,31-Oct,9.5,8.2,10.4,10.3,9.6,3.2,9.1,,,,,,,,,,,,,,,,,,,,,
01/11/2012,2012,11,1,11.4,4.8,8.1,,8.8,9.4,8.1,6,7,,01/11/2012,01-Nov,8.8,6.3,8.9,9.4,10.4,4.9,9,,9.4,5,9.5,10.1,9.4,4.1,8.2,,01-Nov,8.1,4.3,7.3,8.5,11.1,6.5,8.8,,,,,,,,,,,,,,,,,,,,,
02/11/2012,2012,11,2,11.6,3.2,7.4,,7.8,8.3,8.6,6.2,6.6,,02/11/2012,02-Nov,7.8,5.7,6.1,7.4,11.3,4.4,10.4,,8.3,6.5,7.5,8.4,10.7,4,9.9,,02-Nov,7.4,7,4.9,6.3,11.4,2.2,11.9,,,,,,,,,,,,,,,,,,,,,
03/11/2012,2012,11,3,13.2,10.6,11.9,,9.7,9.1,9.5,7.2,6.9,,03/11/2012,03-Nov,9.7,6.1,6.5,6,12,-0.2,10.5,,9.1,5.5,6.7,6.8,11.7,2,9.9,,03-Nov,11.9,5.2,8,5.6,12.5,-2.6,9,,,,,,,,,,,,,,,,,,,,,
04/11/2012,2012,11,4,14.5,8.4,11.5,,11.7,10.3,9.8,7.4,7.6,,04/11/2012,04-Nov,11.7,3.7,9.7,3.8,10.2,-3.4,10,,10.3,4.8,8.1,4.6,10.6,-1.5,10.6,,04-Nov,11.5,2.1,11.3,1.9,7.8,-4.1,11,,,,,,,,,,,,,,,,,,,,,
05/11/2012,2012,11,5,16.7,5.7,11.2,,11.4,11.5,10,7.2,8.1,,05/11/2012,05-Nov,11.4,1.7,9.9,3.2,10.1,-3.5,8.6,,11.5,2.9,9.3,4,10.9,-3.2,8.7,,05-Nov,11.2,1.3,8.5,4.4,12.4,-2.8,6.2,,,,,,,,,,,,,,,,,,,,,
06/11/2012,2012,11,6,9.8,3.3,6.6,,8.9,9.8,9.5,6.4,8.2,,06/11/2012,06-Nov,8.9,1.6,10.6,3.5,11.5,-4,5.4,,9.8,1.7,10.8,3,10.2,-4,7.2,,06-Nov,6.6,1.8,12.7,2.6,10.5,-5.2,4.5,,,,,,,,,,,,,,,,,,,,,
07/11/2012,2012,11,7,12.6,0.3,6.5,,6.6,8.1,9,5.2,8.4,,07/11/2012,07-Nov,6.6,3.2,10.8,6,11.4,-2.4,3.7,,8.1,2.5,10,5.4,11.7,-2.5,4.5,,07-Nov,6.5,4.5,8.9,9.3,12.2,0.4,2.9,,,,,,,,,,,,,,,,,,,,,
08/11/2012,2012,11,8,6.9,-1,3,,4.8,5.4,8.3,4.4,8.2,,08/11/2012,08-Nov,4.8,5,8.6,9.1,11.8,-0.2,1.2,,5.4,3.9,10,6.9,11.3,-1.9,2.3,,08-Nov,3,5.4,8.3,8.9,11.3,-0.8,-0.6,,,,,,,,,,,,,,,,,,,,,
