"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126150","2006-01-01","2006","01","01","","5.1","","2.2","","3.7","","14.3","","0.0","","0.6","","0.0","","0.6","","0","","17","","35",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-02","2006","01","02","","7.2","","2.2","","4.7","","13.3","","0.0","","5.8","","0.0","","5.8","","0","","18","","35",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-03","2006","01","03","","4.1","","2.1","","3.1","","14.9","","0.0","","0.8","","0.0","","0.8","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-04","2006","01","04","","4.6","","2.5","","3.6","","14.4","","0.0","","0.0","T","0.0","","0.0","T","0","","18","E","39","E"
"-119.60","49.46","PENTICTON A","1126150","2006-01-05","2006","01","05","","7.3","","3.9","","5.6","","12.4","","0.0","","0.6","","0.0","","0.6","","0","","19","","50",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-06","2006","01","06","","6.6","","3.0","","4.8","","13.2","","0.0","","4.6","","0.0","","4.6","","0","","16","","37",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-07","2006","01","07","","5.3","","3.3","","4.3","","13.7","","0.0","","8.8","","0.0","","8.8","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-08","2006","01","08","","5.9","","2.8","","4.4","","13.6","","0.0","","0.0","T","0.0","","0.0","T","0","","20","","44",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-09","2006","01","09","","6.8","","4.0","","5.4","","12.6","","0.0","","2.4","","0.0","","2.4","","0","","20","","63",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-10","2006","01","10","","10.8","","4.8","","7.8","","10.2","","0.0","","3.8","","0.0","","3.8","","0","","19","","50",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-11","2006","01","11","","8.4","","3.4","","5.9","","12.1","","0.0","","4.6","","0.0","","4.6","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-12","2006","01","12","","6.1","","2.1","","4.1","","13.9","","0.0","","2.6","","0.0","","2.6","","0","","18","","37",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-13","2006","01","13","","7.2","","3.7","","5.5","","12.5","","0.0","","0.8","","0.0","","0.8","","0","","18","","44",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-14","2006","01","14","","7.7","","0.5","","4.1","","13.9","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-15","2006","01","15","","6.3","","-4.1","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-16","2006","01","16","","3.1","","-1.1","","1.0","","17.0","","0.0","","0.4","","4.0","","4.0","","0","","19","","63",""
"-119.60","49.46","PENTICTON A","1126150","2006-01-17","2006","01","17","","3.5","","0.9","","2.2","","15.8","","0.0","","3.8","","0.0","T","3.8","","0","","19","","52",""
