"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126150","2005-01-01","2005","01","01","","-4.3","","-6.2","","-5.3","","23.3","","0.0","","0.0","","0.4","","0.4","","10","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2005-01-02","2005","01","02","","-6.1","","-9.3","","-7.7","","25.7","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2005-01-03","2005","01","03","","-6.8","","-8.8","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2005-01-04","2005","01","04","","-7.0","","-8.9","","-8.0","","26.0","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2005-01-05","2005","01","05","","-7.0","","-9.4","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","4","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2005-01-06","2005","01","06","","-4.0","","-8.2","","-6.1","","24.1","","0.0","","0.0","","2.8","","2.8","","4","","18","","44",""
"-119.60","49.46","PENTICTON A","1126150","2005-01-07","2005","01","07","","-3.3","","-5.9","","-4.6","","22.6","","0.0","","0.0","","10.2","","6.2","","10","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2005-01-08","2005","01","08","","-3.8","","-5.4","","-4.6","","22.6","","0.0","","0.0","","4.4","","3.0","","15","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2005-01-09","2005","01","09","","-4.5","","-13.4","","-9.0","","27.0","","0.0","","0.0","","0.8","","0.5","","18","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2005-01-10","2005","01","10","","-6.8","","-11.8","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
