"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126150","2004-01-01","2004","01","01","","-1.5","","-5.2","","-3.4","","21.4","","0.0","","0.0","","0.8","","0.8","","2","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-02","2004","01","02","","-1.9","","-7.8","","-4.9","","22.9","","0.0","","0.0","","0.0","","0.0","","2","","34","E","35","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-03","2004","01","03","","-7.8","","-14.6","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","2","","33","E","41","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-04","2004","01","04","","-12.1","","-16.5","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-05","2004","01","05","","-13.8","","-16.2","","-15.0","","33.0","","0.0","","0.0","","0.2","","0.2","","1","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-06","2004","01","06","","-10.9","","-16.3","","-13.6","","31.6","","0.0","","0.0","","6.2","","5.6","","1","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-07","2004","01","07","","-5.0","","-11.4","","-8.2","","26.2","","0.0","","0.0","","2.6","","2.4","","8","","18","E","48","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-08","2004","01","08","","-0.4","","-5.4","","-2.9","","20.9","","0.0","","0.0","","0.4","","0.4","","9","","18","E","54","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-09","2004","01","09","","-0.1","","-2.7","","-1.4","","19.4","","0.0","","0.4","","1.6","","2.0","","8","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-10","2004","01","10","","4.2","","-0.3","","2.0","","16.0","","0.0","","0.6","","0.0","","0.6","","5","","16","E","35","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-11","2004","01","11","","3.1","","1.2","","2.2","","15.8","","0.0","","0.8","","0.0","","0.8","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-12","2004","01","12","","4.4","","1.0","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-13","2004","01","13","","3.9","","2.3","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","0","","16","E","41","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-14","2004","01","14","","5.8","","2.7","","4.3","","13.7","","0.0","","0.6","","0.0","","0.6","","0","","16","E","44","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-15","2004","01","15","","4.7","","1.5","","3.1","","14.9","","0.0","","0.2","","0.0","","0.2","","0","","16","E","44","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-16","2004","01","16","","2.6","","0.2","","1.4","","16.6","","0.0","","0.0","","0.0","","0.0","","0","","17","E","33","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-17","2004","01","17","","3.7","","1.1","","2.4","","15.6","","0.0","","0.2","","0.0","T","0.2","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-18","2004","01","18","","3.5","","1.9","","2.7","","15.3","","0.0","","1.6","","0.0","","1.6","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-19","2004","01","19","","2.5","","-0.3","","1.1","","16.9","","0.0","","0.4","","1.0","","1.4","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-20","2004","01","20","","3.0","","0.3","","1.7","","16.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-21","2004","01","21","","2.2","","1.0","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","0","","16","E","35","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-22","2004","01","22","","2.5","","0.7","","1.6","","16.4","","0.0","","0.0","","0.0","T","0.0","T","0","","16","E","44","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-23","2004","01","23","","1.9","","0.1","","1.0","","17.0","","0.0","","0.0","","3.6","","3.6","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-24","2004","01","24","","0.6","","-2.9","","-1.2","","19.2","","0.0","","0.0","","24.0","","13.2","","4","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-25","2004","01","25","","0.4","","-8.3","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-26","2004","01","26","","0.1","","-8.2","","-4.1","","22.1","","0.0","","0.0","","2.8","","1.4","","27","","15","E","37","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-27","2004","01","27","","-1.3","","-8.7","","-5.0","","23.0","","0.0","","0.0","","1.2","","0.6","","20","","3","E","44","E"
"-119.60","49.46","PENTICTON A","1126150","2004-01-28","2004","01","28","","-0.8","","-8.7","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","21","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-29","2004","01","29","","1.9","","-3.2","","-0.7","","18.7","","0.0","","1.0","","4.6","","4.2","","15","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2004-01-30","2004","01","30","","8.0","","-0.3","","3.9","","14.1","","0.0","","1.2","","0.0","","1.2","","9","","25","E","50","E"
