"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126150","2003-01-01","2003","01","01","","4.0","","-0.1","","2.0","","16.0","","0.0","","1.6","","0.0","T","1.6","","0","","16","E","46","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-02","2003","01","02","","7.8","","1.2","","4.5","","13.5","","0.0","","0.6","","0.0","","0.6","","0","","18","","63",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-03","2003","01","03","","8.0","","5.3","","6.7","","11.3","","0.0","","2.4","","0.0","","2.4","","0","","19","E","52","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-04","2003","01","04","","7.3","","3.7","","5.5","","12.5","","0.0","","0.2","","0.0","","0.2","","0","","18","E","37","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-05","2003","01","05","","6.3","","0.6","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","17","E","33","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-06","2003","01","06","","5.8","","2.3","","4.1","","13.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-07","2003","01","07","","3.8","","-0.3","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","0","","17","E","41","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-08","2003","01","08","","3.3","","-2.5","","0.4","","17.6","","0.0","","0.0","","0.0","","0.0","","0","","1","E","32","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-09","2003","01","09","","2.4","","-2.9","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-10","2003","01","10","","2.2","","-5.2","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-11","2003","01","11","","3.0","","-2.9","","0.1","","17.9","","0.0","","0.0","","1.2","","1.0","","0","","19","E","46","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-12","2003","01","12","","3.3","","-0.3","","1.5","","16.5","","0.0","","1.5","","0.2","","1.7","","0","T","18","E","41","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-13","2003","01","13","","3.4","","0.0","","1.7","","16.3","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-14","2003","01","14","","2.6","","0.0","","1.3","","16.7","","0.0","","0.6","","0.0","","0.6","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-15","2003","01","15","","2.1","","0.4","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-16","2003","01","16","","3.4","","0.2","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-17","2003","01","17","","2.2","","0.8","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-18","2003","01","18","","1.0","","-0.7","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-19","2003","01","19","","1.1","","-0.7","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","0","","18","E","44","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-20","2003","01","20","","0.6","","-0.5","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-21","2003","01","21","","1.5","","-0.5","","0.5","","17.5","","0.0","","0.0","","0.4","","0.4","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-22","2003","01","22","","2.4","","-1.5","","0.5","","17.5","","0.0","","0.0","","10.6","","9.2","","1","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-23","2003","01","23","","5.1","","1.7","","3.4","","14.6","","0.0","","1.8","","0.0","T","1.8","","6","","18","E","50","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-24","2003","01","24","","5.9","","2.4","","4.2","","13.8","","0.0","","0.2","","0.0","","0.2","","0","","15","E","44","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-25","2003","01","25","","6.2","","4.0","","5.1","","12.9","","0.0","","0.0","T","0.0","","0.0","T","0","","18","E","46","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-26","2003","01","26","","8.5","","4.4","","6.5","","11.5","","0.0","","0.6","","0.0","","0.6","","0","","18","E","52","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-27","2003","01","27","","5.5","","-0.8","","2.4","","15.6","","0.0","","2.2","","0.0","","2.2","","0","","15","E","32","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-28","2003","01","28","","5.4","","-0.3","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-01-29","2003","01","29","","4.1","","0.1","","2.1","","15.9","","0.0","","1.4","","0.8","","2.2","","0","","18","E","37","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-30","2003","01","30","","4.6","","0.6","","2.6","","15.4","","0.0","","7.0","","3.6","","10.6","","0","","16","E","39","E"
"-119.60","49.46","PENTICTON A","1126150","2003-01-31","2003","01","31","","6.0","","2.0","","4.0","","14.0","","0.0","","0.2","","0.0","","0.2","","0","","17","E","46","E"
"-119.60","49.46","PENTICTON A","1126150","2003-02-01","2003","02","01","","7.2","","2.2","","4.7","","13.3","","0.0","","0.2","","0.0","","0.2","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-02","2003","02","02","","3.7","","1.0","","2.4","","15.6","","0.0","","0.4","","0.0","","0.4","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-03","2003","02","03","","6.2","","0.4","","3.3","","14.7","","0.0","","1.2","","0.2","","1.4","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-04","2003","02","04","","5.4","","0.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-05","2003","02","05","","4.5","","-1.4","","1.6","","16.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-06","2003","02","06","","4.8","","-3.6","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-07","2003","02","07","","5.3","","-4.9","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-08","2003","02","08","","5.3","","-4.7","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-09","2003","02","09","","5.1","","-6.1","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-10","2003","02","10","","5.8","","-5.6","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-11","2003","02","11","","3.9","","-6.1","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-12","2003","02","12","","4.0","","-6.4","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2003-02-13","2003","02","13","","3.5","","-7.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
