"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126150","2009-01-01","2009","01","01","","0.5","","-6.1","","-2.8","","20.8","","0.0","","0.0","","6.6","","5.2","","15","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-02","2009","01","02","","-1.3","","-17.0","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","20","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-03","2009","01","03","","-7.6","","-20.2","","-13.9","","31.9","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-04","2009","01","04","","-3.1","","-8.2","","-5.7","","23.7","","0.0","","0.0","","2.0","","1.6","","18","","19","","65",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-05","2009","01","05","","-0.5","","-4.4","","-2.5","","20.5","","0.0","","0.0","","3.2","","2.6","","17","","18","E","46","E"
"-119.60","49.46","PENTICTON A","1126150","2009-01-06","2009","01","06","","1.4","","-2.9","","-0.8","","18.8","","0.0","","2.0","","11.2","","12.6","","16","","18","","50",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-07","2009","01","07","","7.7","","1.3","","4.5","","13.5","","0.0","","2.4","","0.0","","2.4","","14","","16","","44",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-08","2009","01","08","","7.3","","1.8","","4.6","","13.4","","0.0","","2.9","","0.0","","2.9","","2","","36","","65",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-09","2009","01","09","","3.2","","-4.3","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","1","","19","E","41","E"
"-119.60","49.46","PENTICTON A","1126150","2009-01-10","2009","01","10","","2.9","","-0.1","","1.4","","16.6","","0.0","","0.0","","5.6","","5.2","","0","T","16","E","37","E"
"-119.60","49.46","PENTICTON A","1126150","2009-01-11","2009","01","11","","3.1","","-0.9","","1.1","","16.9","","0.0","","0.0","","0.0","T","0.0","T","6","","18","E","44","E"
"-119.60","49.46","PENTICTON A","1126150","2009-01-12","2009","01","12","","2.2","","-0.4","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","0","","17","E","48","E"
"-119.60","49.46","PENTICTON A","1126150","2009-01-13","2009","01","13","","3.6","","-1.5","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","1","","17","","44",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-14","2009","01","14","","0.5","","-2.4","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-15","2009","01","15","","0.4","","-1.4","","-0.5","","18.5","","0.0","","0.0","","0.0","T","0.0","T","1","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-16","2009","01","16","","1.3","","-3.0","","-0.9","","18.9","","0.0","","0.0","","0.0","T","0.0","T","1","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-17","2009","01","17","","1.4","","0.1","","0.8","","17.2","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-18","2009","01","18","","0.8","","-0.5","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-19","2009","01","19","","-0.5","","-3.4","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-20","2009","01","20","","-3.4","","-5.5","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-21","2009","01","21","","-5.1","","-6.5","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-22","2009","01","22","","-3.1","","-6.1","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-23","2009","01","23","","-1.4","","-5.7","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-24","2009","01","24","","-2.8","","-6.2","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-25","2009","01","25","","-6.1","","-12.0","","-9.1","","27.1","","0.0","","0.0","","0.0","T","0.0","T","0","T","34","E","32","E"
"-119.60","49.46","PENTICTON A","1126150","2009-01-26","2009","01","26","","-8.7","","-13.6","","-11.2","","29.2","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-27","2009","01","27","","-4.5","","-9.1","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","0","","18","E","56","E"
"-119.60","49.46","PENTICTON A","1126150","2009-01-28","2009","01","28","","-2.1","","-7.3","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","0","","17","E","41","E"
"-119.60","49.46","PENTICTON A","1126150","2009-01-29","2009","01","29","","0.9","","-5.4","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","0","","17","","44",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-30","2009","01","30","","3.1","","-2.5","","0.3","","17.7","","0.0","","0.0","","0.0","T","0.0","T","0","","19","","59",""
"-119.60","49.46","PENTICTON A","1126150","2009-01-31","2009","01","31","","7.7","","-4.7","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-01","2009","02","01","","0.5","","-5.0","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","0","","17","E","35","E"
"-119.60","49.46","PENTICTON A","1126150","2009-02-02","2009","02","02","","4.4","","0.0","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","0","","16","","37",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-03","2009","02","03","","4.4","","-1.9","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-04","2009","02","04","","3.5","","-6.1","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-05","2009","02","05","","4.4","","-3.2","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-06","2009","02","06","","7.5","","-2.5","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-07","2009","02","07","","4.2","","-7.6","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-08","2009","02","08","","3.6","","-3.4","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-09","2009","02","09","","3.6","","-4.0","","-0.2","","18.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-10","2009","02","10","","-0.2","","-9.8","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-11","2009","02","11","","4.0","","-3.1","","0.5","","17.5","","0.0","","0.0","","1.0","","0.6","","1","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-12","2009","02","12","","0.5","","-2.4","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-13","2009","02","13","","2.3","","-2.5","","-0.1","","18.1","","0.0","","0.0","","0.2","","0.2","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-14","2009","02","14","","3.2","","-1.1","","1.1","","16.9","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-15","2009","02","15","","2.1","","-1.9","","0.1","","17.9","","0.0","","0.0","","0.8","","0.6","","0","T","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2009-02-16","2009","02","16","","1.4","","-1.1","","0.2","","17.8","","0.0","","0.0","","1.8","","1.2","","0","","","","<31",""
