"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.60","49.46","PENTICTON A","1126150","2001-01-01","2001","01","01","","3.0","","1.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-02","2001","01","02","","3.7","","1.6","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","0","","17","E","44","E"
"-119.60","49.46","PENTICTON A","1126150","2001-01-03","2001","01","03","","4.5","","1.5","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","18","E","52","E"
"-119.60","49.46","PENTICTON A","1126150","2001-01-04","2001","01","04","","4.8","","0.3","","2.6","","15.4","","0.0","","0.0","","0.0","T","0.0","T","0","","18","E","56","E"
"-119.60","49.46","PENTICTON A","1126150","2001-01-05","2001","01","05","","5.3","","0.6","","3.0","","15.0","","0.0","","1.4","","0.0","T","1.4","","0","","19","E","57","E"
"-119.60","49.46","PENTICTON A","1126150","2001-01-06","2001","01","06","","4.1","","-5.1","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-07","2001","01","07","","0.3","","-6.7","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-08","2001","01","08","","2.5","","-5.5","","-1.5","","19.5","","0.0","","0.0","","0.7","","0.4","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-09","2001","01","09","","3.2","","0.7","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-10","2001","01","10","","4.7","","-1.8","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-11","2001","01","11","","2.2","","-3.1","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-12","2001","01","12","","2.7","","0.3","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-13","2001","01","13","","3.0","","-1.5","","0.8","","17.2","","0.0","","0.0","T","0.0","T","0.0","T","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-14","2001","01","14","","2.6","","-2.6","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-15","2001","01","15","","3.2","","-3.9","","-0.4","","18.4","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-16","2001","01","16","","-0.4","","-7.5","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","0","","15","E","46","E"
"-119.60","49.46","PENTICTON A","1126150","2001-01-17","2001","01","17","","-1.1","","-3.3","","-2.2","","20.2","","0.0","","0.0","","1.2","","0.6","","0","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-18","2001","01","18","","-0.2","","-3.2","","-1.7","","19.7","","0.0","","0.0","","1.4","","1.0","","2","","","","<31",""
"-119.60","49.46","PENTICTON A","1126150","2001-01-19","2001","01","19","","1.1","","-0.7","","0.2","","17.8","","0.0","","0.0","","0.8","","0.6","","0","T","14","E","35","E"
"-119.60","49.46","PENTICTON A","1126150","2001-01-20","2001","01","20","","1.6","","-0.3","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","1","","16","E","50","E"
"-119.60","49.46","PENTICTON A","1126150","2001-01-21","2001","01","21","","2.4","","0.0","","1.2","","16.8","","0.0","","0.4","","0.2","","0.6","","0","T","","","<31",""
