Vineyard ,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Clust.per.Vine,Berries.per.Cluster,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Phase.G/Vine,Lag.Phase.Date,80%Veraison.Date
,F5,B9,Gewurztraminer,1989,1526,1.37,2.4 x 1.3,,27-Jun,28,139,0.59,64.8,1814,4-Aug,
,F6,B1,Merlot,2003,4100,2.20,2.1 x 1.1,27-Apr,24-Jun,16,135,0.53,86,1344,30-Jul,
,F6,B2,Merlot,2003,4163,2.20,2.1 x 1.1,27-Apr,24-Jun,15,172,0.48,76,1158,30-Jul,
,Osy,,Old Foch,1978,4600,9.80,3 x 1.6,12-Apr,,,,,,,,
,,,Young Foch,2006,2926,2.96,3 x 1.4,12-Apr,,,,,,,,
,,,Chenin Blanc,2006,4061,1.65,2.1 x 1.1,17-Apr,,,,,,,,
,,,Syrah,2006,1748,1.60,2.1 x 1.6,20-Apr,,,,,,,,
,,,Patricia,2006,15885,9.20,2.1 x 1.1,28-Apr,,,,,,,,
,,,Martyna,2008,22995,13.96,2.1 x 1.1,25-Apr,,,,,,,,
,,,Total,,170151,119.74,,,,,,,,,,
Mannhardt-Sunnyside,F1,B1,Ehrenfelser,1986,2755,2.81,3 x 1.4,25-Apr,27-Jun,46.8,160,0.59,80.6,3772,3-Aug,
Mannhardt-Sunnyside,F1,B2,Ehrenfelser,1986,2500,2.14,3 x 1.4,,27-Jun,43.4,168,0.57,91.3,3962,3-Aug,
Mannhardt-Sunnyside,F1,B3,Chenin Blanc,2006,8946,5.04,2.1 x 1.1,24-Apr,27-Jun,26.5,292,0.48,112,2968,29-Jul,
Mannhardt-Sunnyside,F1,B4,Pinot Noir,1997,3200,2.71,2.4 x 1.4,25-Apr,24-Jun,39.3,182,0.76,138,5423,28-Jul,
Mannhardt-Sunnyside,F1,B5,Pinot Noir,2006,1838,1.04,2.1 x 1.1,24-Apr,23-Jun,23.7,165,0.53,73.2,1735,28-Jul,
Mannhardt-Sunnyside,F2,B1,Riesling,2006,2331,1.23,2.1 x 1.1,25-Apr,26-Jun,29,205,0.44,67,1943,3-Aug,
Mannhardt-Sunnyside,F2,B2,Riesling,2006,2737,1.58,2.1 x 1.1,,26-Jun,25.7,191,0.45,72,1850,3-Aug,
Mannhardt-Sunnyside,F2,B3,Gewurztraminer,2006,1040,0.58,2.1 x 1.1,23-Apr,26-Jun,25.3,140,0.55,88.8,2247,3-Aug,
Mannhardt-Sunnyside,F2,B4,Riesling,2006,403,0.21,2.1 x 1.1,,26-Jun,,,,,,,
Mannhardt-Sunnyside,F2,B5,Pinot Noir,2006,2461,1.31,2.1 x 1.1,24-Apr,23-Jun,22.8,191,0.49,100.3,2287,28-Jul,
Mannhardt-Sunnyside,F2,B6,Pinot Noir,2006,2209,1.22,2.1 x 1.1,24-Apr,23-Jun,26.3,183,0.60,86.7,2280,28-Jul,
Mannhardt-Sunnyside,F2,B7,Pinot Noir,2006,702,0.45,2.1 x 1.1,24-Apr,23-Jun,24.4,167,0.54,73.8,1800,28-Jul,
Mannhardt-Sunnyside,F2,B8,Pinot Noir,2006,656,0.32,2.1 x 1.1,24-Apr,23-Jun,23.8,156,0.59,77.4,1842,28-Jul,
Mannhardt-Sunnyside,F3,B1,Riesling,2006,1132,0.68,2.1 x 1.1,25-Apr,24-Jun,27.7,170,0.50,75.8,2100,4-Aug,
Mannhardt-Sunnyside,F3,B2,Riesling,2006,1266,0.74,2.1 x 1.1,,24-Jun,30,146,0.59,84,2520,4-Aug,
Mannhardt-Sunnyside,F3,B3,Chasselas,2006,5151,3.29,2.1 x 1.1,24-Apr,27-Jun,35.7,180,0.89,173.8,6204,4-Aug,
Mannhardt-Sunnyside,F3,B4,Ehrenfelser,1977,745,1.13,3 x 1.4,,27-Jun,38,162,0.63,101,3838,4-Aug,
Mannhardt-Sunnyside,F3,B5,Riesling,1977,946,1.13,3 x 1.4,25-Apr,27-Jun,36.6,175,0.62,120.4,4407,4-Aug,
Mannhardt-Sunnyside,,,Total,,41018,27.61,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
