Vineyard,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Lag.Phase.G/Vine,Av.BunchWeight.Grams,Clust.per.Vine,Spurs.per.Block,Lag.Phase.Date,Pick.Date
,F5,B8,Gewurztraminer,1994,632,0.52,2.4 x 1.3,30-Apr,22-24 Jun,2450,79,31,26 buds max,25-Jul,19-Oct
,F5,B9,Gewurztraminer,1989,1526,1.26,2.4 x 1.3,,22-24 Jun,2350,65.2,36,,25-Jul,
,F6,B1,Merlot,2003,4100,2.2,2.1 x 1.1,2-May,18-20 June,1150,52.2,22,6-8-10 spurs,24-Jul,03-Oct
,F6,B2,Merlot,2003,4163,2.2,2.1 x 1.1,2-May,22-24 Jun,550,42.3,13,6-8-10 spurs,24-Jul,03-Oct
,East,Kelow,Lark Farm,1997,,4.95,,,,,,,,,
,Osy,,Old Foch,,,9.80,,,,,,,,,
,,,Young Foch,2006,2926,2.96,,,,,,,,,
,,,Chenin Blanc,2006,4061,1.65,2.1 x 1.1,,,,,,,,
,,,Syrah,2006,1748,1.60,,,,,,,,,
,,,Patricia,2006,15885,9.20,2.1 x 1.1,,,,,,,,
,,,Total,,144647,119.25,,,,,,,,,
Mannhardt-Sunnyside,F1,B1,Ehrenfelser,1986,2755,2.81,,30-Apr,22-24 Jun,,,,,,
Mannhardt-Sunnyside,F1,B2,Ehrenfelser,1986,2500,2.14,,30-Apr,,,,,,,
Mannhardt-Sunnyside,F1,B3,Chenin Blanc,2006,8946,5.04,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F1,B4,Pinot Noir,1997,3200,2.71,,29-Apr,18-20 Jun,,,,,,
Mannhardt-Sunnyside,F1,B5,Pinot Noir,2006,1838,1.04,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F2,B1,Riesling,2006,2331,1.23,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F2,B2,Riesling,2006,2737,1.58,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F2,B3,Gewurztraminer,2006,1040,0.58,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F2,B4,Riesling,2006,403,0.21,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F2,B5,Pinot Noir,2006,2461,1.31,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F2,B6,Pinot Noir,2006,2209,1.22,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F2,B7,Pinot Noir,2006,702,0.45,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F2,B8,Pinot Noir,2006,656,0.32,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F3,B1,Riesling,2006,1132,0.68,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F3,B2,Riesling,2006,1266,0.74,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F3,B3,Chasselas,2006,5151,3.29,2.1 x 1.1,,,,,,,,
Mannhardt-Sunnyside,F3,B4,Ehrenfelser,1977,745,1.13,,2-May,22-24 Jun,,,,,,
Mannhardt-Sunnyside,F3,B5,Riesling,1977,946,1.13,,,,,,,,,
Mannhardt-Sunnyside,,,Total,,41018,27.61,,,,,,,,,
