Vineyard,Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Clust.per.Vine,Berries.per.Clust,Row#,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Phase.G/Vine,Lag.Phase.Date,80%Veraison.Date,Av.BerryWeight.Grams,Av.BunchWeight.Grams,Lag.Estimate.t,Berry.Veraison.Estimate.Kg,Bunch.Veraison.Estimate.Kg,Bunch.Veraison.Estimate,2007.Actual,Percentage,Notes
,F4,B6,Cab Sauvignon,1997,1900,1.38,2.0 x 1.4,5-May,17-18-Jun,21,201,,0.76,115,2350,25-Jul,30-Aug,1.06,137,9.823,8501.094,5466.3,5.5,7.6,-39.0,need to adjust…?
,F4,B7,Pinot Noir,2005,965,0.53,2.1 x 1.1,20-Apr,11-Jun,,,,,,,,,,,0,0,0,0.0,1.0,,
,F4,B8,Pinot Noir,2005,1990,1.25,2.1 x 1.1,20-Apr,,,,,,,,,,,,0,0,0,0.0,1.6,,
,F4,B9,Pinot Noir,2005,2600,1.63,2.1 x 1.1,20-Apr,11-Jun,,,,,,,,,,,0,0,0,0.0,2.8,,
,F4,B10,Pinot Noir,1990,2093,1.73,2.4 x 1.3,29-Apr,12-13 Jun,29,187,12,0.70,123,3400,24-Jul,30-Aug,1.18,180,15.65564,13393.40002,10925.46,10.9,10.2,6.6,
,F4,B11,Pinot Noir,2003,2600,1.46,2.1 x 1.1,30-Apr,12-13 Jun,25,131,6,0.59,103,2600,25-Jul,30-Aug,1.00,151,14.872,8515,9815,9.8,6.9,29.7,
,F5,B1,Chardonnay,1997,3000,2.18,2.0 x 1.4,28-Apr,11-Jun,26,132,5,0.80,97,2550,23-Jul,30-Aug,1.07,162,16.83,11016.72,12636,12.6,13.3,-5.3,
,F5,B2,Chardonnay,1997,3000,2.18,2.0 x 1.4,,,22,158,16,0.61,106,2850,23-Jul,30-Aug,1.26,210,18.81,13139.28,13860,13.9,14.1,-1.7,
,F5,B3,Chardonnay,1997,3000,2.18,2.0 x 1.4,,,24,206,27,0.65,96,3000,23-Jul,30-Aug,1.19,180,19.8,17650.08,12960,13.0,13.9,-7.3,
,F5,B4,Chardonnay,1997,1000,0.73,2.0 x 1.4,,11-Jun,25,185,34,0.57,104,3550,23-Jul,30-Aug,1.07,200,7.81,4948.75,5000,5.0,6.3,-26.0,
,F5,B5,Pinot Noir,1997,2450,1.43,2.0 x 1.1,29-Apr,15-Jun,23,191,39,0.49,111,2200,23-Jul,30-Aug,1.01,181,11.858,10870.4785,10199.35,10.2,6.7,34.3,
,F5,B6,Pinot Noir,1997,3200,1.87,2.0 x 1.1,,,22,172,46,0.63,79,1550,23-Jul,30-Aug,1.02,157,10.912,12350.976,11052.8,11.1,8.5,23.1,
,F5,B7,Cab Sauvignon,1997,1716,1.25,2.0 x 1.4,5-May,17-18-Jun,18,181,52,0.55,97,1200,26-Jul,30-Aug,0.83,161,4.53024,4640.30424,4972.968,5.0,5.7,-14.6,
,F5,B8,Gewurztraminer,1994,632,0.52,2.4 x 1.3,30-Apr,22-23-Jun,28,183,24,0.74,112,3050,26-Jul,31-Aug,1.37,177,4.24072,4436.56416,3132.192,3.1,13.6,-334.2,weird!
,F5,B9,Gewurztraminer,1989,1526,1.26,2.4 x 1.3,,,,,,,,,,,,,,,,,,,
,F6,B1,Merlot,2003,4100,2.2,2.1 x 1.1,2-May,15-16-Jun,12,206,30,0.62,88,600,26-Jul,31-Aug,1.28,203,5.412,12973.056,9987.6,20.2,18.8,7.1,
,F6,B2,Merlot,2003,4163,2.2,2.1 x 1.1,2-May,15-16-Jun,16,151,88,0.65,85,1100,26-Jul,31-Aug,1.11,154,10.07446,11164.16688,10257.632,,,,
,East,Kelow,Lark Farm,1997,,4.95,2.4 x 1.3,,,,,,,,,,,,,,,,,,,
,Osy,,Old Foch,1975,4600,9.80,3 x 1.6,,28-May,85,113,35,0.65,55,5600,24-Jul,,,,,,,,,,
,,,Young Foch,2006,2926,2.96,3 x 1.4,15-Apr,,,,,,,,,,,,,,,,,,
,,,Chenin Blanc,2006,4061,1.65,2.1 x 1.1,,,,,,,,,,,,,,,,,,,
,,,Syrah,2006,1748,1.60,2.1 x 1.6,,,,,,,,,,,,,,,,,,,
,,,Patricia,2006,15885,9.20,2.1 x 1.1,,,,,,,,,,,,,,,,,,,
,,,Total,,149247,119.25,,,,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F1,B1,Ehrenfelser,1986,2755,2.81,3 x 1.4,30-Apr,21-22-Jun,30,145,20,0.65,74,2490,27-Jul,31-Aug,1.12,191,,,,,,,
Mannhardt-Sunnyside,F1,B2,Ehrenfelser,1986,2500,2.14,3 x 1.4,30-Apr,,33,123,29,0.71,81,2150,27-Jul,31-Aug,1.16,177,,,,,,,
Mannhardt-Sunnyside,F1,B3,Chenin Blanc,2006,8946,5.04,2.1 x 1.1,22-Apr,15-Jun,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F1,B4,Pinot Noir,1997,3200,2.71,2.4 x 1.4,29-Apr,15-Jun,28,151,38,0.84,119,3650,26-Jul,30-Aug,1.38,235,,,,,,,
Mannhardt-Sunnyside,F1,B5,Pinot Noir,2006,1838,1.04,2.1 x 1.1,27-Apr,14-Jun,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F2,B1,Riesling,2006,2331,1.23,2.1 x 1.1,27-Apr,15-16-Jun,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F2,B2,Riesling,2006,2737,1.58,2.1 x 1.1,27-Apr,,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F2,B3,Gewurztraminer,2006,1040,0.58,2.1 x 1.1,27-Apr,18-19-Jun,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F2,B4,Riesling,2006,403,0.21,2.1 x 1.1,27-Apr,15-16-Jun,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F2,B5,Pinot Noir,2006,2461,1.31,2.1 x 1.1,27-Apr,14-Jun,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F2,B6,Pinot Noir,2006,2209,1.22,2.1 x 1.1,27-Apr,,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F2,B7,Pinot Noir,2006,702,0.45,2.1 x 1.1,27-Apr,,,,,,,,,,,,,,,,,,
Mannhardt-Sunnyside,F2,B8,Pinot Noir,2006,656,0.32,2.1 x 1.1,27-Apr,14-Jun,,,,,,,,,,,,,,,,,
