Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Lag.Phase.G/Vine,Av.BunchWeight.Grams,Clust.per.Vine,Lag.Phase.Date,50%Veraison,Pick.Date
F6,B1,Merlot,,,,,10-11 Apr,7-8 Jun,na,na,na,na,,
F6,B2,Merlot,,,,,10-11 Apr,7-8 Jun,na,na,na,na,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
