Field,Block,Variety,Planted,Plants,Acres,Row.Spacing,Budburst,Flowering,Lag.Phase.G/Vine,Av.BunchWeight.Grams,Clust.per.Vine,Lag.Phase.Date,50%Veraison,Pick.Date
F1,B1,Merlot,1994/97,1515,0.91,2.4 x 1.2,26-Apr,13-14 Jun,1960,59.3,33,20-Jul,21-Aug,21-Oct
F1,B2,Chardonnay,1996,4000,1.98,2.0 x 1.0,23-Apr,15-Jun,324,24.9,13,20-Jul,,03-Oct
F1,B3,Optima,1982,4833,4.48,2.7 x 1.3,27-Apr,16-17 Jun,818,48.1,17,20-Jul,,26-Oct
F1,B4,Riesling,1982,5536,5.13,2.7 x 1.3,27-Apr,15-16 Jun,1395,55.8,25,20-Jul,,28-Oct
F1,B5,Pinot Blanc,1997/98,6191,4.50,2.1 x 1.4,26-Apr,17-Jun,1655,87.1,19,20-Jul,,11-Oct
F1,B6,Sauvignon Blanc,1997,2500,1.82,2.1 x 1.4,26-Apr,17-Jun,996,55.3,18,20-Jul,,29-Sep
F1,B7,Chasselas,1975/83,2114,2.86,3.0 x 2.1,,20-21 Jun,5240,75.9,69,20-Jul,,24-Oct
F2,B1,Riesling,1987,3078,2.86,2.7 x 1.3,26-Apr,16-17 Jun,2384,61.1,39,20-Jul,,27-Oct
F2,B2,Merlot,1998,4500,3.27,2.1 x 1.4,26-Apr,14-15 Apr,1500,78.9,19,20-Jul,24-Aug,18-Oct
F2,B3,Chasselas,1975/83,1590,2.45,3.0 x 2.1,26-Apr,20-21 Jun,3115,103.8,30,20-Jul,,25-Oct
,,T-bar,,,,,,,6263,65.9,95,20-Jul,,
F2,B4,Chardonnay,1987,1532,1.42,2.7 x 1.3,23-Apr,14-Jun,3410,71,48,20-Jul,,17-Oct
F2,B5,Chardonnay,1993,800,0.48,2.4 x 1.2,23-Apr,14-Jun,3020,62.9,48,20-Jul,,
F2,B6,Chenin Blanc,1997,6500,4.72,2.1 x 1.4,26-Apr,16-Jun,1425,118.7,12,20-Jul,,13-Oct
F2,B7,Merlot,1998,4500,3.27,2.1 x 1.4,26-Apr,14-15 Jun,1768,93,19,20-Jul,26-Aug,21-Oct
F2,B8,Merlot,1998,1600,1.16,2.1 x 1.4,26-Apr,14-15 Jun,1390,69.5,20,20-Jul,26-Aug,20-Oct
F2,B9,Gamay Noir,1998,1257,0.91,2.1 x 1.4,25-Apr,12-Jun,2172,94.4,23,20-Jul,13-Aug,20-Oct
F3,B1,Pinot Noir,2005,2895,1.89,2.1 x 1.1,na,na,,,,,,
F3,B2,Foch,1965,780,1.25,3.1 x 2.1,22-Apr,31-May,2404,24,100,19-Jul,,27-Sep
F3,B3,Pinot Noir,1996,5000,2.47,2.0 x 1.0,24-Apr,13-Jun,1335,63.5,21,19-Jul,19-Aug,30-Sep
F3,B4,Chardonnay,1996,5000,2.47,2.0 x 1.0,23-Apr,11-12 Jun,1784,99.1,18,19-Jul,,05-Oct
F3,B5,Pinot Noir,1990,1103,0.91,2.4 x 1.3,24-Apr,11-12 Jun,1614,64.5,25,19-Jul,13-Aug,29-Sep
F3,B6,Pinot Noir,1987,600,0.50,2.4 x 1.3,24-Apr,11-12 Jun,1780,71.2,25,19-Jul,13-Aug,
F3,B7,Pinot Noir,1987,1160,0.96,2.4 x 1.3,24-Apr,11-12 Jun,1810,62.4,29,19-Jul,13-Aug,13-Oct
F3,B8,Pinot Noir,1975/90,631,0.54,2.4 x 1.3,24-Apr,11-12 Jun,2136,76.2,28,19-Jul,13-Aug,
F4,B1,Riesling,1982,2614,2.23,2.4 x 1.3,27-Apr,15-16 Jun,1390,51.4,27,20-Jul,,31-Oct
F4,B2,Pinot Noir,2005,1240,1.00,2.1 x 1.1,na,na,,,,,,
F4,B3,Pinot Noir,1990,3279,2.71,2.4 x 1.3,24-Apr,11-12 Jun,1100,55,20,19-Jul,11-Aug,30-Sep
F4,B4,Foch,1965/98,1339,1.60,3.0 x 2.1,22-Apr,31-May,5010,42,119,19-Jul,,27-Sep
F4,B5,Cab Sauvignon,2003,3920,2.46,2.1 x 1.2,25-Apr,13-Jun,816,68,12,20-Jul,26-Aug,02-Nov
F4,B6,Cab Sauvignon,1997,1900,1.38,2.0 x 1.4,24-Apr,14-15 Jun,1040,33.5,31,20-Jul,27-Aug,02-Nov
F4,B7,Pinot Noir,2005,965,,2.1 x 1.1,na,na,,,,,,
F4,B8,Pinot Noir,2005,1990,,2.1 x 1.1,na,na,,,,,,
F4,B9,Pinot Noir,2005,2600,3.42,2.1 x 1.1,na,na,,,,,,
F4,B10,Pinot Noir,1990,2093,1.73,2.4 x 1.3,24-Apr,12-Jun,2369,81.6,29,19-Jul,11-Aug,28-Sep
F4,B11,Pinot Noir,2003,2600,1.46,2.1 x 1.1,22-Apr,11-Jun,2148,97.6,22,19-Jul,13-Aug,28-Sep
F5,B1,Chardonnay,1997,3000,2.18,2.0 x 1.4,23-Apr,13-14 Jun,2392,108.7,22,20-Jul,,12-Oct
F5,B2,Chardonnay,1997,3000,2.18,2.0 x 1.4,23-Apr,13-14 Jun,1808,78.6,23,20-Jul,,12-Oct
F5,B3,Chardonnay,1997,3000,2.18,2.0 x 1.4,23-Apr,13-14 Jun,2127,81.8,26,20-Jul,,05-Oct
F5,B4,Chardonnay,1997,1000,0.73,2.0 x 1.4,23-Apr,13-14 Jun,1920,76.8,25,20-Jul,,05-Oct
F5,B5,Pinot Noir,1997,2450,1.43,2.0 x 1.1,24-Apr,13-14 Jun,1805,78.3,23,20-Jul,16-Aug,12-Oct
F5,B6,Pinot Noir,1997,3200,1.87,2.0 x 1.1,24-Apr,13-14 Jun,1250,62.5,20,20-Jul,16-Aug,12-Oct
F5,B7,Cab Sauvignon,1997,1716,1.25,2.0 x 1.4,25-Apr,15-16 Jun,1515,58.2,26,20-Jul,27-Aug,02-Nov
F5,B8,Gewurztraminer,1994,632,0.52,2.4 x 1.3,26-Apr,19-Jun,1610,44.7,36,20-Jul,,19-Oct
F5,B9,Gewurztraminer,1989,1526,1.26,2.4 x 1.3,26-Apr,19-Jun,1836,48.2,38,20-Jul,,
F6,B1,Merlot,2003,4100,2.2,2.1 x 1.1,22-Apr,13-Jun,602,43.0,14,20-Jul,20-Aug,03-Oct
F6,B2,Merlot,2003,4163,2.2,2.1 x 1.1,22-Apr,13-Jun,1380,76.6,18,20-Jul,20-Aug,03-Oct
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
