VYears,Source,Vineyard,Block,Variety,Acres,Tier,Budbreak,Bloom,Veraison,BunchesPerVine,BunchWt(kg),BerryMass(g),Brix,pH,TA,GDDtoHarvest,HarvestDate,Yield (Tonnes),ActualT/A,
2018,Own,Perfect Hedge,E,Cabernet Sauvignon,1.50,1,28-Apr-18,1-Jun-18,16-Aug-18,17.2,0.1941,,26.4,3.12,7.52,,5-Nov-18,3.480,2.32,
2018,Grower,Phantom Creek,A,Cabernet Franc,2.00,3,,,,,0.1961,,23.8,3.11,6.47,,23-Oct-18,11.091,5.55,
2018,Grower,Phantom Creek,B,Cabernet Sauvignon,1.00,3,,,,,0.1224,,24.8,3.07,7.52,,23-Oct-18,3.820,3.82,
2017,Own,BSV,4C,Merlot,2.05,3,1-May-17,16-Jun-17,16-Aug-17,39.8,0.2490,,22.7,3.03,8.38,,11-Oct-17,9.481,4.63,
2017,Own,BSV,5A,Merlot,3.79,3,30-Apr-17,16-Jun-17,15-Aug-17,36.9,0.2354,1.38,22.1,3.01,7.42,,24-Sep-17,12.351,3.26,
2003,Own,Plut,,Pinot Gris,,,,,,,,,,,,,,11.19,,
2004,Own,Plut,,Cabernet Franc,,,,,,,,,,,,,,6.24,,
2004,Own,Plut,,Chardonnay,,,,,,,,,,,,,,14.43,,
2017,Own,BSV2,B,Merlot,6.72,2,3-May-17,14-Jun-17,14-Aug-17,32.3,0.1142,,25.2,3.11,5.04,1607.3,13-Oct-17,18.516,2.76,
2004,Own,Plut,,Pinot Gris,,,,,,,,,,,,,,9.47,,
2005,Own,Plut,,Cabernet Franc,,,,,,,,,,,,,,7.32,,
2005,Own,Plut,,Chardonnay,,,,,,,,,,,,,,11.23,,
2017,Own,BSV2,E,Merlot,5.10,1,3-May-17,14-Jun-17,14-Aug-17,32.3,0.1299,1.19,27.4,3.10,5.35,1614.9,1-Nov-17,17.798,3.49,
2018,Grower,Roche,A,Schonberger,1.64,3,,,,,0.1653,,21.7,3.14,4.76,,29-Sep-18,9.251,5.63,
2017,Own,BSV2,E,Merlot,1.01,Premium,3-May-17,14-Jun-17,14-Aug-17,14.7,0.1142,1.19,27.4,3.20,4.61,1614.9,1-Nov-17,1.914,1.90,
2018,Grower,Sail Away,B,Pinot Gris,1.19,1,,,,,,,23.2,3.22,7.60,,24-Sep-18,2.650,2.23,
2018,Grower,Sekhon-Dhaliwal,A,Chardonnay,1.26,3,,,,,0.1618,,22.3,3.05,8.19,,5-Oct-18,8.767,6.97,
2017,Own,Bullpine,A,Merlot,7.45,3,3-May-17,13-Jun-17,18-Aug-17,28.2,0.1616,1.77,23.3,3.02,7.39,1516.6,26-Sep-17,30.145,4.05,
2018,Grower,Sekhon-Dhaliwal,C,Muscat,1.47,3,,,,,0.2178,,22.6,3.28,5.98,,30-Oct-18,10.574,7.19,
2018,Grower,Sekhon-Dhaliwal,D,Pinot Gris,1.98,3,,,,,0.1391,,21.6,3.02,9.47,,25-Sep-18,14.181,7.16,
2018,Grower,Sekhon-Dhaliwal,E,Cabernet Sauvignon,0.55,3,,,,,0.1809,,25.1,3.04,8.57,,31-Oct-18,1.437,2.61,
2018,Grower,Sidhu_H,A,Malbec,2.46,3,,,,,0.2824,,22.4,3.17,8.34,,4-Nov-18,16.588,6.75,
2018,Grower,Sidhu_H,B,Viognier,2.16,3,,,,,0.2498,,20.8,3.10,7.63,,22-Oct-18,15.738,7.28,
2018,Grower,Sidhu_H,C,Pinot Noir,1.12,3,,,,,0.1620,,24.6,3.11,8.47,,23-Oct-18,7.024,6.25,
2018,Grower,Sidhu_H,D,Chardonnay,1.22,3,,,,,0.1430,,22.0,3.06,8.95,,5-Oct-18,9.851,8.05,
2017,Own,Bullpine,B,Merlot,3.40,2,3-May-17,13-Jun-17,16-Aug-17,28.2,0.2143,1.64,25.5,3.10,7.00,1558.6,17-Oct-17,13.091,3.85,
2018,Grower,Sidhu_J,B,Pinot Gris,1.60,3,,,,,0.1771,,22.0,3.05,9.56,,13-Sep-18,9.851,6.16,
2017,Own,Bullpine,B,Merlot,3.08,2,3-May-17,13-Jun-17,16-Aug-17,28.2,0.2143,1.64,25.5,3.10,7.00,1558.6,17-Oct-17,11.889,3.86,
