VYears,Source,Vineyard,Block,Variety,Acres,Tier,Budbreak,Bloom,Veraison,BunchesPerVine,BunchWt(kg),BerryMass(g),Brix,pH,TA,GDDtoHarvest,HarvestDate,Yield (Tonnes),ActualT/A,
2001,Own,Bearcub,A,Shiraz,14.09,,25-Apr-01,18-Jun-01,10-Aug-01,12.0,0.2014,,25.1,3.40,6.00,,24-Oct-01,20.4818,1.45,
2001,Own,Bearcub,B,Cabernet Sauvignon,11.72,,28-Apr-01,15-Jun-01,10-Aug-01,8.8,0.1514,,25.3,3.16,8.60,,3-Oct-01,16.2886,1.39,
2001,Own,Bearcub,C,Cabernet Sauvignon,9.95,,4-May-01,15-Jun-01,8-Aug-01,4.7,0.1787,,25.1,3.25,8.90,,7-Oct-01,7.3341,0.74,
2001,Own,Bearcub,D,Cabernet Sauvignon,10.95,,27-Apr-01,15-Jun-01,8-Aug-01,4.6,0.1727,,25.1,3.19,8.60,,7-Oct-01,12.4727,1.14,
2001,Own,Bearcub,E,Cabernet Sauvignon,10.92,,3-May-01,17-Jun-01,12-Aug-01,6.5,0.1457,,24.6,3.24,7.50,,13-Oct-01,12.0045,1.10,
2001,Own,Bearcub,F,Chardonnay,10.36,,25-Apr-01,9-Jun-01,7-Aug-01,11.9,0.1852,,21.8,3.15,7.90,,10-Sep-01,19.5818,1.89,
2000,Grower,Chobotar,,Merlot,,,,,,,,,,,,,,0.22,,
2000,Grower,Dan Prpich,,Merlot,,,,,,,,,,,,,,3.69,,
2001,Own,Bearcub,I,Cabernet Franc,10.56,,27-Apr-01,16-Jun-01,15-Aug-01,12.5,0.1759,,25.0,3.21,8.00,,7-Oct-01,28.8773,2.73,
2001,Own,Bearcub,J,Chardonnay,10.25,,25-Apr-01,9-Jun-01,7-Aug-01,11.0,0.1611,,22.4,3.20,7.80,,12-Sep-01,19.9659,1.95,
2001,Own,Bearcub,K,Zinfandel,5.11,,26-Apr-01,,,,,,,,,,,,,
2001,Own,Bearcub,L,Pinot Noir,9.03,,30-Apr-01,13-Jun-01,7-Aug-01,11.2,0.1443,,23.1,3.17,8.00,,12-Sep-01,16.4182,1.82,
2001,Own,Bearcub,M,Sauvignon Blanc,6.68,,26-Apr-01,16-Jun-01,8-Aug-01,7.7,0.1443,,22.0,3.14,8.90,,11-Sep-01,8.8823,1.33,
2001,Own,Bearcub,N,Sauvignon Blanc,6.29,,28-Apr-01,16-Jun-01,6-Aug-01,9.9,,,24.1,2.97,11.00,,9-Sep-01,8.8536,1.41,
2001,Own,Bearcub,O,Chardonnay,11.72,,25-Apr-01,9-Jun-01,6-Aug-01,9.5,0.1804,,21.8,3.19,8.40,,10-Sep-01,20.0495,1.71,
2001,Own,Bearcub,P,Pinot Noir,2.30,,27-Apr-01,12-Jun-01,7-Aug-01,11.1,,,23.0,3.21,9.80,,12-Sep-01,2.5364,1.10,
2001,Own,Bearcub,Q,Cabernet Sauvignon,9.05,,27-Apr-01,14-Jun-01,9-Aug-01,10.1,0.1807,,24.9,3.17,7.10,,13-Oct-01,15.6091,1.72,
2001,Own,Bearcub,R,Sauvignon Blanc,5.59,,26-Apr-01,16-Jun-01,6-Aug-01,8.4,0.1628,,23.0,3.03,9.20,,19-Sep-01,9.6727,1.73,
2000,Grower,Frank McConnel,,Merlot,,,,,,,,,,,,,,2.34,,
2001,Own,BSV,4D,Chardonnay,2.41,,,,,,,,,,,,,17.7773,7.38,
2001,Own,BSV,4E,Chardonnay,1.65,,,,,,,,,,,,,12.1712,7.38,
2001,Own,BSV,4F,Semillon,0.24,,,,,,,,,,,,,0.3830,1.60,
2001,Own,BSV,4G,Cabernet Franc,1.47,,,,,,,,,,,,,5.3968,3.67,
2001,Own,BSV,4H,Cabernet Franc,4.69,,,,,,,,,,,,,17.3362,3.70,
2000,Grower,Inkameep,,Merlot,,,,,,,,,,,,,,15.39,,
2001,Own,BSV,5B,Chardonnay,2.52,,,,,,,,,,,,,17.9248,7.11,
2001,Own,BSV,5C,Chardonnay,1.44,,,,,,,,,,,,,10.4008,7.22,
2001,Own,BSV,5D,Semillon,0.30,,,,,,,,,,,,,0.4788,1.60,
2001,Own,BSV,5E,Cabernet Franc,1.63,,,,,,,,,,,,,6.0252,3.70,
2001,Own,BSV,5F,Cabernet Franc,6.21,,,,,,,,,,,,,22.9548,3.70,
2001,Own,BSV,5G,Muscat,0.38,,,,,,,,,,,,,,,
2000,Grower,Paul Hope,,Merlot,,,,,,,,,,,,,,1.57,,
2001,Own,BSV,6A,Malbec,1.16,,,,,,,,,,,,,,,
2001,Own,BSV,6B,Petit Verdot,1.15,,,,,,,,,,,,,,,
2001,Own,BSV,6C,Semillon,0.94,,,,,,,,,,,,,1.5018,1.60,
2000,Own,Plut,,Merlot,,,,,,,,,,,,,,12.50,,
2001,Own,BSV,6E,Sauvignon Blanc,3.41,,,,,,,,,,,,,19.1051,5.60,
2001,Own,BSV,6F,Gewurztraminer,2.91,,,,,,,,,,,,,8.3160,2.86,
2001,Own,BSV,6G,Sauvignon Blanc,0.48,,,,,,,,,,,,,2.7427,5.71,
2001,Own,BSV,6H,Morio Muscat,1.11,,,,,,,,,,,,,,,
2001,Own,BSV,7A,Petit Verdot,0.01,,,,,,,,,,,,,,,
2001,Own,BSV,7B,Semillon,0.25,,,,,,,,,,,,,0.3990,1.60,
2001,Own,Bearcub,G,Merlot,12.58,,28-Apr-01,17-Jun-01,12-Aug-01,10.1,0.2202,,23.7,3.27,8.40,,21-Sep-01,36.5136,2.90,
2001,Own,BSV,7D,Sauvignon Blanc,0.96,,,,,,,,,,,,,5.4855,5.71,
2001,Own,Bearcub,H,Merlot,12.88,,28-Apr-01,17-Jun-01,12-Aug-01,9.2,0.1639,,22.8,3.21,6.90,,15-Sep-01,28.8068,2.24,
2001,Own,BSV,4C,Merlot,5.12,,,,,,,,,,,,,35.4117,6.92,
2001,Own,BSV,5A,Merlot,3.59,,,,,,,,,,,,,26.4215,7.36,
2001,Own,BSV,5H,Merlot,4.69,,,,,,,,,,,,,32.4390,6.92,
2001,Own,Bullpine,E,Pinot Noir,6.34,,28-Apr-01,15-Jun-01,11-Aug-01,20.4,0.1367,,23.0,3.32,6.80,,24-Sep-01,18.7864,2.96,
2001,Own,BSV,6D,Merlot,3.21,,,,,,,,,,,,,22.2024,6.92,
2001,Own,BSV,7C,Merlot,1.99,,,,,,,,,,,,,13.7641,6.92,
2001,Own,Bullpine,H,Pinot Noir,11.25,,30-Apr-01,16-Jun-01,13-Aug-01,16.9,0.1702,,22.7,3.21,8.00,,2-Oct-01,30.3909,2.70,
2001,Own,Bullpine,I,Viognier,7.70,,27-Apr-01,13-Jun-01,11-Aug-01,13.5,0.1899,,24.0,3.35,7.30,,29-Sep-01,26.8636,3.49,
2001,Own,Bullpine,J,Chardonnay,8.40,,25-Apr-01,16-Jun-01,8-Aug-01,21.0,0.1238,,22.0,3.22,7.40,,18-Sep-01,31.7386,3.78,
2001,Own,Bullpine,A,Merlot,7.37,,1-May-01,17-Jun-01,15-Aug-01,12.6,0.1913,,24.2,3.20,8.80,,3-Oct-01,32.3909,4.39,
2001,Own,Bullpine,L,Pinot Noir,9.39,,28-Apr-01,16-Jun-01,12-Aug-01,0.0,0.1365,,23.7,3.30,7.80,,1-Oct-01,26.4773,2.82,
2001,Own,Bullpine,M,Chardonnay,8.51,,25-Apr-01,16-Jun-01,8-Aug-01,19.4,0.1604,,21.4,3.27,8.60,,16-Sep-01,30.8705,3.63,
2001,Own,Bullpine,N,Pinot Noir,4.42,,28-Apr-01,17-Jun-01,12-Aug-01,20.6,0.1419,,23.5,3.35,7.20,,2-Oct-01,18.8182,4.26,
2001,Own,Bullpine,B,Merlot,11.41,,28-Apr-01,17-Jun-01,15-Aug-01,18.0,0.1791,,24.4,3.28,7.20,,3-Oct-01,45.5091,3.99,
2001,Own,Bullpine,P,Cabernet Sauvignon,10.47,,28-Apr-01,20-Jun-01,17-Aug-01,22.5,0.1056,,23.9,3.14,8.90,,18-Oct-01,38.1682,3.65,
2001,Own,Bullpine,R,Chardonnay,12.87,,25-Apr-01,17-Jun-01,10-Aug-01,22.3,0.1518,,22.6,3.39,5.80,,3-Oct-01,53.4318,4.15,
2001,Own,Bullpine,S,Cabernet Sauvignon,6.99,,5-May-01,21-Jun-01,17-Aug-01,19.7,0.1432,,23.1,3.25,9.30,,22-Oct-01,22.9455,3.28,
2001,Own,Bullpine,T,Cabernet Sauvignon,12.03,,25-Apr-01,19-Jun-01,18-Aug-01,14.7,0.1665,,23.6,3.26,8.70,,15-Oct-01,36.7841,3.06,
2001,Own,Bullpine,C,Merlot,7.52,,28-Apr-01,17-Jun-01,15-Aug-01,12.1,0.1979,,24.6,3.38,6.10,,7-Oct-01,33.4705,4.45,
2001,Own,Bullpine,V,Cabernet Sauvignon,8.81,,5-May-01,21-Jun-01,19-Aug-01,21.1,0.1409,,23.6,3.18,7.80,,23-Oct-01,29.5182,3.35,
2001,Own,Bullpine,W,Cabernet Sauvignon,10.42,,1-May-01,20-Jun-01,18-Aug-01,17.4,0.1426,,23.8,3.15,8.30,,26-Oct-01,34.9023,3.35,
2001,Own,Bullpine,X,Pinot Noir,12.42,,30-Apr-01,17-Jun-01,12-Aug-01,23.2,0.1331,,23.0,3.10,10.70,,19-Sep-01,39.4659,3.18,
2001,Own,Bullpine,Y,Sauvignon Blanc,12.49,,25-Apr-01,14-Jun-01,10-Aug-01,16.9,0.1483,,22.2,3.25,8.30,,15-Sep-01,45.3545,3.63,
2001,Own,Bullpine,D,Merlot,14.55,,28-Apr-01,17-Jun-01,15-Aug-01,18.7,0.1604,,24.2,3.42,5.60,,8-Oct-01,52.8750,3.63,
2001,Own,Bullpine,Z2,Pinot Noir,5.14,,30-Apr-01,15-Jun-01,9-Aug-01,15.9,0.1467,,23.3,3.33,6.00,,2-Oct-01,16.2045,3.15,
2001,Own,Bullpine,Z3,Sauvignon Blanc,0.70,,25-Apr-01,13-Jun-01,5-Aug-01,4.4,0.1278,,23.8,3.18,10.50,,9-Sep-01,0.7000,1.00,
2001,Own,HMV,B,Gewurztraminer,3.28,,2-May-01,18-Jun-01,10-Aug-01,10.5,0.1534,,20.2,3.22,,,17-Sep-01,3.9091,1.19,
2001,Own,HMV,C,Ehrenfelser,2.05,,8-May-01,24-Jun-01,17-Aug-01,28.7,0.1080,,,,,,,,,
2001,Own,HMV,D,Ehrenfelser,2.00,,6-May-01,24-Jun-01,17-Aug-01,28.3,0.1364,,,,,,,,,
2001,Own,HMV,E,Pinot Blanc,1.80,,7-May-01,22-Jun-01,17-Aug-01,6.9,0.1648,,22.5,3.07,,,22-Oct-01,0.7545,0.42,
2001,Own,HMV,G2,Pinot Blanc,1.60,,5-May-01,24-Jun-01,17-Aug-01,32.4,0.1648,,,,,,,,,
2001,Own,HMV,H,Chardonnay,2.80,,4-May-01,22-Jun-01,15-Aug-01,23.5,0.1222,,23.0,3.02,,,23-Oct-01,8.1636,2.92,
2001,Own,HMV,J,Chardonnay,3.53,,6-May-01,20-Jun-01,15-Aug-01,15.5,0.1591,,23.0,3.04,,,23-Oct-01,8.1727,2.32,
2001,Own,HMV,K,Gewurztraminer,0.62,,7-May-01,23-Jun-01,13-Aug-01,18.0,0.0994,,21.9,3.61,,,24-Sep-01,1.2636,2.04,
2001,Own,HMV,N,Gamay Noir,0.98,,8-May-01,25-Jun-01,18-Aug-01,17.4,0.1903,,21.8,2.97,,,17-Oct-01,5.7000,5.82,
2001,Own,HMV,O,Pinot Noir,5.70,,8-May-01,23-Jun-01,17-Aug-01,29.1,0.1392,,19.5,3.22,,,4-Oct-01,15.8000,2.77,
2001,Own,HMV,Q,Gewurztraminer,7.89,,8-May-01,23-Jun-01,13-Aug-01,22.6,0.0994,,20.6,3.23,,,11-Oct-01,21.4727,2.72,
2001,Own,HMV,S,Gewurztraminer,11.46,,8-May-01,23-Jun-01,13-Aug-01,2.1,0.2398,,21.0,3.31,,,24-Sep-01,7.0636,0.62,
2001,Own,HMV,T,Gewurztraminer,10.29,,6-May-01,23-Jun-01,13-Aug-01,29.5,0.1401,,22.4,3.39,,,9-Oct-01,35.2727,3.43,
2001,Own,Sumac,A,Gewurztraminer,0.79,,,,,,,,,,,,,0.4248,0.54,
2001,Own,Sumac,B,Gewurztraminer,0.59,,,,,,,,,,,,,0.3172,0.54,
2001,Own,Sumac,C,Riesling,1.23,,,,,,,,,,,,,5.3360,4.34,
2001,Own,Sumac,D,Pinot Noir,0.19,,,,,,,,,,,,,0.7820,4.12,
2002,Own,Bearcub,A,Shiraz,14.09,,30-Apr-02,19-Jun-02,16-Aug-02,13.5,0.2083,,25.0,3.38,6.90,1500.5,18-Oct-02,45.0500,3.20,
2002,Own,Bearcub,B,Cabernet Sauvignon,11.72,,30-Apr-02,17-Jun-02,16-Aug-02,16.4,0.1257,,26.0,3.16,7.20,1500.5,17-Oct-02,23.2200,1.98,
2002,Own,Bearcub,C,Cabernet Sauvignon,9.95,,30-Apr-02,18-Jun-02,16-Aug-02,12.1,0.2006,,25.1,3.24,7.95,1502.9,21-Oct-02,17.4191,1.75,
2002,Own,Bearcub,D,Cabernet Sauvignon,10.95,,30-Apr-02,18-Jun-02,15-Aug-02,19.5,0.1609,,25.7,3.15,7.50,1500.5,16-Oct-02,25.4536,2.32,
2002,Own,Bearcub,E,Cabernet Sauvignon,10.92,,30-Apr-02,17-Jun-02,19-Aug-02,16.3,0.1542,,24.0,3.32,10.35,1502.9,21-Oct-02,29.9591,2.74,
2002,Own,Bearcub,F,Chardonnay,10.36,,1-May-02,20-Jun-02,20-Aug-02,12.2,0.1659,,22.2,3.27,9.00,1417.1,17-Sep-02,22.1600,2.14,
2001,Own,Bullpine,F,Merlot,7.31,,28-Apr-01,17-Jun-01,14-Aug-01,18.4,0.1319,,24.0,3.52,5.60,,8-Oct-01,23.6273,3.23,
2001,Own,Bullpine,G,Merlot,13.05,,25-Apr-01,15-Jun-01,13-Aug-01,20.4,0.1923,,23.6,3.30,8.70,,15-Sep-01,39.2045,3.00,
2002,Own,Bearcub,I,Cabernet Franc,10.56,,29-Apr-02,18-Jun-02,16-Aug-02,9.2,0.1805,1.25,25.2,3.35,7.35,1498.1,15-Oct-02,23.3745,2.21,
2002,Own,Bearcub,J,Chardonnay,10.25,,29-Apr-02,18-Jun-02,16-Aug-02,14.4,0.1651,,21.7,3.28,9.60,1410.6,16-Sep-02,27.9373,2.73,
2002,Own,Bearcub,K,Zinfandel,5.11,,29-Apr-02,18-Jun-02,14-Aug-02,4.9,0.2661,2.25,26.8,3.40,9.75,1496.8,9-Oct-02,4.4073,0.86,
2002,Own,Bearcub,L,Pinot Noir,9.03,,29-Apr-02,18-Jun-02,14-Aug-02,13.5,0.1507,,24.1,3.37,8.80,1490.9,7-Oct-02,18.6155,2.06,
2002,Own,Bearcub,M,Sauvignon Blanc,6.68,,29-Apr-02,20-Jun-02,14-Aug-02,11.6,0.1421,1.59,23.1,3.29,8.85,1458.2,25-Sep-02,8.6682,1.30,
2002,Own,Bearcub,N,Sauvignon Blanc,6.29,,29-Apr-02,18-Jun-02,14-Aug-02,12.3,0.1472,,21.2,3.05,13.65,1422.4,18-Sep-02,13.4891,2.14,
2002,Own,Bearcub,O,Chardonnay,11.72,,29-Apr-02,17-Jun-02,15-Aug-02,17.5,0.1326,1.14,23.0,3.27,9.23,1392.2,14-Sep-02,38.7091,3.30,
2002,Own,Bearcub,P,Pinot Noir,4.15,,29-Apr-02,17-Jun-02,13-Aug-02,13.4,0.1731,,23.2,3.36,8.32,1451.6,24-Sep-02,5.7936,1.40,
2002,Own,Bearcub,Q,Cabernet Sauvignon,9.05,,29-Apr-02,17-Jun-02,15-Aug-02,12.9,0.1316,,25.0,3.21,7.50,1474.8,4-Oct-02,20.8000,2.30,
2002,Own,Bearcub,R,Sauvignon Blanc,5.59,,30-Apr-02,18-Jun-02,15-Aug-02,13.0,0.1369,1.59,23.3,3.13,9.15,1422.4,18-Sep-02,10.1536,1.82,
2001,Own,Bullpine,K,Merlot,7.98,,25-Apr-01,16-Jun-01,14-Aug-01,18.1,0.1492,,24.0,3.51,5.40,,2-Oct-01,16.5000,2.07,
2002,Own,BSV,4D,Chardonnay,2.41,,,,,,,,,,,,,13.6881,5.68,
2002,Own,BSV,4E,Chardonnay,1.65,,,,,,,,,,,,,9.3715,5.68,
2002,Own,BSV,4F,Semillon,0.24,,,,,,,,,,,,,0.4514,1.88,
2002,Own,BSV,4G,Cabernet Franc,1.47,,,,,,,,,,,,,5.7521,3.91,
2002,Own,BSV,4H,Cabernet Franc,4.69,,,,,,,,,,,,,18.9360,4.04,
2001,Own,Bullpine,O,Merlot,11.36,,3-May-01,17-Jun-01,15-Aug-01,20.9,0.1661,,25.4,3.39,6.00,,12-Oct-01,38.4100,3.38,
2002,Own,BSV,5B,Chardonnay,2.52,,,,,,,,,,,,,13.8016,5.48,
2002,Own,BSV,5C,Chardonnay,1.44,,,,,,,,,,,,,8.0084,5.56,
2002,Own,BSV,5D,Semillon,0.30,,,,,,,,,,,,,0.5643,1.88,
2002,Own,BSV,5E,Cabernet Franc,1.63,,,,,,,,,,,,,6.4219,3.94,
2002,Own,BSV,5F,Cabernet Franc,6.21,,,,,,,,,,,,,25.0730,4.04,
2002,Own,BSV,5G,Muscat,0.38,,,,,,,,,,,,,,,
2001,Own,Bullpine,U,Merlot,11.10,,28-Apr-01,18-Jun-01,14-Aug-01,24.1,0.1850,,24.6,3.32,6.60,,6-Oct-01,57.3250,5.16,
2002,Own,BSV,6A,Malbec,1.16,,,,,,,,,,,,,,,
2002,Own,BSV,6B,Petit Verdot,1.15,,,,,,,,,,,,,,,
2002,Own,BSV,6C,Semillon,0.94,,,,,,,,,,,,,1.7681,1.88,
2001,Own,Bullpine,Z1,Merlot,3.34,,2-May-01,18-Jun-01,13-Aug-01,18.4,0.1424,,24.3,3.50,5.10,,6-Oct-01,11.2818,3.38,
2002,Own,BSV,6E,Sauvignon Blanc,3.41,,,,,,,,,,,,,16.4594,4.83,
2002,Own,BSV,6F,Gewurztraminer,2.91,,,,,,,,,,,,,5.8640,2.02,
2002,Own,BSV,6G,Sauvignon Blanc,0.48,,,,,,,,,,,,,2.3169,4.83,
2002,Own,BSV,6H,Morio Muscat,1.11,,,,,,,,,,,,,,,
2002,Own,BSV,7A,Petit Verdot,0.01,,,,,,,,,,,,,,,
2002,Own,BSV,7B,Semillon,0.25,,,,,,,,,,,,,0.4702,1.88,
2001,Grower,Canehdian Vynd,,Merlot,,,,,,,,,,,,,,5.00,,
2002,Own,BSV,7D,Sauvignon Blanc,0.96,,,,,,,,,,,,,4.6337,4.83,
2001,Grower,Chobotar,,Merlot,,,,,,,,,,,,,,2.57,,
2001,Grower,Dan Prpich,,Merlot,,,,,,,,,,,,,,5.42,,
2001,Grower,Dutra Farms,,Merlot,,,,,,,,,,,,,,4.47,,
2001,Grower,G+C Gill,,Merlot,,,,,,,,,,,,,,2.38,,
2002,Own,Bullpine,E,Pinot Noir,6.34,,30-Apr-02,20-Jun-02,11-Aug-02,28.2,0.1593,,21.5,3.36,8.25,1471.8,2-Oct-02,20.7036,3.27,
2001,Grower,Inkameep,,Merlot,,,,,,,,,,,,,,20.25,,
2001,Own,Plut,,Merlot,,,,,,,,,,,,,,18.44,,
2002,Own,Bullpine,H,Pinot Noir,11.25,,29-Apr-02,19-Jun-02,13-Aug-02,26.6,0.1441,,24.8,3.46,8.25,1500.5,18-Oct-02,40.5655,3.61,
2002,Own,Bullpine,I,Viognier,7.70,,29-Apr-02,19-Jun-02,12-Aug-02,23.8,0.2245,,24.3,3.19,8.20,1469.9,28-Sep-02,24.1382,3.13,
2002,Own,Bullpine,J,Chardonnay,8.40,,29-Apr-02,20-Jun-02,12-Aug-02,28.5,0.1267,1.39,23.4,3.38,8.40,1422.4,18-Sep-02,30.9100,3.68,
2001,Grower,Sandhu,,Merlot,,,,,,,,,,,,,,9.09,,
2002,Own,Bullpine,L,Pinot Noir,9.39,,29-Apr-02,20-Jun-02,11-Aug-02,26.6,0.1385,,22.8,3.37,9.45,1473.6,3-Oct-02,33.1173,3.53,
2002,Own,Bullpine,M,Chardonnay,8.51,,29-Apr-02,20-Jun-02,13-Aug-02,26.9,0.1296,1.13,23.3,3.26,8.85,1430.9,20-Sep-02,37.5327,4.41,
2002,Own,Bullpine,N,Pinot Noir,4.42,,28-Apr-02,15-Jun-02,9-Aug-02,23.8,0.1306,1.09,23.6,3.40,10.05,1474.8,4-Oct-02,18.5118,4.19,
2001,Grower,Sidhu,,Merlot,,,,,,,,,,,,,,0.81,,
2002,Own,Bullpine,P,Cabernet Sauvignon,10.47,,29-Apr-02,15-Jun-02,9-Aug-02,28.4,0.1582,,23.2,3.28,7.95,1471.8,30-Sep-02,29.8600,2.85,
2002,Own,Bullpine,R,Chardonnay,12.87,,28-Apr-02,15-Jun-02,7-Aug-02,24.1,0.1380,,23.2,3.32,8.40,1417.1,17-Sep-02,48.9118,3.80,
2002,Own,Bullpine,S,Cabernet Sauvignon,6.99,,28-Apr-02,15-Jun-02,7-Aug-02,22.7,0.0958,,24.8,3.27,10.25,1474.8,4-Oct-02,19.3218,2.76,
2002,Own,Bullpine,T,Cabernet Sauvignon,12.03,,29-Apr-02,15-Jun-02,7-Aug-02,21.8,0.1415,,24.0,3.20,12.40,1465.9,27-Sep-02,36.6136,3.04,
2001,Grower,Willow Hill Vnyd,,Merlot,null,,,,,,,,,,,,,12.27,,
2002,Own,Bullpine,V,Cabernet Sauvignon,8.81,,1-May-02,19-Jun-02,13-Aug-02,23.8,0.1055,,25.0,3.29,9.15,1460.8,26-Sep-02,21.6927,2.46,
2002,Own,Bullpine,W,Cabernet Sauvignon,10.42,,29-Apr-02,16-Jun-02,15-Aug-02,23.0,0.1167,1.28,24.6,3.17,11.00,1478.6,5-Oct-02,33.2718,3.19,
2002,Own,Bullpine,X,Pinot Noir,12.42,,30-Apr-02,17-Jun-02,15-Aug-02,26.7,0.1416,,24.0,3.50,8.55,1497.6,11-Oct-02,46.5509,3.75,
2002,Own,Bullpine,Y,Sauvignon Blanc,12.49,,30-Apr-02,17-Jun-02,18-Aug-02,26.1,0.1351,1.64,24.3,3.24,9.00,1417.1,17-Sep-02,52.0691,4.17,
2002,Own,Bearcub,G,Merlot,12.58,,30-Apr-02,19-Jun-02,9-Aug-02,14.4,0.2055,,24.6,3.32,7.60,1458.2,25-Sep-02,38.0882,3.03,
2002,Own,Bullpine,Z2,Pinot Noir,5.14,,30-Apr-02,17-Jun-02,18-Aug-02,25.4,0.1423,,22.9,3.30,6.75,1471.8,2-Oct-02,20.0627,3.90,
2002,Own,Bullpine,Z3,Sauvignon Blanc,0.70,,30-Apr-02,17-Jun-02,18-Aug-02,21.4,0.0979,,25.8,3.07,10.80,1417.1,17-Sep-02,2.2055,3.15,
2002,Own,HMV,A1,Ehrenfelser,3.60,,8-May-02,25-Jun-02,21-Aug-02,,0.1350,,23.8,3.02,10.80,,19-Oct-03,,,
2002,Own,HMV,A2,Ehrenfelser,2.06,,7-May-02,25-Jun-02,21-Aug-02,,0.1350,,23.8,3.02,10.80,,19-Oct-03,5.8909,2.86,
2002,Own,HMV,B,Pinot Blanc,1.13,,,,,,,,,,,,,,,
2002,Own,HMV,C,Pinot Blanc,1.79,,9-May-02,27-Jun-02,22-Aug-02,11.2,0.2150,,23.1,3.23,8.85,,7-Oct-03,6.0455,3.38,
2002,Own,HMV,D,Ehrenfelser,2.08,,9-May-02,27-Jun-02,22-Aug-02,35.1,0.1060,,23.4,3.02,11.55,,,8.0000,3.85,
2002,Own,HMV,E,Pinot Blanc,1.49,,9-May-02,27-Jun-02,22-Aug-02,31.2,0.1610,,19.3,3.07,9.45,,,10.0000,6.71,
2002,Own,HMV,F2,Chardonnay,2.75,,9-May-02,25-Jun-02,20-Aug-02,19.7,0.1540,,22.1,3.20,9.45,,7-Oct-03,8.4818,3.08,
2002,Own,HMV,G2,Gewurztraminer,3.24,,7-May-02,25-Jun-02,16-Aug-02,21.2,0.1200,1.50,20.3,3.42,6.90,,30-Sep-03,10.6818,3.30,
2002,Own,HMV,H,Chardonnay,3.68,,6-May-02,,,,,1.56,,,,,,,,
2002,Own,HMV,I,Chardonnay,1.75,,7-May-02,25-Jun-02,20-Aug-02,11.8,0.1340,,23.7,3.25,9.30,,7-Oct-03,4.2000,2.40,
2002,Own,HMV,J1,Chardonnay,3.15,,5-May-02,27-Jun-02,20-Aug-02,0.0,0.1420,,22.9,3.24,9.60,,8-Oct-03,,,
2002,Own,HMV,J2,Chardonnay,3.22,,7-May-02,27-Jun-02,20-Aug-02,19.7,0.1420,,22.9,3.24,9.60,,8-Oct-03,10.2455,3.18,
2002,Own,HMV,K,Gewurztraminer,0.62,,8-May-02,27-Jun-02,16-Aug-02,23.0,0.1290,,21.9,3.48,6.75,,8-Oct-03,1.2364,1.99,
2002,Own,HMV,L,Gewurztraminer,0.52,,6-May-02,27-Jun-02,16-Aug-02,0.0,0.1190,,23.9,3.46,8.70,,8-Oct-03,,,
2002,Own,HMV,M,Gewurztraminer,7.95,,9-May-02,29-Jun-02,18-Aug-02,23.4,0.1190,,23.9,3.46,8.70,,16-Oct-02,22.4636,2.83,
2002,Own,HMV,N1,Gamay Noir,1.11,,7-May-02,27-Jun-02,25-Aug-02,1.4,0.2000,,22.9,3.18,12.30,,19-Oct-03,,,
2002,Own,HMV,N2,Gamay Noir,1.52,,10-May-02,29-Jun-02,25-Aug-02,26.5,0.2000,1.40,22.9,3.18,12.30,,19-Oct-03,6.8364,4.50,
2002,Own,HMV,O1,Pinot Noir,1.53,,7-May-02,27-Jun-02,23-Aug-02,1.2,0.1270,,19.2,3.10,11.25,,28-Sep-03,,,
2002,Own,HMV,O2,Pinot Noir,3.14,,10-May-02,29-Jun-02,23-Aug-02,25.0,0.1270,,19.2,3.10,11.25,,28-Sep-03,15.8909,5.06,
2002,Own,HMV,P1,Gewurztraminer,2.74,,7-May-02,27-Jun-02,14-Aug-02,1.1,0.1030,,20.4,3.36,7.95,,27-Sep-03,11.0000,4.01,
2002,Own,HMV,P2,Gewurztraminer,10.84,,9-May-02,29-Jun-02,16-Aug-02,26.1,0.1030,1.37,20.4,3.36,7.95,,26-Sep-03,35.5000,3.27,
2002,Own,HMV,Q,Gewurztraminer,4.43,,7-May-02,27-Jun-02,16-Aug-02,21.7,0.1520,,21.3,3.43,6.60,,23-Sep-03,8.6455,1.95,
2002,Own,HMV,R,Pinot Blanc,10.11,,,,,,,,,,,,,,,
2002,Own,HMV,S,Gewurztraminer,11.46,,,,,,,,,,,,,,,
2002,Own,HMV,T,Gewurztraminer,10.29,,8-May-02,28-Jun-02,18-Aug-02,20.5,0.1430,,22.3,3.50,8.25,,12-Oct-03,30.5273,2.97,
2002,Own,McIntyre,A,Riesling,6.44,,28-Apr-02,17-Jun-02,8-Aug-02,5.3,0.1454,1.71,22.6,3.08,10.35,1362.7,16-Oct-02,5.7164,0.89,
2002,Own,McIntyre,B,Riesling,6.35,,28-Apr-02,17-Jun-02,8-Aug-02,2.9,0.1833,1.45,22.4,2.97,12.15,1362.7,16-Oct-02,2.8582,0.45,
2002,Own,McIntyre,C,Riesling,3.84,,28-Apr-02,17-Jun-02,8-Aug-02,5.0,0.1857,1.35,21.7,2.96,12.75,1362.7,16-Oct-02,2.8582,0.74,
2002,Own,McIntyre,D,Chenin Blanc,6.24,,28-Apr-02,17-Jun-02,8-Aug-02,3.5,0.3958,1.89,23.2,3.14,12.80,1361.8,11-Oct-02,10.2827,1.65,
2002,Own,McIntyre,E,Sauvignon Blanc,14.83,,28-Apr-02,17-Jun-02,8-Aug-02,2.4,0.1919,,23.6,3.14,11.55,1318.6,20-Sep-02,7.5409,0.51,
