tag.no,date,appell,growblk,variety,lbs,brix,ta,ph,tanks,deputy,jtemp,comments,location,bins
84961,15-09-08,OSO,*03CHM,CHD,16098,24.2,5.3,3.52,XPA320,BC,13,mp,MH,16
84981,15-09-08,OSO,*03CHM,CHD,900,24.2,5.3,3.52,XPA320,WA,13,hp - gleaning,MH,1
84962,15-09-08,OSO,*03CHN,CHD,20122,24.2,5.3,3.52,XPA320,BC,13,mp,MH,20
84983,15-09-08,OSO,*03CHN,CHD,19763,24.2,5.3,3.52,XPA320,WA,13,"mp, includes 3 x hp gleaning",MH,22
85822,15-09-18,OSO,*03MEE,MER,4367,26.6,4.3,3.99,XPA320,,14,,MH,5
8691,15-09-29,OSO,*03MEFA,MER,14068,27.4,3.7,3.61,"OV   4,B    1",R,0,,MH,15
8706,15-09-30,OSO,*03MEFA,MER,14003,27.4,3.7,3.61,"OV   6,B    4",DB,0,,MH,14
8727,15-10-01,OSO,*03MEFA,MER,16860,27.4,3.74,3.61,"929,B    3",,0,,MH,18
87822,15-10-08,OSO,*03MEFA,MER,1600,28.6,3.5,3.66,"906,B    4",JJ,0,,MH,2
85823,15-09-18,OSO,*03MEI,MER,13872,26.6,4.2,3.9,XPA320,,14,,MH,17
8575,15-09-17,OSO,*03MEJ,MER,24230,26.6,4.2,3.9,XPA320,,14,,MH,29
85821,15-09-18,OSO,*03MEJ,MER,7451,26.6,4.2,3.9,XPA320,,14,,MH,10
8548,15-09-15,OSO,*03PBC,PBL,11380,23.2,4.3,3.47,XPA,RT,0,hp,MH,12
85502,15-09-15,OSO,*03PBC,PBL,9850,23.2,4.3,3.47,RPA,BC,0,hp,MH,10
85501,15-09-15,OSO,*03PBD,PBL,32515,23.2,4.3,3.47,"RPA,XPA",BC,0,hp,MH,33
8526,15-09-14,OSO,*03PNA,PNN,14590,26.1,7.1,3.27,"OV   6,B    3",,12,,MH,14
85301,15-09-14,OSO,*03PNA,PNN,3768,25.3,4.88,3.49,"OV   5,B    3",BC,0,HP,MH,4
85302,15-09-14,OSO,*03PNB,PNN,13188,25.3,4.76,3.54,"OV   4,OV   5,B    3",BC,0,HP,MH,14
8837,15-10-20,OLV,*04CFCA,CAF,10690,27.2,4,3.6,"OV  10,B    1",SF,0,,MH,10
8840,15-10-20,OLV,*04CFCA,CAF,310,29,3.94,3.55,"912,B    1",,0,,MH,1
88183,15-10-15,OLV,*04CFCC,CAF,28427,29.2,3.94,3.55,"OV   3,OV   9,604,B,B",CB,0,HP,MH,36
8671,15-09-28,OLV,*04MEAA,MER,27860,26.9,4.2,3.74,"910,915,915,B    4",,0,,MH,30
8725,15-10-01,OLV,*04MEAA,MER,1690,26.7,4.28,3.39,XPA320,,0,,MH,2
87842,15-10-08,OLV,*04MEAA,MER,652,26.7,4.28,3.39,602,,0,,MH,1
8774,15-10-08,OLV,*04MEAA,MER,14397,25.4,4.3,3.39,"602,905",BC,0,,MH,14
8474,15-09-02,OLV,*04PNB,PNN,26785,24.3,5.4,3.54,"928,927,B    1",RT,16,MP,MH,25
8770,15-10-07,OLV,*05CAA,CAS,33400,24.3,6.1,3.61,"452,604",,0,,MH,42
8785,15-10-08,OLV,*05CAB,CAS,34540,24.6,5.95,3.67,"452,602",,0,,MH,44
8758,15-10-06,OLV,*05CAB,CAS,27170,24.6,5.63,3.63,604,,0,,MH,34
8768,15-10-07,OLV,*05CAD,CAS,10380,24.6,5.63,3.63,604,,0,,MH,14
8608,15-09-22,OLV,*05CHG,CHD,14180,24.2,5.4,3.77,XPA320,CB,0,mp,MH,12
8610,15-09-22,OLV,*05CHG,CHD,37460,24.2,5.4,3.77,XPA320,CB,0,mp,MH,32
8606,15-09-22,OLV,*05CHK,CHD,22370,24.2,5.4,3.77,XPA320,CB,0,mp,MH,18
8790,15-10-09,OLV,*05SZJ,SHZ,29530,23.6,6.57,3.53,XPA,,16,,MH,32
8597,15-09-15,KEL,*07PNCA,PNN,16480,24.8,6,3.22,"931,B    3",RT,0,hp,MH,18
8679,15-09-28,KEL,*07PNCC,PNN,6912,25.7,6.2,3.41,"930,B    4",,18,,MH,8
8687,15-09-29,KEL,*07RSA,RSL,5665,24,7.6,3.05,XPA,,13,,MH,7
8697,15-09-29,KEL,*07RSD,RSL,33660,24,7.6,3.05,XPA,,13,8697 and 8705 combined,MH,37
8546,15-09-15,KEL,*07RSE,RSL,5920,23.5,7.8,3.01,RPA,,15,,MH,8
8488,15-09-04,OLV,*08CHA,CHD,24165,23.8,5.9,3.5,"XPA,RPA",BC,12,MP,MH,31
8684,15-09-29,OLV,*08MECA,MER,20795,28.4,3.7,3.6,"922,922,B    1",R,0,,MH,21
87082,15-09-30,OLV,*08MECA,MER,1684,28.4,3.7,3.6,605,DB,0,,MH,2
8521,15-09-11,OLV,*08PGB,PGR,37660,24.2,6.4,3.27,"XPA,RPA",DB,17,mp,MH,34
85221,15-09-11,OLV,*08PGB,PGR,9175,23.8,4.33,3.35,RPA,,0,,MH,8
84935,15-09-08,OLV,*09CHB,CHD,1445,23.9,6.1,3.59,"XPA320,XPA",,0,,MH,2
8794,15-10-13,OLV,*09PVFA,PVD,16390,25.8,5.15,3.58,"920,B    1",R,0,MP,MH,16
87691,15-10-07,OLV,*09SZE,SHZ,29040,26.9,4.35,3.64,"909,B    3",DB,0,MP,MH,28
87843,15-10-08,OLV,*09SZE,SHZ,651,26.9,4.35,3.64,602,,0,,MH,1
8858,15-10-23,OLV,*10CAE,CAS,8745,24.5,3.82,3.75,"917,B    4",,0,,MH,9
8856,15-10-23,OLV,*10CAE,CAS,38000,24.5,3.82,3.75,"917,B    4",,0,,MH,38
