tag.no,date,appell,growblk,variety,lbs,brix,ta,ph,tanks,deputy,jtemp,comments,location,bins
8499,15-09-09,OLV,*12SBJ,SBL,7020,24.1,4.9,3.48,XPA320,,0,,MH,6
8501,15-09-09,OLV,*12SBJ,SBL,50290,24.1,4.9,3.48,XPA320,,0,,MH,42
85051,15-09-09,OLV,*12SMG,SEM,11333,23.1,5.3,3.55,XPA,,15,,MH,10
85052,15-09-09,OLV,*12SMN,SEM,9272,23.1,5.3,3.55,XPA,,15,,MH,9
87471,15-10-05,OLV,*12SZEB,SHZ,15424,25.8,4.88,3.77,453,DB,0,mp,MH,16
87693,15-10-07,OLV,*12SZEB,SHZ,750,25.8,4.88,3.77,909,DB,0,HP,MH,1
88321,15-10-16,OLV,*12SZEB,SHZ,455,24.2,4.88,3.77,606,CB,0,,MH,1
87472,15-10-05,OLV,*12SZK,SHZ,3856,0,0,0,453,DB,0,mp,MH,4
87793,15-10-08,KEL,*13CHB,CHD,2045,25.4,5,3.73,602,,0,,MH,4
87794,15-10-08,KEL,*13CHG,CHD,202,25.4,5,3.73,602,,0,,MH,1
87801,15-10-08,KEL,*13PNA,PNN,2948,25.4,5,3.73,602,,0,,MH,4
87802,15-10-08,KEL,*13PNE,PNN,252,25.4,5,3.73,602,,0,,MH,0
87803,15-10-08,KEL,*13PNF,PNN,395,25.4,5,3.73,602,,0,,MH,1
87792,15-10-08,KEL,*13RSC,RSL,449,25.4,5,3.73,602,,0,,MH,1
87791,15-10-08,KEL,*13VDD,VID,449,25.4,5,3.73,602,,0,,MH,1
86002,15-09-21,NAR,*15CHCA,CHD,11815,25.9,6.3,3.37,XPA,,11,,MH,13
86001,15-09-21,NAR,*15CHCB,CHD,12800,25.9,6.3,3.37,XPA,,11,,MH,14
86131,15-09-22,NAR,*15CHF,CHD,12877,24.7,7.2,3.46,XPA,CB,12,mp,MH,13
86132,15-09-22,NAR,*15CHG,CHD,13868,24.7,7.2,3.46,XPA,CB,12,mp,MH,14
8626,15-09-23,NAR,*15CHY,CHD,40660,24.4,6.8,3.46,XPA320,,18,,MH,38
8627,15-09-23,NAR,*15CHY,CHD,10780,24.4,6.8,3.46,XPA320,,18,,MH,12
86473,15-09-24,NAR,*15GWH,GZT,11109,23.4,5.9,3.4,XPA320,,0,,MH,13
85604,15-09-16,NAR,*15MUDA,MUS,2868,22.7,4.3,3.61,XPA,AM,14,hp,MH,4
85603,15-09-16,NAR,*15MUDB,MUS,12904,22.7,4.3,3.61,XPA,AM,14,hp,MH,18
85602,15-09-16,NAR,*15MUEB,MUS,1434,22.7,4.3,3.61,XPA,AM,14,hp,MH,2
8552,15-09-16,NAR,*15MUEE,MUS,11320,22.7,4.3,3.61,XPA,AM,13,hp,MH,14
85601,15-09-16,NAR,*15MUEE,MUS,717,22.7,4.3,3.61,XPA,AM,14,hp,MH,1
85605,15-09-16,NAR,*15MUV,MUS,717,22.7,4.3,3.61,XPA,AM,14,hp,MH,1
85531,15-09-15,NAR,*15PGEA,PGR,5090,24,5.85,3.44,RPA,SF,0,HP,MH,6
85532,15-09-15,NAR,*15PGEC,PGR,10618,23.2,5.59,3.46,RPA,SF,0,HP,MH,13
8532,15-09-14,NAR,*15PGED,PGR,10810,24,5.85,3.44,RPA,SF,0,HP,MH,12
85533,15-09-15,NAR,*15PGED,PGR,3230,23.2,5.59,3.46,RPA,SF,0,HP,MH,4
85534,15-09-15,NAR,*15PGEF,PGR,9432,24,5.85,3.44,RPA,SF,0,HP,MH,11
8614,15-09-22,NAR,*15PGEF,PGR,205,24,5.3,3.6,RPA,,0,,MH,1
85712,15-09-17,NAR,*15PGQ,PGR,26982,22.8,4.8,3.4,RPA,,0,,MH,24
8585,15-09-18,NAR,*15PGS,PGR,48360,22.3,5.8,3.28,"XPA320,RPA",,14,,MH,42
85861,15-09-17,NAR,*15PGS,PGR,36330,22.3,5.8,3.28,XPA320,,14,,MH,35
85761,15-09-17,NAR,*15PGT,PGR,9670,24,5.3,3.61,XPA320,,0,,MH,10
85711,15-09-17,NAR,*15PGT,PGR,13488,22.8,4.8,3.4,XPA320,,0,,MH,12
8580,15-09-17,NAR,*15PGU,PGR,20088,24,5.3,3.61,XPA320,,0,,MH,20
85762,15-09-17,NAR,*15PGU,PGR,11640,24,5.3,3.61,XPA320,,0,,MH,12
85862,15-09-17,NAR,*15PGU,PGR,1070,22.3,5.8,3.28,XPA320,,14,,MH,1
8581,15-09-17,NAR,*15PNAA,PNN,11067,25.6,5.8,3.38,"934,932,B    1",AM,0,hp,MH,13
8577,15-09-17,NAR,*15PNAB,PNN,13210,25.1,5.3,3.55,"934,B    1",,0,,MH,18
8648,15-09-24,NAR,*15PNXA,PNN,9510,25.9,5.2,3.53,"OV  12,B    2",CB,0,HP,MH,12
86471,15-09-24,NAR,*15RSZ,RSL,2563,23.2,10.18,2.92,XPA320,,0,,MH,3
8563,15-09-16,NAR,*15RSJ,RSL,10661,23.5,7.8,3.01,RPA,,15,,MH,11
8696,15-09-29,NAR,*15RSK,RSL,4880,24,7.6,3.05,XPA,,13,,MH,6
85632,15-09-16,NAR,*15RSL,RSL,19384,23.5,7.8,3.01,RPA,,15,,MH,20
86472,15-09-24,NAR,*15VDW,VID,2563,23.4,5.9,3.4,XPA320,,0,,MH,3
8778,15-10-08,NAR,*15VIA,VIO,805,23.5,8.16,3.23,602,,0,,MH,1
8795,15-10-13,OLV,*16CAJ,CAS,10350,26,4.2,3.73,"932,B    1",R,0,,MH,10
8804,15-10-14,OLV,*16CFG,CAF,24315,29.9,3.7,4.14,"915,B    3",R,0,MP,MH,21
88182,15-10-15,OLV,*16CFG,CAF,789,28.4,3.59,3.61,604,,0,,MH,36
8589,15-09-21,OLV,*16MEH,MER,33745,26.8,4.2,3.93,"917,B    2",,15,,MH,33
84971,15-09-08,OLV,*16MUA,MUS,38805,23.5,4,3.8,"RPA,XPA",,0,,MH,37
8517,15-09-11,OLV,*16PGM,PGR,9510,23.6,3.99,3.59,RPA,,0,,MH,8
85222,15-09-11,OLV,*16PGM,PGR,9175,23.6,3.99,3.59,RPA,,0,,MH,8
85621,15-09-16,OLV,*16RSD,RSL,30485,22.6,5.5,3.58,XPA320,,12,,MH,32
8561,15-09-16,OLV,*16RSD,RSL,39100,22.6,5.5,3.58,XPA320,,12,,MH,40
8557,15-09-16,OLV,*16RSD,RSL,3030,22.6,5.5,3.58,XPA320,,12,,MH,4
8461,15-08-27,OLV,*16SBB,SBL,42350,21.7,5.3,3.63,"XPA,RPA",WA,0,MP,MH,38
8464,15-08-27,OLV,*16SBB,SBL,21415,21.7,5.3,3.63,RPA,CJ,0,MP,MH,19
8485,15-09-04,OLV,*16SBCA,SBL,44360,24,6.4,3.41,XPA320,DB,0,MP,MH,40
8486,15-09-04,OLV,*16SBCA,SBL,10221,24,6.4,3.41,XPA320,JZ,0,MP,MH,10
85682,15-09-17,OLV,*16SBCC,SBL,800,25.3,5.88,3.49,XPA320,R,0,HP,MH,1
85562,15-09-16,OLV,*16SBCC,SBL,15567,25.3,5.88,3.49,XPA320,JP,0,MP,MH,14
8477,15-09-02,OLV,*16SBCD,SBL,33155,23.4,5.7,3.46,RPA,R,0,MP,MH,29
84841,15-09-03,OLV,*16SBCD,SBL,2166,22.4,6.8,3.39,RPA,BC,0,MP,MH,2
84842,15-09-03,OLV,*16SBCE,SBL,15164,20.1,5.9,3.42,RPA,BC,0,MP,MH,14
8489,15-09-04,OLV,*16SME,SEM,6637,23.7,6,3.47,"RPA,XPA320",,0,,MH,6
8487,15-09-04,OLV,*16SME,SEM,36709,23.7,6,3.47,XPA320,,0,,MH,32
84891,15-09-04,OLV,*16SMF,SEM,21017,24.1,6.2,3.46,XPA320,,0,,MH,19
8511,15-09-10,OLV,*16SMI,SEM,11305,24.4,5.4,3.49,XPA320,,16,,MH,11
8509,15-09-10,OLV,*16SMI,SEM,47000,24.4,5.4,3.49,XPA320,,16,,MH,42
8693,15-09-29,OLV,*16SZKB,SHZ,22175,27.6,4.07,3.64,"919,B    1",JJ,0,HP,MH,25
8681,15-09-28,OLV,*16SZKB,SHZ,14610,27.6,4.07,3.72,"OV   5,B    1",BC,0,HP,MH,16
87132,15-10-01,OLV,*16SZKB,SHZ,29128,26.5,4.16,3.64,"912,B    1",WA,0,MP,MH,26
8700,15-09-30,OLV,*16SZL,SHZ,42760,25.9,4.35,3.59,"913,B    4",WA,0,MP,MH,40
8703,15-09-30,OLV,*16SZL,SHZ,6440,25.9,4.35,3.59,"913,B    4",WA,0,MP,MH,6
87131,15-10-01,OLV,*16SZL,SHZ,6722,25.9,4.35,3.59,"912,B    1",WA,0,MP,MH,6
8797,15-10-13,OLV,*17CAA,CAS,4356,26.4,4.4,3.58,"921,B    3",R,0,,MH,6
8801,15-10-13,OLV,*17CAA,CAS,8384,26.4,4.4,3.58,"921,B    3",CB,0,,MH,10
87971,15-10-13,OLV,*17CAD,CAS,4719,24.5,4.2,3.65,"921,B    3",R,0,,MH,6
88011,15-10-13,OLV,*17CAD,CAS,9082,24.5,4.2,3.65,"921,A    1,B    3",CB,0,,MH,11
8604,15-09-22,OLV,*17MEC,MER,11883,26.2,3.13,3.73,"OV  18,OV  18,B    1",JP,0,,MH,12
86041,15-09-22,OLV,*17MEC,MER,1077,26.2,3.13,3.73,917,JP,0,,MH,2
8463,15-08-27,OLV,*17SBE,SBL,20520,21.1,7,3.38,XPA320,BC,0,,MH,18
8465,15-08-27,OLV,*17SBE,SBL,29910,21.1,7,3.38,XPA320,,0,,MH,28
8686,15-09-29,OLV,*18MEG,MER,26533,27.9,4,3.93,939,,0,,MH,25
8688,15-09-29,OLV,*18MEG,MER,3820,27.9,4,3.93,939,,0,,MH,4
86822,15-09-29,OLV,*18MEH,MER,16899,28.5,4.4,3.86,935,,0,,MH,16
86832,15-09-29,OLV,*18MEH,MER,6013,28.5,4.4,3.86,935,,0,,MH,6
86852,15-09-29,OLV,*18MEH,MER,4691,28.5,4.4,3.86,939,,0,,MH,4
86831,15-09-29,OLV,*18MEI,MER,11672,28.5,4.4,3.86,935,,0,,MH,11
86851,15-09-29,OLV,*18MEI,MER,9106,28.5,4.4,3.86,"935,939",,0,,MH,9
8751,15-10-05,OLV,*18MEI,MER,2355,26.3,4.3,3.73,455,,0,,MH,3
86821,15-09-29,OLV,*18MEJ,MER,14934,28.5,4.4,3.86,935,,0,,MH,14
86823,15-09-29,OLV,*18MEJ,MER,7467,28.5,4.4,3.86,935,,0,,MH,8
85241,15-09-15,OLV,*18PGA,PGR,14437,24.7,4.7,3.48,XPA320,JP,13,MP,MH,13
85271,15-09-15,OLV,*18PGA,PGR,3343,24.1,4.7,3.44,RPA,BC,13,MP,MH,3
85242,15-09-15,OLV,*18PGB,PGR,25542,24.7,4.7,3.44,XPA320,JP,13,MP,MH,23
85272,15-09-14,OLV,*18PGB,PGR,6688,24.1,4.7,3.44,XPA320,JP,13,MP,MH,16
85273,15-09-14,OLV,*18PGD,PGR,17834,24.1,4.7,3.44,RPA,JP,13,MP,MH,16
8549,15-09-15,OLV,*18PGE,PGR,1015,23.6,5.06,3.44,RPA,BC,0,HP,MH,1
8534,15-09-15,OLV,*18PGE,PGR,42790,24.5,5.06,3.44,XPA320,JP,0,MP,MH,38
8540,15-09-15,OLV,*18PGE,PGR,8740,24.5,5.06,3.44,XPA320,JP,0,MP,MH,8
8542,15-09-15,OLV,*18PGE,PGR,13700,24.5,5.06,3.44,XPA320,AM,0,MP,MH,12
8541,15-09-15,OLV,*18RSC,RSL,3780,21.3,6,3.32,XPA,,15,,MH,4
8544,15-09-15,OLV,*18RSC,RSL,6707,21.3,6,3.32,XPA,,15,,MH,8
85622,15-09-16,OLV,*18RSC,RSL,1238,22.6,5.5,3.58,XPA320,,11,,MH,1
85442,15-09-15,OLV,*18RSF,RSL,25153,21.3,6,3.32,XPA,,15,,MH,30
8545,15-09-15,OLV,*18RSF,RSL,28137,21.3,6,3.32,XPA320,,13,,MH,30
85623,15-09-16,OLV,*18RSF,RSL,667,22.6,5.5,3.58,XPA320,,12,,MH,1
8547,15-09-15,OLV,*18RSK,RSL,26390,21.3,6,3.32,XPA320,,13,,MH,26
85452,15-09-15,OLV,*18RSK,RSL,7503,21.3,6,3.32,XPA320,,13,,MH,8
8755,15-10-06,OSO,*19MECA,MER,32926,27.6,3.91,3.57,"918,B    1",WA,0,,MH,34
8673,15-09-28,OSO,*19MECB,MER,29020,26.5,3.9,3.57,"910,B    4",R,0,,MH,30
8708,15-09-30,OSO,*19MECB,MER,842,25.1,3.1,3.78,605,RL,0,,MH,1
8777,15-10-08,OSO,*19MED,MER,13388,26.1,3.6,3.67,905,R,0,,MH,14
8637,15-09-24,OSO,*19MEI,MER,15305,25.1,3.1,3.78,"910,B    2",CB,0,,MH,11
87551,15-10-06,OSO,*19MEK,MER,3874,27.1,3.31,3.75,918,WA,0,,MH,4
87571,15-10-06,OSO,*19MEK,MER,12273,27.1,3.31,3.75,"918,B    1",DB,0,,MH,14
87771,15-10-08,OSO,*19MEMA,MER,7650,26.9,3.8,3.64,905,R,0,,MH,8
8772,15-10-07,OSO,*19MEMA,MER,16375,26.9,3.8,3.64,"934,B    4",JJ,0,HP,MH,18
8757,15-10-06,OSO,*19MEN,MER,3507,27.1,3.31,3.75,918,DB,0,,MH,4
8503,15-09-09,OSO,*19SBE,SBL,47330,20.7,5.48,3.44,RPA,BC,0,MP,MH,44
85164,15-09-10,OSO,*19SBE,SBL,900,19.6,5.48,3.44,XPA320,AM,0,HP,MH,1
85043,15-09-09,OSO,*19SBG,SBL,3525,21.2,6.35,3.27,XPA320,BC,0,MP,MH,3
85041,15-09-09,OSO,*19SBJ,SBL,21159,21.6,6.34,3.3,XPA320,BC,0,MP,MH,18
8506,15-09-09,OSO,*19SBJ,SBL,21800,19.6,5.48,3.44,XPA320,BC,0,MP,MH,20
85162,15-09-10,OSO,*19SBJ,SBL,2700,21.6,6.34,3.3,XPA320,AM,0,HP,MH,3
85132,15-09-10,OSO,*19SBL,SBL,20855,21.3,6.9,3.19,XPA320,BC,0,MP,MH,20
85163,15-09-10,OSO,*19SBL,SBL,1800,21.7,6.73,3.19,XPA320,AM,0,HP,MH,2
85741,15-09-17,OSO,*19SBL,SBL,1790,21.7,6.73,3.19,XPA,R,0,HP,MH,2
85131,15-09-10,OSO,*19SBO,SBL,20855,21.7,6.73,3.19,XPA320,BC,0,MP,MH,20
85141,15-09-10,OSO,*19SBO,SBL,10450,21.7,6.73,3.19,XPA320,BC,0,MP,MH,10
85742,15-09-17,OSO,*19SBO,SBL,1790,21.3,6.9,3.19,XPA,R,0,HP,MH,2
85142,15-09-10,OSO,*19SBP,SBL,2090,23.4,6.03,3.35,XPA320,BC,0,MP,MH,2
85161,15-09-10,OSO,*19SBP,SBL,20580,23.4,6.03,3.35,XPA320,AM,0,MP,MH,18
85872,15-09-17,OSO,*19SBQ,SBL,13186,20.9,6.03,3.38,XPA,BC,0,HP,MH,13
8639,15-09-24,OSO,*19SBQ,SBL,7520,23.4,5.9,3.4,XPA320,,0,,MH,6
85871,15-09-17,OSO,*19SBR,SBL,31444,21.7,6.76,3.34,XPA,BC,0,HP,MH,31
8658,15-09-25,OSO,*19VIA,VIO,40225,26.4,5.48,3.37,XPA,R,0,MP,MH,37
8824,15-10-15,OLV,*19VIA,VIO,913,26.4,5.48,3.37,XPA320,,0,,MH,1
86361,15-09-24,OSO,*19VIF,VIO,5785,27.7,5.3,3.4,XPA320,JP,0,MP,MH,6
86362,15-09-24,OSO,*19VIH,VIO,30855,25.5,4.99,3.42,XPA320,JP,0,MP,MH,32
8638,15-09-24,OSO,*19VIH,VIO,9845,25.5,4.99,3.42,XPA320,CB,0,MP,MH,11
8805,15-10-14,OSO,*20CAA,CAS,17560,24.9,4.5,3.59,"924,B    3",R,0,,MH,18
8825,15-10-16,OSO,*20PVC,PVD,35250,24.4,5.7,3.43,"936,B    4",R,0,MP,MH,38
88497,15-10-21,OSO,*20PVC,PVD,860,24.4,5.7,3.43,"912,B    2",R,0,HP,MH,1
87561,15-10-06,OSO,*20SZB,SHZ,18850,26.6,4.52,3.61,"938,B    1",DB,0,MP,MH,18
8760,15-10-06,OSO,*20SZB,SHZ,2831,26.6,4.52,3.61,"938,938",JJ,0,MP,MH,3
88551,15-10-22,OSO,*20SZB,SHZ,260,26.6,4.52,3.61,"917,B    4",CB,0,HP-GLEANING,MH,1
8776,15-10-08,OSO,*21CFF,CAF,6620,30.1,4.2,3.62,"OV  12,B    4",R,0,,MH,8
88499,15-10-21,OSO,*21CFF,CAF,3460,32.7,5.9,3.92,"OV   6,B    3",R,0,HP,MH,4
87761,15-10-08,OSO,*21CFGA,CAF,839,28.5,4.2,3.62,OV  12,R,0,,MH,1
88496,15-10-21,OSO,*21CFGA,CAF,3680,28.6,5.7,4.07,"OV   6,B    3",R,0,HP-ROW 1-10,MH,4
8849,15-10-21,OSO,*21CFGB,CAF,2850,28.6,5.7,4.07,"OV   6,B    3",R,0,HP-ROW 11-25,MH,3
8798,15-10-13,OSO,*21PVA,PVD,9235,25.3,5.34,3.58,"927,B    1",R,0,HP,MH,10
8803,15-10-13,OSO,*21PVA,PVD,1230,24.4,5.1,3.55,"928,A    1,OV   7,B",CB,0,,MH,2
88311,15-10-16,OSO,*21PVA,PVD,3815,25.8,5.11,3.55,"936,B    4",CB,0,HP,MH,4
88313,15-10-16,OSO,*21PVB,PVD,12722,26.6,5.21,3.56,"OV  11,B    4",CB,0,HP,MH,15
88312,15-10-16,OSO,*21PVD,PVD,2444,27.5,5.34,3.58,"OV  11,B    4",CB,0,HP,MH,3
8491,15-09-04,OSO,*21SBE,SBL,26730,18.9,8.2,3.08,RPA,,0,,MH,24
84903,15-09-04,OSO,*21SBE,SBL,8080,21.5,7.23,3.18,RPA,BC,0,MP,MH,8
8572,15-09-17,KEL,*22PGF,PGR,11971,22.5,4.6,3.36,RPA,RT,0,HP,MH,12
8579,15-09-17,KEL,*22PGF,PGR,9655,22.5,4.6,3.36,RPA,RT,0,MP,MH,10
8678,15-09-28,KEL,*22PNA,PNN,1699,25.7,6.2,3.41,"930,B    4",,18,,MH,2
8599,15-09-21,KEL,*22PNCA,PNN,16184,24,5.9,3.39,"928,B    2",,0,,MH,17
86461,15-09-24,KEL,*22PNCA,PNN,1827,25.9,5.2,3.53,"OV  12,B    2",CB,0,HP,MH,2
8667,15-09-25,KEL,*22PNI,PNN,4884,25.2,5.4,3.58,"921,B    2",,0,HP,MH,6
8666,15-09-25,KEL,*22PNI,PNN,12541,25.2,5.4,3.58,"921,B    2",,0,HP,MH,15
87413,15-10-05,OLV,*23MEA,MER,2947,27.9,3.67,3.8,"937,B    2",DB,0,HP-ORGANIC,MH,4
87414,15-10-05,OLV,*23MEB,MER,737,28.1,3.86,3.87,937,DB,0,HP-ORGANIC,MH,1
8743,15-10-05,OLV,*23MEB,MER,3300,28.1,3.86,3.87,"926,B    2",DB,0,HP-ORGANIC,MH,4
87391,15-10-05,OLV,*23MEC,MER,2195,28.1,4.03,3.84,"OV  13,B    2",R,0,HP-ORGANIC,MH,3
87415,15-10-05,OLV,*23MEC,MER,5158,28.1,4.03,3.84,"937,B    2",DB,0,HP-ORGANIC,MH,7
8520,15-09-11,OLV,*23MED,MER,255,0,0,0,B    2,DB,0,HP PREPICK FOR WIND MACHINE,MH,1
87416,15-10-05,OLV,*23MED,MER,5896,27.4,3.55,3.96,"937,B    2",DB,0,HP-ORGANIC,MH,8
87372,15-10-02,OLV,*23MEE,MER,921,28.4,3.46,3.89,459,JJ,0,HP-BUFFER-NON ORGANIC,MH,1
8740,15-10-05,OLV,*23MEE,MER,6610,28.4,3.46,3.89,"926,B    2",R,0,HP-ORGANIC,MH,11
87417,15-10-05,OLV,*23MEE,MER,4427,28.4,3.46,3.89,"937,B    2",DB,0,HP-ORGANIC,MH,6
8742,15-10-05,OLV,*23MEE,MER,3706,28.4,3.46,3.89,"926,B    2",DB,0,HP-ORGANIC,MH,5
87371,15-10-02,OLV,*23MEF,MER,283,26.8,4.33,3.8,459,JJ,0,HP-BUFFER-NON ORGANIC,MH,0
8741,15-10-05,OLV,*23MEF,MER,2947,28.1,3.86,3.87,"937,B    2",DB,0,HP-ORGANIC,MH,4
8744,15-10-05,OLV,*23MEF,MER,1623,28.1,3.86,3.87,"937,B    2",DB,0,HP-ORGANIC,MH,2
87373,15-10-02,OLV,*23MEG,MER,654,28.1,3.86,3.87,459,JJ,0,HP-BUFFER-NON ORGANIC,MH,1
8739,15-10-05,OLV,*23MEG,MER,9696,28.1,4.03,3.84,"OV  13,B    2",R,0,HP-ORGANIC,MH,12
87411,15-10-05,OLV,*23MEG,MER,2947,28.1,4.03,3.84,"937,B    2",DB,0,HP-ORGANIC,MH,4
87374,15-10-02,OLV,*23MEH,MER,1019,27.9,3.97,3.78,459,JJ,0,HP-BUFFER-NON ORGANIC,MH,1
8738,15-10-05,OLV,*23MEH,MER,18734,27.9,3.97,3.78,"OV  13,OV   1,926,B",R,0,HP-ORGANIC,MH,24
87375,15-10-02,OLV,*23MEI,MER,2877,25.5,4.33,3.8,459,JJ,0,HP-BUFFER-NON ORGANIC,MH,3
87412,15-10-05,OLV,*23MEJ,MER,2947,27.2,3.94,3.87,"937,B    2",DB,0,HP-ORGANIC,MH,4
8677,15-09-28,KEL,*24PNAA,PNN,7893,25.7,6.2,3.41,"930,B    4",,18,,MH,9
8732,15-10-02,KEL,*24MED,MER,255, , , ,459,,0,merlot interplanted,MH,1
8615,15-09-22,KEL,*24PNAB,PNN,9614,25.9,4.9,3.52,"920,B    1",MD,0,hp,MH,10
86462,15-09-24,KEL,*24PNAB,PNN,2748,25.9,5.2,3.53,"OV  12,B    2",CB,0,HP,MH,3
8733,15-10-02,KEL,*24PNAC,PNN,2940,23.5,6.38,3.38,924,,0,,MH,4
8598,15-09-16,KEL,*24PNBA,PNN,16622,25.4,5.2,3.36,"933,B    4",?,0,HP,MH,0
8629,15-09-22,KEL,*25PNAA,PNN,9473,25.9,4.9,3.52,"920,B    1",MD,0,hp,MH,11
8630,15-09-22,KEL,*25PNBB,PNN,6236,25.9,4.9,3.52,"920,B    1",MD,0,hp,MH,7
8642,15-09-24,OLV,*26CHCB,CHD,7290,25.3,6.2,3.61,RPA,,15,,MH,10
8650,15-09-24,OLV,*26CHE,CHD,24825,25.3,6.2,3.61,"RPA,XPA,XPA320",,0,,MH,31
8836,15-10-20,OLV,*27ALD,ALI,9230,24.7,7.2,3.56,"OV   8,B    1",,0,MP,MH,10
88491,15-10-21,OLV,*27ALD,ALI,500,24.6,8.73,3.54,"912,B    2",R,0,HP,MH,1
88411,15-10-20,OLV,*27CAA,CAS,22123,24.8,5.88,3.53,"912,B    1",,0,,MH,23
88492,15-10-21,OLV,*27CAA,CAS,445,24.8,5.88,3.53,"912,B    2",R,0,HP,MH,1
8835,15-10-20,OLV,*27CAE,CAS,11660,25.1,6.27,3.43,"912,B    1",,0,,MH,12
88493,15-10-21,OLV,*27CAE,CAS,200,25.1,6.27,3.43,"912,B    2",R,0,HP,MH,0
88412,15-10-20,OLV,*27CAH,CAS,3847,25.8,4.36,3.52,"912,B    1",,0,,MH,4
88494,15-10-21,OLV,*27CAH,CAS,175,25.8,4.36,3.52,"912,B    2",R,0,HP,MH,0
88591,15-10-23,OLV,*27CFC,CAF,2754,24.6,6.03,3.37,"923,B    4",R,0,MP,MH,3
88592,15-10-23,OLV,*27CFC,CAF,800,24.6,6.03,3.37,923,R,0,HP- GLEANING,MH,1
88593,15-10-23,OLV,*27CFG,CAF,11930,25.3,4.76,3.43,"923,B    4",R,0,MP,MH,13
88594,15-10-23,OLV,*27CFG,CAF,800,25.3,4.76,3.43,923,R,0,HP-GLEANING,MH,1
8752,15-10-05,OLV,*27CHBA,CHD,17071,26.4,6.4,3.58,XPA,,0,,MH,20
88221,15-10-15,OLV,*27GAG,GAM,2130,27.3,7.48,3.35,XPA320,,0,,MH,2
88222,15-10-15,OLV,*27MEFA,MER,3195,28.1,4.73,3.59,XPA320,,0,,MH,3
8820,15-10-15,OLV,*27MEFA,MER,5620,28.1,4.73,3.59,XPA320,,0,,MH,6
87823,15-10-08,OSO,*28MEA,MER,5600,26.2,4.3,3.62,"906,B    4",JJ,0,,MH,7
87821,15-10-08,OSO,*28MEB,MER,11200,26.5,4.3,3.66,"906,B    4",JJ,0,,MH,14
8782,15-10-08,OSO,*28MEE,MER,19190,27.8,4,3.65,"906,B    4",JJ,0,,MH,24
8783,15-10-08,OSO,*28MEF,MER,790,28.5,4.04,3.63,602,,0,,MH,1
8789,15-10-08,OSO,*28MEF,MER,3275,28.5,4.04,3.63,602,,0,,MH,5
8551,15-09-15,OSO,*28PGG,PGR,985,22.2,5.07,3.42,RPA,BC,0,HP,MH,1
8709,15-09-30,OSO,*28SZC,SHZ,19411,24.4,5.49,3.57,"923,B    4,B    1",DB,0,HP,MH,23
8726,15-10-01,OSO,*28SZD,SHZ,2895,26.5,4.94,3.65,"914,B    3",JJ,0,HP,MH,3
8718,15-10-01,OSO,*28SZD,SHZ,24580,26.5,4.94,3.65,"914,B    3",DB,0,hp,MH,24
8710,15-09-30,OSO,*28VIC,VIO,399,0,0,0,"923,B    4",DB,0,HP,MH,1
8620,15-09-23,OLV,CBCCHJ,CHD,44340,25.2,9,3.58,XPA320,JP,12,mp,MH,64
8619,15-09-22,OLV,CBCCHJ,CHD,44870,25,9,3.58,"XPA320,XPA",JP,0,mp,MH,32
8661,15-09-25,OLV,CBCMEO,MER,17410,28.5,5.5,3.7,"458,457",,0,,MH,14
8659,15-09-25,OLV,CBCMEO,MER,47960,28.5,5.5,3.7,458,,0,,MH,38
8657,15-09-25,OLV,CBCMEO,MER,48440,28.5,5.5,3.7,457,,0,,MH,38
8715,15-10-01,KEL,CCPN8,PNN,13632,24.6,5.8,3.37,"OV   3,B    1",DB,0,HP,MH,22
8721,15-10-01,KEL,CCPN8,PNN,19955,24.6,5.8,3.37,"924,B    1",JJ,0,HP,MH,23
8763,15-10-06,OSO,CHLCAD,CAS,9053,24.4,5.92,3.54,"908,B    3",,0,,MH,11
8767,15-10-06,OSO,CHLCAD,CAS,9580,24.4,5.92,3.54,"908,B    3",,0,,MH,12
8668,15-09-25,OSO,CHLMEA,MER,30580,24.7,5.7,3.54,607,,0,,MH,32
8692,15-09-29,OSO,CHLSZC,SHZ,21220,24.1,6.01,3.55,456,JJ,0,HP,MH,18
8698,15-09-29,OSO,CHLSZC,SHZ,13085,24.1,6.01,3.55,456,JJ,0,HP,MH,13
8578,15-09-17,OSO,CHLVIB,VIO,15190,23.3,6.22,3.42,XPA,R,0,HP,MH,15
8643,15-09-24,OSO,CMAMEA,MER,19370,26.1,4.1,3.65,603,,0,,MH,24
8566,15-09-17,OSO,CMAPGB,PGR,21515,23.8,5.2,3.57,XPA,,13,,MH,25
8821,15-10-15,OSO,DANMEA,MER,9676,28.7,4.77,3.77,XPA320,,0,,MH,12
8753,15-10-05,OSO,GABCFE,CAF,6000,24.2,5.11,3.4,455,,0,,MH,8
8749,15-10-05,OSO,GABCFE,CAF,5805,24.2,5.11,3.4,455,,0,,MH,7
85311,15-09-14,OSO,GABCHA,CHD,13272,23.4,5.6,3.4,XPA,AM,14,hp,MH,15
85312,15-09-14,OSO,GABCHF,CHD,24773,23.4,5.6,3.4,XPA,AM,14,hp,MH,28
8750,15-10-05,OSO,GABMEB,MER,33560,25.6,4.3,3.62,455,,0,,MH,40
8649,15-09-24,OLV,GGLCHA,CHD,17935,24.1,6.2,3.52,XPA320,SF,0,HP,MH,21
8787,15-10-08,OLV,GGLMED,MER,9615,24.1,5.66,3.69,602,,0,,MH,12
