sample.date,sampler,growblk,variety,brix,ta,ph
13-10-02,TS,*01CFA,CAF,22.5,5.34,3.36
13-10-10,TS,*01CFA,CAF,24.4,5.57,3.34
13-10-17,RA,*01CFA,CAF,25.1,4.76,3.42
13-10-02,TS,*01CFB,CAF,22.5,5.34,3.36
13-10-10,TS,*01CFB,CAF,24.4,5.57,3.34
13-10-17,RA,*01CFB,CAF,25.1,4.76,3.42
13-09-23,RA,*01CFF,CAF,22,5.55,3.29
13-10-02,TS,*01CFF,CAF,23.8,6.42,3.24
13-10-10,TS,*01CFF,CAF,24.7,6.17,3.3
13-09-23,RA,*01CFI,CAF,22.5,4.93,3.37
13-10-02,TS,*01CFI,CAF,23.4,5.25,3.35
13-10-10,TS,*01CFI,CAF,24.2,4.95,3.37
13-09-23,RA,*01MED,MER,22.5,7.16,3.26
13-10-01,RA,*01MED,MER,22.9,7.26,3.25
13-09-23,RA,*01MEE,MER,23.3,6.67,3.26
13-10-01,RA,*01MEE,MER,23.4,6.45,3.29
13-09-12,RA,*01MEG,MER,21.3,7.36,3.28
13-09-23,RA,*01MEG,MER,22.5,6.32,3.33
13-10-01,RA,*01MEG,MER,23.2,6.22,3.26
13-09-23,RA,*01MEH,MER,24,6.71,3.29
13-10-01,RA,*01MEH,MER,24.5,6.6,3.24
13-10-11,LW,*02CAA,CAS,26.8,6.61,3.24
13-10-17,LW,*02CAA,CAS,26.8,6.34,3.33
13-10-23,LW,*02CAA,CAS,26.8,4.99,3.56
13-10-11,LW,*02CAF,CAS,26,6.83,3.19
13-10-17,LW,*02CAF,CAS,26.6,6.47,3.36
13-10-23,LW,*02CAF,CAS,27,5.1,3.51
13-10-09,LW,*02CAG,CAS,25.9,7.64,3.22
13-10-16,LW,*02CAG,CAS,26.3,5.6,3.43
13-10-23,LW,*02CAG,CAS,27.1,4.79,3.58
13-10-09,LW,*02CAO,CAS,25.3,7.03,3.32
13-10-16,LW,*02CAO,CAS,25.9,6.54,3.48
13-10-09,LW,*02CAP,CAS,25.2,6.83,3.34
13-10-16,LW,*02CAP,CAS,25.4,6.04,3.52
13-10-09,LW,*02CAS,CAS,25,7.21,3.3
13-10-16,TS,*02CAS,CAS,26.1,7.93,3.32
13-10-23,LW,*02CAS,CAS,26.3,4.86,3.59
13-10-09,LW,*02CFH,CAF,26.1,4.86,3.4
13-10-15,LW,*02CFH,CAF,26.7,4.21,3.47
13-10-11,LW,*02CFT,CAF,26.9,4.7,3.52
13-10-15,LW,*02CFT,CAF,27,4.6,3.54
13-08-23,LW,*02CHC,CHD,19.8,7.8,3.3
13-08-28,RA,*02CHC,CHD,21.4,7.38,3.31
13-09-03,LW,*02CHC,CHD,22.9,7.64,3.25
13-09-09,LW,*02CHC,CHD,23.4,7.73,3.24
13-08-28,RA,*02CHD,CHD,20.6,7.13,3.31
13-09-03,LW,*02CHD,CHD,22.5,7.01,3.26
13-09-09,LW,*02CHD,CHD,22.5,7.35,3.24
13-08-28,RA,*02CHE,CHD,20.7,7.03,3.33
13-09-03,LW,*02CHE,CHD,22.7,7.48,3.27
13-09-09,LW,*02CHE,CHD,23.3,7.79,3.25
13-09-16,LW,*02MEI,MER,25.5,5.98,3.39
13-09-25,LW,*02MEI,MER,26.3,3.9,3.94
13-09-16,LW,*02MEJ,MER,25.6,5.32,3.42
13-09-25,LW,*02MEJ,MER,26.6,4.6,3.79
13-09-12,LW,*02MEL,MER,23.9,7.4,3.28
13-09-19,RA,*02MEL,MER,24.6,6.78,3.35
13-09-25,LW,*02MEL,MER,25.4,5.95,3.34
13-10-02,LW,*02MEL,MER,25.8,5.84,3.36
13-09-16,LW,*02MEM,MER,26.3,6.19,3.35
13-09-25,LW,*02MEM,MER,26.6,4.5,3.76
13-08-26,RA,*02SBB,SBL,21.1,8.5,3.21
13-09-03,LW,*02SBB,SBL,21.1,7.58,3.18
13-09-03,LW,*02SBB,SBL,23.2,9.2,3.12
13-08-26,TS,*02SBK,SBL,18.7,11,3.11
13-09-03,RA,*02SBK,SBL,20.6,10.2,3.05
13-09-09,LW,*02SBK,SBL,22.5,9.87,3.12
13-09-16,LW,*02SBK,SBL,24.6,9.06,3.23
13-08-26,RA,*02SBN,SBL,18.8,9.6,3.17
13-09-03,RA,*02SBN,SBL,20.8,9.02,3.15
13-09-09,LW,*02SBN,SBL,21.9,9.36,3.13
13-09-16,LW,*02SBN,SBL,22.9,9.02,3.14
13-09-16,LW,*02SBN,SBL,24.1,8.34,3.24
13-09-16,LW,*02SBN,SBL,24.9,8.49,3.26
13-09-16,LW,*02SBN,SBL,23.7,8.75,3.22
13-08-26,TS,*02SBR,SBL,17.7,11,3.12
13-09-03,RA,*02SBR,SBL,21.2,10.26,3.08
13-09-09,LW,*02SBR,SBL,20.2,9.78,3.07
13-09-16,LW,*02SBR,SBL,23.4,9.74,3.14
13-09-25,LW,*02SZQ,SHZ,23.4,5.24,3.42
13-10-02,LW,*02SZQ,SHZ,23.9,5.03,3.44
13-10-08,LW,*02SZQ,SHZ,23.5,4.92,3.51
13-10-10,LW,*03CAH,CAS,25.1,7.39,3.31
13-10-17,LW,*03CAH,CAS,26.5,6.32,3.47
13-10-10,LW,*03CAK,CAS,23.5,6.79,3.27
13-10-17,RA,*03CAK,CAS,24.4,6.2,3.43
13-10-24,LW,*03CAK,CAS,24.2,4.62,3.72
13-10-10,LW,*03CAL,CAS,23.2,7.86,3.22
13-10-17,RA,*03CAL,CAS,24.4,7.28,3.28
13-10-24,LW,*03CAL,CAS,24.4,5.21,3.56
13-10-10,LW,*03CFG,CAF,25.7,5.02,3.42
13-10-17,LW,*03CFG,CAF,26.1,4.85,3.47
13-08-26,TS,*03CHM,CHD,21.3,8.9,3.32
13-09-03,SF,*03CHM,CHD,23,8.88,3.28
13-08-26,RA,*03CHN,CHD,20.4,8.8,3.33
13-09-03,SF,*03CHN,CHD,23.1,8.54,3.28
13-09-23,LW,*03MEE,MER,25.1,7.53,3.27
13-09-19,RA,*03MEF,MER,25.6,6.2,3.35
13-09-25,RA,*03MEF,MER,26.6,4.7,3.8
13-10-01,LW,*03MEF,MER,26.7,5.15,3.54
13-09-12,LW,*03MEI,MER,23.8,6.17,3.54
13-09-19,RA,*03MEI,MER,24.9,5.79,3.49
13-09-25,RA,*03MEI,MER,25.4,5.6,3.56
13-09-19,RA,*03MEJ,MER,24.4,6.91,3.47
13-09-25,RA,*03MEJ,MER,24.9,6.68,3.43
13-09-10,LW,*03PBC,PBL,21,8.96,3.1
13-09-16,RA,*03PBC,PBL,21.6,9.08,3.14
13-09-23,LW,*03PBC,PBL,23.5,7.85,3.21
13-09-10,LW,*03PBD,PBL,20.4,9.01,3.11
13-09-16,RA,*03PBD,PBL,22.1,8.62,3.16
13-09-23,LW,*03PBD,PBL,23.2,7.45,3.22
13-08-26,RA,*03PNA,PNN,19,9,3.28
13-09-03,SF,*03PNA,PNN,21.7,8.95,3.28
13-09-10,LW,*03PNA,PNN,22.9,8.95,3.22
13-09-16,RA,*03PNA,PNN,24.4,8.57,3.26
13-08-26,TS,*03PNB,PNN,19.4,9,3.37
13-09-03,SF,*03PNB,PNN,22,8.86,3.3
13-09-10,LW,*03PNB,PNN,22.6,8.44,3.27
13-09-16,RA,*03PNB,PNN,25.1,8.02,3.32
13-10-10,LW,*04CFC,CAF,25.3,5.94,3.33
13-10-15,JH,*04CFC,CAF,26.2,4.83,3.43
13-09-17,RA,*04MEA,MER,21.9,7.98,3.2
13-09-23,RA,*04MEA,MER,23.2,7.25,3.23
13-08-23,LW,*04PNB,PNN,19.8,7.8,3.3
13-08-29,RA,*04PNB,PNN,20.8,6.8,3.47
13-09-05,RA,*04PNB,PNN,22.5,7.61,3.24
13-09-11,RA,*04PNB,PNN,22,7.24,3.28
13-09-16,TS,*04PNB,PNN,24.5,7.36,3.26
13-10-18,LW,*05CAA,CAS,23.5,9.62,3.23
13-10-29,LW,*05CAA,CAS,24,5.33,3.47
13-10-18,LW,*05CAB,CAS,23.7,8.53,3.27
13-10-29,LW,*05CAB,CAS,24.5,4.86,3.55
13-10-18,LW,*05CAD,CAS,23.5,8.88,3.29
13-10-29,LW,*05CAD,CAS,23.9,5.1,3.49
13-10-18,LW,*05CAE,CAS,23.9,9.19,3.24
13-10-29,LW,*05CAE,CAS,24.6,5.03,3.47
13-10-18,LW,*05CAH,CAS,22.8,10.96,3.31
13-10-29,LW,*05CAH,CAS,23.1,6.86,3.52
13-10-18,LW,*05CAI,CAS,23.3,9.89,3.28
13-10-29,LW,*05CAI,CAS,23.6,6.03,3.54
13-09-05,VF,*05CHG,CHD,19.9,9.26,3.16
13-09-12,TS,*05CHG,CHD,21.7,9.02,3.22
13-09-18,RA,*05CHG,CHD,21.2,8.12,3.28
13-09-05,VF,*05CHK,CHD,20.3,9.25,3.28
13-09-12,TS,*05CHK,CHD,21.4,9.12,3.36
13-09-18,RA,*05CHK,CHD,21.6,8.5,3.42
13-10-18,LW,*05SZC,SHZ,23.3,7.91,3.34
13-10-18,LW,*05SZF,SHZ,23.3,7.7,3.36
13-10-18,LW,*05SZJ,SHZ,22.9,7.65,3.39
13-09-30,RA,*07PNC,PNN,23.9,9.06,3.05
13-09-30,RA,*07PNC,PNN,24.2,9.21,3.1
13-10-07,TS,*07PNC,PNN,26,12.02,2.9
13-10-15,TS,*07PNC,PNN,27.1,10.61,3.05
13-10-09,RA,*07RSA,RSL,21.6,14.78,2.66
13-10-09,RA,*07RSD,RSL,20.7,13.98,2.69
13-09-30,RA,*07RSE,RSL,20.6,12.1,2.77
13-10-07,TS,*07RSE,RSL,20.5,13.86,2.64
13-08-29,RA,*08CHA,CHD,20.7,8.5,3.33
13-09-05,RA,*08CHA,CHD,22.5,8.37,3.28
13-09-10,RA,*08CHA,CHD,22.6,8.53,3.3
13-09-16,RA,*08CHA,CHD,24.5,7.91,3.33
13-09-18,RA,*08MEC,MER,23.2,8.7,3.2
13-09-25,VF,*08MEC,MER,24.4,7.57,3.23
13-10-04,RA,*08MEC,MER,26.1,7.09,3.33
13-08-29,RA,*08PGB,PGR,19.7,8.4,3.23
13-09-05,RA,*08PGB,PGR,22,8.29,3.17
13-09-10,RA,*08PGB,PGR,22.6,8.17,3.17
13-09-23,RA,*09MEA,MER,22.6,7.33,3.23
13-10-01,RA,*09MEA,MER,23.4,6.21,3.29
13-09-23,RA,*09MEC,MER,22.3,7.02,3.32
13-10-01,RA,*09MEC,MER,23.6,6.29,3.31
13-09-05,RA,*09PGB,PGR,21.2,6.28,3.2
13-09-10,RA,*09PGB,PGR,23,5.93,3.26
13-09-05,RA,*09PGD,PGR,22.1,6.82,3.19
13-09-10,RA,*09PGD,PGR,22.8,5.99,3.25
13-10-11,TS,*09PVF,PVD,24.7,8.92,3.18
13-10-10,LW,*09SZE,SHZ,23,6.3,3.3
13-10-08,TS,*10CAE,CAS,23,8.58,3.15
13-10-16,TS,*10CAE,CAS,23.7,7.75,3.24
13-10-23,RA,*10CAE,CAS,24.4,5.41,3.57
13-10-09,TS,*10CAK,CAS,22.9,8.58,3.19
13-10-16,TS,*10CAK,CAS,24.2,8.61,3.16
