sample.date,sampler,growblk,variety,brix,ta,ph
17-10-05,DM,*01CFA,CAF,24.6,5.1,3.45
17-10-12,DM,*01CFA,CAF,24.5,5.0,3.45
17-10-05,DM,*01CFF,CAF,23.5,4.8,3.45
17-10-12,DM,*01CFF,CAF,25.1,4.9,3.45
17-10-05,DM,*01CFI,CAF,24.3,4.9,3.42
17-10-12,DM,*01CFI,CAF,25.1,4.7,3.47
17-08-24,DM,*01CHC,CHD,18.2,11.8,2.93
17-09-27,CG,*01MED,MER,22.8,6.5,3.32
17-09-27,CG,*01MEE,MER,24.3,5.7,3.38
17-09-28,CG,*01MEG,MER,22.4,6.4,3.33
17-10-12,LW,*02CAA,CAS,25.7,4.6,3.46
17-10-20,LW,*02CAA,CAS,25.7,5.0,3.46
17-10-20,LW,*02CAA,CAS,26.3,4.7,3.50
17-10-12,LW,*02CAFA,CAS,26.0,4.2,3.48
17-10-11,LW,*02CAFB,CAS,25.7,3.9,3.62
17-10-11,LW,*02CAGA,CAS,25.3,3.8,3.59
17-10-12,LW,*02CAGA,CAS,26.7,4.5,3.48
17-10-11,LW,*02CAO,CAS,26.9,4.4,3.50
17-10-12,LW,*02CAPA,CAS,27.2,4.4,3.55
17-10-11,LW,*02CAPB,CAS,26.3,4.2,3.54
17-10-12,LW,*02CAS,CAS,25.2,4.3,3.53
17-10-20,LW,*02CAS,CAS,25.7,4.7,3.53
17-10-20,LW,*02CAS,CAS,25.5,5.1,3.48
17-10-11,LW,*02CFHA,CAF,27.1,3.8,3.63
17-10-05,LW,*02CFHB,CAF,26.5,4.3,3.52
17-10-05,LW,*02CFTA,CAF,26.2,4.1,3.59
17-10-03,LW,*02CFTB,CAF,25.8,3.8,3.67
17-10-11,LW,*02CFTB,CAF,26.8,3.6,3.68
17-08-24,LW,*02CHCB,CHD,19.3,9.6,3.05
17-08-28,DM,*02CHCB,CHD,20.1,9.6,3.10
17-08-31,CG,*02CHCB,CHD,21.8,8.4,3.15
17-08-24,LW,*02CHD,CHD,19.7,9.2,3.05
17-08-28,DM,*02CHD,CHD,20.3,9.7,3.07
17-08-31,CG,*02CHD,CHD,21.6,8.2,3.16
17-08-17,LW,*02CHE,CHD,15.9,14.9,2.83
17-08-22,LW,*02CHE,CHD,17.9,10.1,2.98
17-09-05,LW,*02MEIA,MER,24.8,4.9,3.50
17-08-29,DM,*02MEIC,MER,21.6,6.5,3.20
17-09-07,LW,*02MEJB,MER,23.9,5.6,3.35
17-09-07,LW,*02MEJC,MER,25.0,4.9,3.55
17-09-07,LW,*02MEMA,MER,24.8,5.7,3.33
17-09-07,LW,*02MEMB,MER,25.6,5.1,3.49
17-08-24,LW,*02SBB,SBL,14.6,12.1,2.84
17-09-05,LW,*02SBN,SBL,23.0,7.7,3.09
17-09-05,LW,*02SBR,SBL,23.3,8.7,2.99
17-09-05,LW,*02SZQ,SHZ,23.3,7.8,3.16
17-09-12,LW,*02SZQ,SHZ,24.0,6.1,3.38
17-10-12,CG,*03CAHA,CAS,26.5,5.5,3.44
17-10-12,CG,*03CAHB,CAS,25.6,4.5,3.45
17-10-12,CG,*03CAK,CAS,24.1,4.7,3.48
17-10-03,LW,*03CFGA,CAF,26.1,4.2,3.56
