tag.no,crush.tag.date,appell,growblk,variety,lbs,unalloc,brix,ta,ph,tanks,deputy,comments,location,bins,gcexclude
6354,11-09-28,OLV,*10CHA,CHD,20805,0,21.2,8.04,3.21,XPA320,R,MP,MH,19,FALSE
6358,11-09-28,OLV,*10CHA,CHD,30570,0,21.2,8.04,3.21,XPA320,BL,MP,MH,28,FALSE
6359,11-09-28,OLV,*10CHA,CHD,22090,0,21.2,8.04,3.21,XPA320,R,MP,MH,20,FALSE
6361,11-09-28,OLV,*10CHA,CHD,33250,0,21.2,8.04,3.21,XPA150,R,MP,MH,30,FALSE
6362,11-09-28,OLV,*10CHA,CHD,33335,0,21.2,8.04,3.21,XPA320,BL,MP,MH,31,FALSE
6443,11-10-12,OLV,*10CHP,CHD,2700,0,21.3,8.12,3.21,XPA320,BD,MP,MH,2,FALSE
6445,11-10-12,OLV,*10CHP,CHD,4570,0,21.3,8.12,3.21,XPA320,BD,MP,MH,4,FALSE
6423,11-10-09,OLV,*10CHQ,CHD,41970,0,21.3,8.12,3.21,XPA320,R,MP,MH,38,FALSE
6425,11-10-09,OLV,*10CHQ,CHD,31310,0,21.3,8.12,3.21,XPA,R,MP,MH,34,FALSE
6521,11-10-20,OLV,*10MEJ,MER,40195,0,20.7,5.56,3.6,936,FL,MP,MH,39,FALSE
6464,11-10-14,OLV,*10PBS,PBL,41090,0,20.9,6.19,3.2,XPA,JP,MP,MH,38,FALSE
6465,11-10-14,OLV,*10PBS,PBL,40670,0,20.9,6.19,3.2,XPA320,BD,MP,MH,38,FALSE
6466,11-10-14,OLV,*10PBS,PBL,40980,0,20.9,6.19,3.2,"XPA320,RPA",BD,MP,MH,38,FALSE
64691,11-10-14,OLV,*10PBS,PBL,14518,0,20.9,6.19,3.2,XPA320,BD,MP,MH,14,FALSE
64671,11-10-14,OLV,*10PBW,PBL,4452,0,19.9,8.1,3.15,XPA,BD,MP,MH,4,FALSE
64692,11-10-14,OLV,*10PBW,PBL,20740,0,19.9,8.1,3.15,XPA320,BD,MP,MH,20,FALSE
64672,11-10-14,OLV,*10PBX,PBL,37838,0,20,8.38,3.13,"RPA,XPA",BD,MP,MH,34,FALSE
6468,11-10-14,OLV,*10PBX,PBL,43380,0,20,8.38,3.13,"XPA,XPA320",BD,MP,MH,40,FALSE
6374,11-09-30,OLV,*10PGC,PGR,41820,0,21.6,7.73,3.29,"RPA,XPA150",BL,MP,MH,32,FALSE
6380,11-10-01,OLV,*10PGC,PGR,40970,0,21.6,7.73,3.29,"RPA,XPA",BL,MP,MH,36,FALSE
63811,11-10-01,OLV,*10PGC,PGR,11092,0,21.6,7.73,3.29,XPA,RD,MP,MH,10,FALSE
63812,11-10-01,OLV,*10PGD,PGR,28838,0,20.8,7.44,3.25,"XPA,RPA",BD,MP,MH,26,FALSE
6411,11-10-08,OLV,*10PGD,PGR,39630,0,20.8,7.44,3.25,"XPA150,XPA320",WA,MP,MH,34,FALSE
6415,11-10-08,OLV,*10PGR,PGR,41165,0,21.5,7.14,3.21,XPA320,BL,MP,MH,35,FALSE
6416,11-10-08,OLV,*10PGR,PGR,43240,0,21.5,7.14,3.21,"XPA320,RPA",BL,MP,MH,38,FALSE
6419,11-10-08,OLV,*10PGR,PGR,27870,0,21.5,7.14,3.21,"XPA,RPA",BL,MP,MH,24,FALSE
6417,11-10-08,OLV,*10PGR,PGR,44380,0,21.5,7.14,3.21,"RPA,XPA",BL,,MH,38,FALSE
6476,11-10-17,OLV,*10PGV,PGR,40165,0,22.1,7.2,3.2,XPA150,JP,MP,MH,35,FALSE
6451,11-10-12,OLV,*10PNG,PNN,7100,0,21,6.88,3.27,"939,951",BL,HP,MH,8,FALSE
6453,11-10-12,OLV,*10PNG,PNN,15220,0,21,6.88,3.27,"930,XPA",BL,HP,MH,16,FALSE
64591,11-10-13,OLV,*10PNG,PNN,13040,0,21,6.88,3.27,"939,951",BL,HP,MH,16,FALSE
64131,11-10-08,OLV,*10PNH,PNN,29838,0,20.6,6.35,3.37,"929,928,921,RPA",WA,MP,MH,26,FALSE
