tag.no,crush.tag.date,appell,growblk,variety,lbs,unalloc,brix,ta,ph,tanks,deputy,comments,location,bins,gcexclude
6370,11-09-29,OLV,*16SBC,SBL,31900,0,20.2,8.82,3.24,RPA,BL,MP,MH,26,FALSE
6493,11-10-18,OLV,*16SBC,SBL,43170,0,20.5,8.47,3.14,XPA320,JP,MP,MH,38,FALSE
6494,11-10-18,OLV,*16SBC,SBL,41810,0,20.5,8.47,3.14,"XPA320,XPA",FL,MP,MH,38,FALSE
6496,11-10-18,OLV,*16SBC,SBL,22030,0,20.5,8.47,3.14,XPA,FL,MP,MH,20,FALSE
6356,11-09-29,OLV,*16SME,SEM,20500,0,23,7.16,3.44,RPA,WA,MP,MH,18,FALSE
6357,11-09-28,OLV,*16SMF,SEM,12880,0,21.1,9.05,3.31,RPA,BL,MP,MH,10,FALSE
6480,11-10-17,OLV,*16SMI,SEM,7550,0,21.4,8.08,3.15,XPA,FL,MP,MH,6,FALSE
6482,11-10-17,OLV,*16SMI,SEM,45830,0,21.4,8.08,3.15,"RPA,XPA",FL,MP,MH,38,FALSE
6483,11-10-17,OLV,*16SMI,SEM,8520,0,21.4,8.08,3.15,XPA,BL,MP,MH,8,FALSE
6581,11-10-26,OLV,*16SZK,SHZ,13010,0,20.7,8,3.32,911,BD,HP,MH,12,FALSE
6577,11-10-26,OLV,*16SZK,SHZ,41340,0,20.7,8,3.32,911,SF,MP,MH,38,FALSE
6591,11-10-26,OLV,*16SZK,SHZ,14390,0,20.7,8,3.32,"933,605",BL,HP,MH,16,FALSE
6619,11-10-28,OLV,*16SZK,SHZ,16860,0,20.7,8,3.32,"606,605",BL,HP,MH,26,FALSE
6585,11-10-26,OLV,*16SZL,SHZ,11600,0,21.7,7.61,3.33,912,BD,MP,MH,10,FALSE
6583,11-10-26,OLV,*16SZL,SHZ,42430,0,21.7,7.61,3.33,912,BD,MP,MH,38,FALSE
69661,11-11-02,OLV,*17CAA,CAS,7215,0,22,5.02,3.93,934,R,MP,MH,9,FALSE
6980,11-11-03,OLV,*17CAA,CAS,8205,0,22,5.02,3.93,454,R,HP,MH,9,FALSE
69881,11-11-03,OLV,*17CAA,CAS,4118,0,22,5.02,3.93,454,BD,HP,MH,5,FALSE
69662,11-11-02,OLV,*17CAD,CAS,8000,0,22,5.02,3.93,"934,922",R,MP,MH,9,FALSE
69882,11-11-03,OLV,*17CAD,CAS,12352,0,22,5.02,3.93,454,BD,HP,MH,15,FALSE
69732,11-11-02,OLV,*17MEB,MER,12746,0,25.1,5.05,3.84,914,BD,HP,MH,14,FALSE
6968,11-11-02,OLV,*17MEC,MER,4809,0,25.1,5.05,3.84,914,R,HP,MH,6,FALSE
69731,11-11-02,OLV,*17MEC,MER,11835,0,25.1,5,3.84,914,BD,HP,MH,13,FALSE
6495,11-10-18,OLV,*17SBE,SBL,19690,0,19.6,8.18,3.1,"XPA,RPA",FL,MP,MH,18,FALSE
64971,11-10-18,OLV,*17SBE,SBL,11434,0,19.6,8.18,3.1,RPA,BL,MP,MH,10,FALSE
64981,11-10-18,OLV,*17SBE,SBL,13708,0,19.6,8.18,3.1,XPA320,FL,MP,MH,12,FALSE
65341,11-10-21,OLV,*18MEG,MER,1063,0,21.9,6.81,3.25,917,FL,MP,MH,1,FALSE
6539,11-10-21,OLV,*18MEG,MER,30005,0,21.9,6.81,3.25,918,BL,MP,MH,27,FALSE
65321,11-10-21,OLV,*18MEH,MER,15722,0,21.8,6.76,3.28,917,FL,MP,MH,15,FALSE
65343,11-10-21,OLV,*18MEH,MER,14876,0,21.8,6.76,3.28,917,FL,MP,MH,14,FALSE
65131,11-10-19,OLV,*18MEI,MER,8220,0,24,6.31,3.32,"OV  15,OV  15",R,HP,MH,10,FALSE
65322,11-10-21,OLV,*18MEI,MER,24108,0,24,6.31,3.32,917,FL,MP,MH,23,FALSE
6511,11-10-19,OLV,*18MEJ,MER,6590,0,22.9,5.69,3.83,"OV  15,DUMMY5",BL,HP,MH,8,FALSE
65342,11-10-21,OLV,*18MEJ,MER,24441,0,22.9,5.69,3.83,918,FL,MP,MH,23,FALSE
64001,11-10-07,OLV,*18PGA,PGR,5904,0,20.7,7.48,3.29,XPA150,R,MP,MH,5,FALSE
6404,11-10-07,OLV,*18PGA,PGR,20525,0,20.7,7.48,3.29,XPA320,BL,MP,MH,17,FALSE
64002,11-10-07,OLV,*18PGB,PGR,36606,0,20,7.9,3.2,"XPA150,RPA",R,MP,MH,31,FALSE
64011,11-10-07,OLV,*18PGB,PGR,9420,0,20,7.9,3.2,RPA,BD,MP,MH,8,FALSE
64012,11-10-07,OLV,*18PGD,PGR,32970,0,19,8.24,3.18,XPA320,BD,MP,MH,28,FALSE
6398,11-10-07,OLV,*18PGE,PGR,46400,0,18.8,7.78,3.21,XPA320,WA,MP,MH,38,FALSE
6399,11-10-07,OLV,*18PGE,PGR,43010,0,18.8,7.78,3.21,"XPA320,XPA150,RPA",WA,MP,MH,36,FALSE
6545,11-10-24,OSO,*19MEC,MER,38750,0,21.1,7.75,3.25,456,BD,MP,MH,38,FALSE
6548,11-10-24,OSO,*19MEC,MER,41700,0,21.1,7.75,3.25,"457,458",BD,MP,MH,38,FALSE
6550,11-10-24,OSO,*19MEC,MER,38280,0,21.1,7.75,3.25,458,BD,MP,MH,38,FALSE
6552,11-10-24,OSO,*19MEC,MER,40410,0,21.1,7.75,3.25,"458,458,459",FL,MP,MH,38,FALSE
6547,11-10-24,OSO,*19MEC,MER,42610,0,21.1,7.75,3.25,"456,457",R,MP,MH,38,FALSE
6570,11-10-25,OSO,*19MED,MER,19200,0,21.9,8.06,3.16,"XPA,XPA,602",R,MP,MH,16,FALSE
6537,11-10-20,OSO,*19MEK,MER,14710,0,23.1,5.54,3.75,"OV  17,918",R,HP,MH,18,FALSE
65651,11-10-25,OSO,*19MEK,MER,9693,0,23.1,5.54,3.75,910,BD,HP,MH,12,FALSE
6555,11-10-24,OSO,*19MEM,MER,43120,0,21.1,7.75,3.25,459,BL,MP,MH,38,FALSE
6564,11-10-25,OSO,*19MEM,MER,30490,0,20.7,7.8,3.18,"916,XPA,602",BD,MP,MH,26,FALSE
65652,11-10-25,OSO,*19MEN,MER,4847,0,23.1,5.54,3.75,910,BD,HP,MH,6,FALSE
64263,11-10-09,OSO,*19SBE,SBL,30049,0,18.3,9.1,3.12,"XPA,XPA320",R,MP,MH,26,FALSE
64301,11-10-09,OSO,*19SBE,SBL,9339,0,18.3,9.1,3.12,XPA320,AM,MP,MH,8,FALSE
64272,11-10-09,OSO,*19SBG,SBL,3508,0,19,9.63,3.11,RPA,AM,MP,MH,3,FALSE
64271,11-10-09,OSO,*19SBJ,SBL,36254,0,19,9.63,3.11,RPA,AM,MP,MH,31,FALSE
64302,11-10-09,OSO,*19SBJ,SBL,8172,0,19,9.63,3.11,XPA320,AM,MP,MH,7,FALSE
64273,11-10-09,OSO,*19SBL,SBL,4678,0,19.2,9.24,3.14,XPA320,AM,MP,MH,4,FALSE
6429,11-10-09,OSO,*19SBL,SBL,6600,0,19.2,9.24,3.14,XPA320,AM,MP,MH,6,FALSE
64303,11-10-09,OSO,*19SBO,SBL,26849,0,20.3,9.11,3.14,XPA320,AM,MP,MH,23,FALSE
64242,11-10-09,OSO,*19SBP,SBL,25161,0,21.3,9.92,3.11,"RPA,XPA",R,MP,MH,22,FALSE
64262,11-10-09,OSO,*19SBP,SBL,4623,0,21.3,9.92,3.11,XPA,R,MP,MH,4,FALSE
64261,11-10-09,OSO,*19SBQ,SBL,11558,0,21,8.6,3.16,XPA,R,MP,MH,10,FALSE
64241,11-10-09,OSO,*19SBR,SBL,18299,0,19.5,9.69,3.15,RPA,R,MP,MH,16,FALSE
65611,11-10-25,OSO,*19VIA,VIO,33802,0,22.5,6.74,3.2,"XPA320,XPA320",BD,MP,MH,27,FALSE
6593,11-10-26,OSO,*19VIA,VIO,21200,0,20.7,8.56,3.11,"911,912,933,XPA150,93",BL,HP,MH,22,FALSE
65612,11-10-25,OSO,*19VIB,VIO,15023,0,22.5,6.74,3.2,"XPA320,XPA320",BD,MP,MH,12,FALSE
7049,11-11-09,OSO,*20CAA,CAS,22350,22350,22.9,6.96,3.2,,BL,MP,MH,24,FALSE
70291,11-11-08,OSO,*20PVC,PVD,10435,0,23.5,10.3,3.13,459,BD,HP,MH,12,FALSE
7002,11-11-04,OSO,*20SZB,SHZ,21890,0,19.9,5.84,3.24,935,R,HP,MH,24,FALSE
7013,11-11-04,OSO,*20SZB,SHZ,15630,0,19.9,5.84,3.24,935,BD,HP,MH,20,FALSE
70173,11-11-07,OSO,*21CFF,CAF,7898,0,24.7,7.44,3.24,910,BD,HP,MH,10,FALSE
70221,11-11-07,OSO,*21CFF,CAF,3921,0,24.7,7.44,3.24,910,R,HP,MH,5,FALSE
70172,11-11-07,OSO,*21CFG,CAF,11057,0,23.9,8.12,3.18,910,BD,MP,MH,14,FALSE
70331,11-11-08,OSO,*21PVA,PVD,13635,0,20,13.6,3,459,R,HP,MH,16,FALSE
70292,11-11-08,OSO,*21PVB,PVD,31305,0,23.4,11.7,3.08,459,BD,HP,MH,36,FALSE
70332,11-11-08,OSO,*21PVC,PVD,5965,1704,23.2,13.1,3.07,459,R,HP,MH,7,FALSE
70333,11-11-08,OSO,*21PVD,PVD,1705,1705,24.1,11.3,3.05,,R,HP,MH,2,FALSE
64422,11-10-12,OSO,*21SBE,SBL,21344,0,20.6,10.2,2.95,XPA,BD,MP,MH,18,FALSE
6447,11-10-12,OSO,*21SBE,SBL,10185,0,20.6,10.2,2.95,XPA,R,MP,MH,9,FALSE
65841,11-10-26,KEL,*22PBJ,PBL,6695,0,22.1,10.4,3.02,XPA320,BD,HP,MH,8,FALSE
65891,11-10-26,KEL,*22PBL,PBL,11861,0,22.1,10.4,3.02,XPA320,BD,HP,MH,14,FALSE
65842,11-10-26,KEL,*22PBN,PBL,6695,0,22.1,10.4,3.02,XPA320,BD,HP,MH,8,FALSE
65893,11-10-26,KEL,*22PBN,PBL,847,0,22.1,10.4,3.02,XPA320,BD,HP,MH,1,FALSE
65892,11-10-26,KEL,*22PBP,PBL,2542,0,22.1,10.4,3.02,XPA320,BD,HP,MH,3,FALSE
6526,11-10-20,KEL,*22PGF,PGR,6840,0,21.4,10,3.03,XPA150,BL,HP,MH,12,FALSE
6529,11-10-20,KEL,*22PGF,PGR,15465,0,21.4,10,3.03,XPA150,BD,HP,MH,19,FALSE
65511,11-10-24,KEL,*22PNA,PNN,1757,0,22.7,9.23,3.08,926,BD,HP,MH,2,FALSE
6553,11-10-24,KEL,*22PNB,PNN,14335,0,22.2,10.8,3.02,"925,925,DE",R,HP,MH,17,FALSE
65962,11-10-27,KEL,*22PNB,PNN,3177,0,22.2,10.8,3.02,924,R,HP,MH,4,FALSE
66001,11-10-27,KEL,*22PNB,PNN,4115,0,22.2,10.8,3.02,"924,DE   2",BL,HP,MH,5,FALSE
65512,11-10-24,KEL,*22PNC,PNN,13178,0,22.5,9.94,3.03,"926,926,DE",BD,HP,MH,15,FALSE
6590,11-10-26,KEL,*22PNC,PNN,13835,0,22.5,9.94,3.03,"931,DE   2",R,HP,MH,17,FALSE
65961,11-10-27,KEL,*22PNC,PNN,9533,0,22.5,9.94,3.03,"924,DE   2",R,HP,MH,12,FALSE
69911,11-11-04,KEL,*22PND,PNN,3946,0,23,9.91,3.04,936,BL,HP,MH,5,FALSE
69912,11-11-04,KEL,*22PNE,PNN,3947,0,23,11.1,3.05,936,BL,HP,MH,5,FALSE
69913,11-11-04,KEL,*22PNG,PNN,3158,0,22.3,10.4,3.07,936,BL,HP,MH,4,FALSE
66003,11-10-27,KEL,*22PNH,PNN,1646,0,22.6,10.5,3.12,"924,DE   2",BL,HP,MH,2,FALSE
69914,11-11-04,KEL,*22PNH,PNN,1579,0,22.6,10.5,3.12,936,BL,HP,MH,2,FALSE
6993,11-11-04,KEL,*22PNH,PNN,3670,0,22.6,10.5,3.12,936,R,HP,MH,6,FALSE
6566,11-10-25,KEL,*22PNI,PNN,13815,0,20.9,10.6,3.09,"930,930,DE",BD,HP,MH,17,FALSE
66002,11-10-27,KEL,*22PNI,PNN,6584,0,20.9,10.6,3.09,"924,DE   2",BL,HP,MH,8,FALSE
65152,11-10-19,KEL,*22PNK,PNN,4704,0,22.2,10,3.09,"928,DUMMY4",BD,HP,MH,5,FALSE
65153,11-10-19,KEL,*22PNO,PNN,1881,0,22.9,10.2,3.13,928,BD,HP,MH,2,FALSE
65151,11-10-19,KEL,*22PNR,PNN,6585,0,22.9,10.2,3.13,"928,DUMMY4",BD,HP,MH,7,FALSE
69832,11-11-03,KEL,*22RSM,RSL,2738,0,22.3,14.8,2.68,XPA320,R,HP,MH,4,FALSE
69831,11-11-03,KEL,*22RSQ,RSL,9582,0,22.3,14.8,2.68,XPA320,R,HP,MH,14,FALSE
6977,11-11-03,KEL,*22RSS,RSL,11750,0,21.5,13.9,2.77,XPA320,BL,HP,MH,18,FALSE
65691,11-10-25,OLV,*23MEA,MER,1547,0,24.4,5.6,3.95,919,FL,HP,MH,2,FALSE
65692,11-10-25,OLV,*23MEB,MER,2321,0,22.4,6.65,3.36,919,FL,HP,MH,3,FALSE
65693,11-10-25,OLV,*23MEC,MER,3094,0,22.9,5.47,3.43,"919,DE",FL,HP,MH,4,FALSE
65694,11-10-25,OLV,*23MED,MER,5416,0,23.2,5.75,3.43,"919,DE",FL,HP,MH,7,FALSE
65695,11-10-25,OLV,*23MEE,MER,4641,0,22.4,6.65,3.36,"919,DE",FL,HP,MH,6,FALSE
65696,11-10-25,OLV,*23MEF,MER,1547,0,22.4,6.65,3.36,919,FL,HP,MH,2,FALSE
65697,11-10-25,OLV,*23MEG,MER,3094,0,22.9,5.47,3.43,"919,DE",FL,HP,MH,4,FALSE
65698,11-10-25,OLV,*23MEH,MER,5415,0,23.2,5.75,3.43,"919,DE",FL,HP,MH,7,FALSE
7036,11-11-09,KEL,*24PNA,PNN,15530,0,23.3,9.44,3.2,"925,926",BD,HP,MH,18,FALSE
7037,11-11-09,KEL,*24PNA,PNN,9370,0,23.3,9.44,3.2,926,BD,HP,MH,10,FALSE
6608,11-10-28,KEL,*24PNB,PNN,3560,0,24.5,8.94,3.24,928,R,HP,MH,4,FALSE
6611,11-10-28,KEL,*24PNB,PNN,13650,0,24.5,8.94,3.24,"928,605",BD,HP,MH,16,FALSE
70321,11-11-08,KEL,*24PNB,PNN,8072,0,24.5,8.94,3.24,930,BD,HP,MH,9,FALSE
70322,11-11-08,KEL,*24PNC,PNN,6278,0,24.5,8.94,3.24,930,BD,HP,MH,7,FALSE
6492,11-10-17,OSO,BGLPGA,PGR,13025,0,21.7,7.92,3.04,"RPA,XPA150",BD,HP,MH,13,FALSE
6524,11-10-20,OSO,BGLPGA,PGR,1410,0,21.7,7.92,3.04,XPA150,FL,HP,MH,2,FALSE
6408,11-10-07,OLV,BR1GWA,GZT,7145,0,23,5.22,3.38,XPA320,SF,HP,MH,9,FALSE
6392,11-10-06,OLV,BR1PGB,PGR,2485,0,22,5.78,3.42,RPA,AM,HP,MH,3,FALSE
7011,11-11-04,OLV,BROMEB,MER,22010,0,22.1,6.03,3.37,456,BD,HP,MH,20,FALSE
63691,11-09-29,OLV,BROPGC,PGR,2748,0,22.7,5.85,3.3,XPA150,BL,HP,MH,3,FALSE
6428,11-10-09,OLV,BROSBA,SBL,20270,0,21.8,8.22,3.26,XPA320,AM,HP,MH,18,FALSE
6355,11-09-28,OLV,BROSMD,SEM,975,0,21.8,8.22,3.26,RPA,WA,HP,MH,1,FALSE
6998,11-11-04,OSO,CHLCAD,CAS,19925,0,23.2,7.77,3.27,454,R,HP,MH,25,FALSE
6997,11-11-04,OSO,CHLMEA,MER,15185,0,23.4,7.25,3.31,456,R,HP,MH,19,FALSE
7010,11-11-04,OSO,CHLSZC,SHZ,22845,0,20.6,7.74,3.16,935,BD,HP,MH,25,FALSE
6996,11-11-04,OSO,CHLVIB,VIO,4280,0,19.4,8.01,3.15,"935,XPA150",R,HP,MH,4,FALSE
7009,11-11-04,OSO,CHLVIB,VIO,17790,0,19.4,8.01,3.15,XPA150,BD,HP,MH,16,FALSE
7016,11-11-05,OSO,CMAMEA,MER,35750,0,19.4,9.73,3.12,RPA,BL,HP,MH,34,FALSE
6393,11-10-06,OSO,CMAPGB,PGR,14535,0,21.6,6.94,3.38,RPA,FL,HP,MH,15,FALSE
6574,11-10-25,OLV,COMCAC,CAS,14480,0,23.1,6.26,3.31,602,BL,HP,MH,18,FALSE
66141,11-10-28,OLV,COMCAC,CAS,12241,0,23.1,6.26,3.31,906,FL,HP,MH,15,FALSE
66401,11-10-31,OLV,COMCAC,CAS,7595,0,23.1,6.26,3.31,XPA320,BD,HP,MH,9,FALSE
66142,11-10-28,OLV,COMCAD,CAS,12241,0,21.7,10.5,3.21,906,FL,HP,MH,15,FALSE
66402,11-10-31,OLV,COMCAD,CAS,7595,0,21.7,10.5,3.21,XPA320,BD,HP,MH,9,FALSE
66143,11-10-28,OLV,COMCAE,CAS,13058,0,20.5,8.91,3.25,906,FL,HP,MH,16,FALSE
66403,11-10-31,OLV,COMCAE,CAS,7595,0,20.5,8.91,3.25,XPA320,BD,HP,MH,9,FALSE
6509,11-10-18,OLV,COMCHA,CHD,40700,0,21.9,7.98,3.25,XPA,FL,HP,MH,44,FALSE
6575,11-10-25,OLV,COMMEB,MER,24980,0,0,0,0,602,BL,HP,MH,30,FALSE
53866,11-11-04,WAS,CVMER,MER,38800,0,0,0,0,601,DB,MUST,MH,0,FALSE
53042,11-10-13,WAS,CVPGJ,PGR,59100,0,0,0,0,104,RB,WA JUICE,MH,0,FALSE
6487,11-10-17,OLV,DEKCHC,CHD,24040,0,19.6,9.94,3.29,XPA320,BL,HP,MH,24,FALSE
64851,11-10-17,OLV,DEKCHE,CHD,21820,0,19.7,10.8,3.23,XPA320,BL,HP,MH,24,FALSE
64852,11-10-17,OLV,DEKCHH,CHD,21820,0,21.3,10.7,3.29,XPA320,BL,HP,MH,24,FALSE
66321,11-10-31,OLV,DEKMEA,MER,7234,0,21.7,7.9,3.29,XPA320,R,HP,MH,8,FALSE
66322,11-10-31,OLV,DEKMEF,MER,8138,0,20.8,9.81,3.08,XPA320,R,HP,MH,9,FALSE
66323,11-10-31,OLV,DEKMEG,MER,8138,0,20.6,8.86,3.22,XPA320,R,HP,MH,9,FALSE
65731,11-10-24,OSO,GABCFE,CAF,10555,0,22,7.98,3.13,906,R,HP,MH,13,FALSE
6449,11-10-12,OSO,GABCHA,CHD,40290,0,21.7,7.52,3.28,XPA320,BL,HP,MH,48,FALSE
65561,11-10-24,OSO,GABMEB,MER,3344,0,24.4,6.75,3.44,607,BL,HP,MH,4,FALSE
65732,11-10-24,OSO,GABMEB,MER,4059,0,24.4,6.75,3.44,906,R,HP,MH,5,FALSE
65562,11-10-24,OSO,GABMEC,MER,20078,0,22.7,7.56,8.22,607,BL,HP,MH,24,FALSE
65733,11-10-24,OSO,GABMEC,MER,4059,0,22.7,7.65,3.32,"906,607",R,HP,MH,5,FALSE
65563,11-10-24,OSO,GABMED,MER,20078,0,21.9,8.22,3.27,607,BL,HP,MH,24,FALSE
65734,11-10-24,OSO,GABMED,MER,4872,0,21.9,8.22,3.27,607,R,HP,MH,6,FALSE
6435,11-10-11,OLV,GGLCHA,CHD,24220,0,20.8,7.83,3.32,XPA320,BL,HP,MH,28,FALSE
6999,11-11-04,OLV,GGLMED,MER,45130,0,21.7,7.22,3.32,603,R,HP,MH,42,FALSE
7004,11-11-04,OLV,GGLMED,MER,6080,0,21.7,7.22,3.32,456,BD,HP,MH,6,FALSE
6397,11-10-06,OLV,GGLPGC,PGR,11955,0,21.7,6.46,3.39,RPA,FL,HP,MH,13,FALSE
6472,11-10-14,OLV,GGLSBB,SBL,11355,0,18,8.53,3.13,XPA320,BL,HP,MH,13,FALSE
53338,11-10-20,CAL,GSFCJ,FCL,57455,0,0,0,0,DUMMY5,JP,CA JUICE,MH,0,FALSE
53339,11-10-21,CAL,GSFCJ,FCL,62040,0,0,0,0,"DUMMY7,DUMMY7",SF,CA JUICE,MH,0,FALSE
53340,11-10-21,CAL,GSFCJ,FCL,57060,0,0,0,0,DUMMY6,RB,CA JUICE,MH,0,FALSE
6433,11-10-11,OLV,HGLCHD,CHD,12005,0,21.5,7.72,3.3,XPA320,BL,HP,MH,13,FALSE
6434,11-10-11,OLV,HGLCHD,CHD,18000,0,21.5,7.72,3.3,XPA320,BL,HP,MH,20,FALSE
6994,11-11-04,OLV,HGLMER,MER,50020,0,22.3,6.89,3.41,458,BL,HP,MH,44,FALSE
7006,11-11-04,OLV,HGLMER,MER,7120,0,22.3,6.89,3.41,458,R,HP,MH,6,FALSE
6394,11-10-06,OLV,HGLPGR,PGR,19615,0,22,7.53,3.32,RPA,FL,HP,MH,21,FALSE
6975,11-11-02,NAR,HINCHB,CHD,20975,0,22.5,11.4,3.02,XPA,FL,HP,MH,27,FALSE
7003,11-11-04,NAR,HINMEC,MER,11560,0,24.2,9.29,3.14,XPA,R,HP,MH,16,FALSE
6649,11-11-01,NAR,HINPGA,PGR,42950,0,21.9,10.7,3.01,RPA,BL,HP,MH,50,FALSE
6969,11-11-02,OSO,HSKMEA,MER,14715,0,20.8,8.46,3.24,603,BL,HP,MH,17,FALSE
6396,11-10-06,OSO,HSKPGD,PGR,17425,0,21.2,7.51,3.35,RPA,FL,HP,MH,19,FALSE
7024,11-11-07,OLV,HUGCFB,CAF,9045,0,21.4,9.64,3.25,607,BD,HP,MH,9,FALSE
70251,11-11-07,OLV,HUGMEC,MER,6210,0,22.5,9.75,3.24,"601,602",BD,HP,MH,6,FALSE
70252,11-11-07,OLV,HUGMEE,MER,2070,0,22.5,9.75,3.24,456,BD,HP,MH,2,FALSE
70253,11-11-07,OLV,HUGMEF,MER,5175,0,22.2,8.83,3.26,456,BD,HP,MH,5,FALSE
70254,11-11-07,OLV,HUGMEI,MER,5175,0,21.2,8.97,3.19,"456,607",BD,HP,MH,5,FALSE
6631,11-10-31,OLV,HUGPNA,PNN,9735,0,21.7,8.07,3.32,XPA320,R,HP,MH,11,FALSE
6489,11-10-17,OLV,JGLGWA,GZT,13645,0,20.8,8.17,3.25,XPA150,BD,HP,MH,15,FALSE
6462,11-10-13,OLV,JGLPGC,PGR,40150,0,20.8,8.52,3.16,XPA320,BL,HP,MH,42,FALSE
6504,11-10-18,OLV,JGLSBB,SBL,40350,0,20.3,8.91,3.06,XPA,BD,HP,MH,42,FALSE
66421,11-10-31,OLV,MILRSA,RSL,18100,0,19.5,13.5,2.74,XPA,AM,HP,MH,20,FALSE
66422,11-10-31,OLV,MILRSB,RSL,19005,0,20.3,12.5,2.81,XPA,AM,HP,MH,21,FALSE
6530,11-10-20,OSO,RDHCHA,CHD,20605,0,21.3,8.81,3.24,XPA320,BD,HP,MH,23,FALSE
7050,11-11-10,KEL,SERPBA,PBL,25480,25480,0,0,0,,BD,HP,MH,26,FALSE
6965,11-11-01,OLV,SIDMER,MER,41800,0,21.3,7.3,3.22,602,R,HP,MH,48,FALSE
6490,11-10-17,OLV,SIDPGR,PGR,27285,0,20.7,7.29,3.16,RPA,BD,HP,MH,29,FALSE
6503,11-10-18,OLV,SIDSBL,SBL,35620,0,19.6,7.7,3.13,RPA,BD,HP,MH,36,FALSE
6474,11-10-14,KEL,SPEPGG,PGR,19780,0,0,0,0,XPA150,BL,HP,MH,24,FALSE
6641,11-10-31,KEL,SRSGAE,GAM,15020,0,20.1,12.4,2.87,RPA,BD,HP,MH,18,FALSE
6646,11-11-01,KEL,SRSPBA,PBL,16660,0,19.5,12,2.89,XPA320,BL,HP,MH,18,FALSE
6648,11-11-01,KEL,SRSPBA,PBL,15730,0,19.5,12,2.89,XPA320,BL,HP,MH,18,FALSE
6650,11-11-01,KEL,SRSPBA,PBL,15910,0,19.5,12,2.89,XPA320,R,HP,MH,18,FALSE
6955,11-11-01,KEL,SRSPBC,PBL,16150,0,20.6,11.8,2.93,XPA320,R,HP,MH,18,FALSE
6956,11-11-01,KEL,SRSPBC,PBL,15900,0,20.6,11.8,2.93,XPA,BD,HP,MH,18,FALSE
6958,11-11-01,KEL,SRSPBC,PBL,14540,0,20.6,11.8,2.93,XPA,BD,HP,MH,16,FALSE
6628,11-10-31,KEL,SRSPNB,PNN,15350,0,23.2,11.6,2.96,XPA320,BL,HP,MH,18,FALSE
6633,11-10-31,KEL,SRSPNB,PNN,15840,0,23.2,11.6,2.96,XPA320,R,HP,MH,18,FALSE
6634,11-10-31,KEL,SRSPND,PNN,15050,0,22.5,11.1,2.95,XPA320,BL,HP,MH,18,FALSE
6638,11-10-31,KEL,SRSPND,PNN,14200,0,22.5,11.1,2.95,XPA320,BD,HP,MH,16,FALSE
