grower,variety,grow.blk,date,tag.no,lbs,brix,ta,ph
*03,MER,*03MEI,14-10-01,81341,6665,24.7,3.5,3.86
*03,MER,*03MEJ,14-10-01,81342,2500,24.7,3.5,3.86
*03,MER,*03MEJ,14-10-02,8147,20625,24.5,3.7,3.82
*03,PBL,*03PBC,14-10-01,81331,24624,22.4,4.1,3.31
*03,PBL,*03PBD,14-10-01,8135,31720,22.4,4.1,3.31
*03,PBL,*03PBD,14-10-01,81332,19152,22.4,4.1,3.31
*03,PNN,*03PNA,14-09-18,8037,27020,23.6,5.35,3.4
*03,PNN,*03PNA,14-09-18,8043,4955,23.6,5.35,3.4
*03,PNN,*03PNA,14-09-19,80462,1875,23.6,5.35,3.4
*03,PNN,*03PNB,14-09-19,80461,22505,22.8,5.24,3.37
*04,CAF,*04CFCA,14-10-24,83702,807,25.1,4,3.7
*04,CAF,*04CFCA,14-10-27,8376,4140,27,4.26,3.51
*04,CAF,*04CFCA,14-10-27,8386,28015,27,4.26,3.51
*04,CAF,*04CFCB,14-10-27,8382,12455,26.7,4,3.65
*04,CAF,*04CFCB,14-10-27,8388,22885,26.7,4,3.65
*04,MER,*04MEAB,14-10-03,8149,38120,24.7,3.9,3.55
*04,MER,*04MEAB,14-10-03,8151,6675,24.7,3.9,3.55
*04,MER,*04MEAB,14-10-20,8288,5940,25,5.18,3.43
*04,PNN,*04PNB,14-09-12,8014,38870,23.2,5.97,3.38
*05,CAS,*05CAA,14-10-28,83951,6389,23.6,6.9,3.46
*05,CAS,*05CAA,14-10-28,83981,1702,23.6,6.9,3.46
*05,CAS,*05CAA,14-10-29,84081,3410,23.1,7,3.53
*05,CAS,*05CAA,14-10-29,84121,5793,24.1,6.5,3.45
*05,CAS,*05CAA,14-10-29,84141,6991,23.9,5.4,3.53
*05,CAS,*05CAA,14-10-29,84161,1745,24.1,6.5,3.45
*05,CAS,*05CAA,14-10-30,84201,3165,24.1,6.1,3.44
*05,CAS,*05CAB,14-10-28,83952,6389,23.6,6.9,3.46
*05,CAS,*05CAB,14-10-28,83982,1702,23.6,6.9,3.46
*05,CAS,*05CAB,14-10-29,84082,3405,23.1,7,3.53
*05,CAS,*05CAB,14-10-29,84122,5793,24.1,6.5,3.45
*05,CAS,*05CAB,14-10-29,84142,6991,23.9,5.4,3.53
*05,CAS,*05CAB,14-10-29,84162,1744,21.1,6.5,3.45
*05,CAS,*05CAB,14-10-30,84202,3162,24.1,6.1,3.44
*05,CAS,*05CAD,14-10-28,83953,6388,23.6,3.9,3.46
*05,CAS,*05CAD,14-10-28,83983,1702,23.6,6.9,3.46
*05,CAS,*05CAD,14-10-29,84083,3405,23.1,7,3.53
*05,CAS,*05CAD,14-10-29,84123,5793,24.1,6.5,3.45
*05,CAS,*05CAD,14-10-29,84143,6992,23.9,5.4,3.53
*05,CAS,*05CAD,14-10-29,84163,1744,24.1,6.5,3.45
*05,CAS,*05CAD,14-10-30,84203,3162,24.1,6.1,3.44
*05,CAS,*05CAE,14-10-28,83954,6388,23.6,6.9,3.46
*05,CAS,*05CAE,14-10-28,83984,1703,23.6,6.9,3.46
*05,CAS,*05CAE,14-10-29,84084,3405,23.1,7,3.53
*05,CAS,*05CAE,14-10-29,84124,5792,24.1,6.5,3.45
*05,CAS,*05CAE,14-10-29,84144,6992,23.9,5.4,3.53
*05,CAS,*05CAE,14-10-29,84164,1744,24.1,6.5,3.45
*05,CAS,*05CAE,14-10-30,84204,3162,24.1,6.1,3.44
*05,CAS,*05CAH,14-10-28,83955,6388,23.6,6.9,3.46
*05,CAS,*05CAH,14-10-28,83985,1703,23.6,6.9,3.46
*05,CAS,*05CAH,14-10-29,84085,3405,23.1,7,3.53
*05,CAS,*05CAH,14-10-29,84125,5792,24.1,6.5,3.45
*05,CAS,*05CAH,14-10-29,84145,6992,23.9,5.4,3.53
*05,CAS,*05CAH,14-10-29,84165,1744,24.1,6.5,3.45
*05,CAS,*05CAH,14-10-30,84205,3162,24.1,6.1,3.44
*05,CAS,*05CAI,14-10-28,83956,6388,23.6,6.9,3.46
*05,CAS,*05CAI,14-10-28,83986,1703,23.6,6.9,3.46
*05,CAS,*05CAI,14-10-29,84086,3405,23.1,7,3.53
*05,CAS,*05CAI,14-10-29,84126,5792,24.1,6.5,3.45
*05,CAS,*05CAI,14-10-29,84146,6992,23.9,5.4,3.53
*05,CAS,*05CAI,14-10-29,84166,1744,24.1,6.5,3.45
*05,CAS,*05CAI,14-10-30,84206,3162,24.1,6.1,3.44
*05,CHD,*05CHG,14-10-09,8214,41680,23.8,6.2,3.61
*05,CHD,*05CHK,14-10-09,8216,45970,23.8,6.2,3.61
*05,CHD,*05CHK,14-10-09,8218,4930,23.8,6.2,3.61
*05,SHZ,*05SZC,14-10-21,83141,14356,24.2,5.9,3.51
*05,SHZ,*05SZC,14-10-21,83211,6463,24.2,5.9,3.51
*05,SHZ,*05SZF,14-10-21,83142,14357,24.2,5.9,3.51
*05,SHZ,*05SZF,14-10-21,83212,6464,24.2,5.9,3.51
*05,SHZ,*05SZJ,14-10-21,83143,14357,24.2,5.9,3.51
*05,SHZ,*05SZJ,14-10-21,83213,6463,24.2,5.9,3.51
*07,PNN,*07PNCA,14-10-01,8130,15947,24.2,7.86,3.4
*07,PNN,*07PNCA,14-10-03,8157,8290,24.2,7.86,3.4
*07,PNN,*07PNCB,14-10-07,81821,6983,24.2,7.86,3.4
*07,RSL,*07RSA,14-10-16,82661,6813,23.8,8,3.01
*07,RSL,*07RSD,14-10-16,82662,9352,23.8,8,3.01
*07,RSL,*07RSD,14-10-21,8337,16909,23.6,10.1,3.16
*07,RSL,*07RSD,14-10-24,8367,575,23.6,10.1,3.16
*07,RSL,*07RSE,14-10-16,82663,8082,23.8,8,3.01
*08,CHD,*08CHA,14-09-22,8053,35275,22.4,6.16,3.38
*08,CHD,*08CHA,14-09-22,80552,700,22.4,6.16,3.38
*08,MER,*08MECA,14-10-20,8294,29625,28,6.7,3.68
*08,MER,*08MECA,14-11-04,84426,660,0,0,0
*08,PGR,*08PGB,14-09-19,8047,40470,21.5,5.91,3.36
*08,PGR,*08PGB,14-09-19,8048,11975,21.5,5.91,3.36
*09,MER,*09MEC,14-10-10,8224,13840,24,4.5,3.53
*09,MER,*09MEC,14-10-10,8227,18695,24,4.5,3.53
*09,MER,*09MEC,14-10-10,8229,1980,24,4.5,3.53
*09,PGR,*09PGD,14-09-30,8103,9505,21.4,5.8,3.35
*09,PGR,*09PGD,14-09-30,8107,25770,21.4,5.8,3.35
*09,PVD,*09PVFA,14-10-29,8410,12660,26.1,5.8,3.59
*09,PVD,*09PVFA,14-10-29,8413,6595,26.1,5.8,3.59
*09,SHZ,*09SZE,14-10-17,8267,40000,25.4,4.9,3.68
*09,SHZ,*09SZE,14-10-17,8269,23950,25.4,4.9,3.68
*10,CAS,*10CAE,14-10-21,8306,17450,24.6,4.3,3.84
*10,CAS,*10CAE,14-10-21,8313,36940,24.6,4.3,3.84
*10,CAS,*10CAE,14-10-22,8327,4140,25,5.3,3.71
*10,CAS,*10CAK,14-10-15,8248,36360,24.6,4.5,3.8
*10,CAS,*10CAK,14-10-15,8249,24615,24.6,4.5,3.8
*10,CAS,*10CAK,14-10-31,84256,1100,0,0,0
*10,CAS,*10CANA,14-10-27,8372,13335,25.3,4.5,3.8
*10,CAS,*10CANA,14-10-27,8374,37350,25.3,4.5,3.8
*10,CAS,*10CANA,14-10-27,8378,2975,25.3,4.5,3.8
*10,CAS,*10CANB,14-10-27,8373,23365,25,3.9,3.82
*10,CAS,*10CANB,14-10-27,8377,29535,25,3.9,3.82
*10,CAS,*10CANB,14-10-31,84255,2000,0,0,0
*10,CHD,*10CHAA,14-09-11,8010,33280,22.9,6.63,3.4
*10,CHD,*10CHAA,14-09-11,8011,34130,22.9,6.63,3.4
*10,CHD,*10CHAA,14-09-17,80271,21085,24.5,5.66,3.45
*10,CHD,*10CHLA,14-09-16,80312,1030,23.8,5.8,3.41
*10,CHD,*10CHP,14-09-17,80272,6710,24.6,5.66,3.45
*10,CHD,*10CHQA,14-09-18,8032,36090,22.9,6.55,3.34
*10,CHD,*10CHQA,14-09-18,8034,19250,22.9,6.55,3.34
*10,MER,*10MEJ,14-10-23,8345,31200,26.3,3.8,3.85
*10,MER,*10MEJ,14-10-23,8349,13470,26.3,3.8,3.85
*10,MER,*10MEJ,14-11-04,84445,600,0,0,0
*10,PBL,*10PBS,14-10-02,8140,29920,22.9,4.8,3.55
*10,PBL,*10PBS,14-10-02,8143,38375,22.9,4.8,3.55
*10,PBL,*10PBS,14-10-03,8148,39740,21.6,4.65,3.48
*10,PBL,*10PBW,14-10-03,8152,29145,21.6,4.65,3.48
*10,PBL,*10PBX,14-10-06,8163,23335,22.4,4.93,0.58
*10,PBL,*10PBX,14-10-06,81591,1129,22.4,4.9,3.58
