vineyard,variety,growblk,crush.tag.date,tag.no,lbs,brix,ta,ph
MIL,RSL,MILLER,08-11-10,5897,45010,19.9,11.9,2.97
PAC,PGR,PACPGR,08-10-01,40267,54677,22.5,7,3.23
PAC,PGR,PACPGR,08-10-02,40268,47910,22.5,6.9,3.14
PAC,PGR,PACPGR,08-10-02,40269,47101,22.6,6.2,3.6
SER,PBL,SERPBA,08-10-27,5799,29685,20.1,11.5,3.05
SPE,BCC,SPEBCE,08-10-15,5690,18000,18.6,6.7,3.24
SPE,BCC,SPEBCE,08-10-16,5698,11310,18.6,6.7,3.24
SPE,BCC,SPEBCE,08-10-16,5708,4915,18.6,6.7,3.24
SPE,CSA,SPEPCF,08-09-22,5539,14365,17.6,6.4,3.34
SPE,FOC,SPEFOA,08-10-03,5598,8030,24.6,12.8,3.45
SPE,FOC,SPEFOA,08-10-06,5610,12450,24.6,12.8,3.45
SPE,FOC,SPEFOA,08-10-06,5616,10660,24.6,12.8,3.45
SPE,GZT,SPEGWH,08-10-28,5820,15040,21.7,8.3,3.16
SPE,GZT,SPEGWH,08-10-28,5821,2075,21.7,8.3,3.16
SPE,PBL,SPEPBD,08-10-30,5846,5575,17.7,12.6,3.05
SPE,PBL,SPEPBD,08-10-30,5851,15640,17.7,12.6,3.05
SPE,PBL,SPEPBD,08-10-31,5857,12040,17.7,12.6,3.05
SPE,PBL,SPEPBI,08-10-30,5854,15290,18.4,11.4,3.08
SPE,PBL,SPEPBI,08-10-31,5861,4760,18.4,11.4,3.08
SPE,PGR,SPEPGB,08-10-17,5716,8635,21.1,11.1,3.09
SPE,PGR,SPEPGB,08-10-19,5729,8230,21.1,11.1,3.09
SPE,PGR,SPEPGB,08-10-29,5837,6470,20.5,9.8,3.16
SPE,PGR,SPEPGG,08-10-17,5719,17180,21.8,9.5,3.2
SPE,PGR,SPEPGG,08-10-19,57291,8230,21.8,9.5,3.2
SPE,PGR,SPEPGG,08-10-28,5822,13580,21.8,9.5,3.2
SPE,PGR,SPEPGJ,08-10-17,57161,8635,21.9,10,3.2
SPE,PGR,SPEPGJ,08-10-19,5730,1045,21.9,10,3.2
SPE,PGR,SPEPGJ,08-10-19,5731,16490,21.9,10,3.2
SPE,PGR,SPEPGJ,08-10-29,5836,14780,21.9,10,3.2
SPE,RSL,SPERSC,08-10-30,5845,6990,20.2,13.5,2.97
SRS,GAM,SRSGAE,08-10-29,5827,15930,19.1,10.9,3.12
SRS,GAM,SRSGAE,08-10-29,5834,9080,19.1,10.9,3.12
SRS,PBL,SRSPBA,08-10-27,5797,17500,21.6,10,3.09
SRS,PBL,SRSPBA,08-10-27,5803,16730,21.6,10,3.09
SRS,PBL,SRSPBA,08-10-30,5839,16020,21.6,10,3.09
SRS,PBL,SRSPBA,08-10-30,5840,16700,21.6,10,3.09
SRS,PBL,SRSPBA,08-10-30,5841,17210,21.6,10,3.09
SRS,PBL,SRSPBA,08-10-30,5844,11365,21.6,10,3.09
SRS,PBL,SRSPBC,08-10-27,5806,16770,19.7,9.4,3.1
SRS,PBL,SRSPBC,08-10-27,5807,4425,19.7,9.4,3.1
SRS,PNN,SRSPNB,08-10-29,5823,16900,23.8,9.8,3.13
SRS,PNN,SRSPNB,08-10-29,5824,16020,23.8,9.8,3.13
SRS,PNN,SRSPND,08-10-28,5809,16990,21.5,9.6,3.21
SRS,PNN,SRSPND,08-10-28,5819,16820,21.5,9.6,3.21
