tag.no,crush.tag.date,appell,growblk,variety,lbs,grapecost,brix,ta,ph,tanks,deputy,comments,bins
7101,12-09-28,OSO,CMAPGB,PGR,13300,0,23.00,7.27,3.38,XPA320,BD,HP,14
7102,12-09-28,OLV,*08PGB,PGR,25,0,21.30,9.59,3.11,XPA320,BD,HP,1
70931,12-09-28,OSO,*02SBN,SBL,28156,0,24.60,9.46,3.22,"XPA150,XPA150",R,MP,28
70932,12-09-28,OSO,*02SBB,SBL,8044,0,22.30,8.00,3.19,RPA,R,MP,8
71031,12-10-01,OLV,*09PGB,PGR,18405,0,22.80,8.73,3.19,XPA320,DB,MP,15
7104,12-10-01,OLV,*18PGD,PGR,24115,0,21.90,8.38,3.26,XPA320,DB,MP,21
7105,12-10-01,OLV,*11PNH,PNN,10795,0,22.40,9.26,3.17,OV   3,R,MP,9
71061,12-10-01,OLV,*09PGB,PGR,9441,0,22.80,8.73,3.19,XPA320,R,MP,8
71062,12-10-01,OLV,*09PGD,PGR,23004,0,22.20,8.02,3.15,XPA320,R,MP,19
71071,12-10-01,OSO,*02SBB,SBL,1545,0,22.30,8.00,3.19,XPA150,R,HP,2
71072,12-10-01,OSO,*02SBN,SBL,1545,0,24.60,9.46,3.22,XPA150,R,HP,2
71081,12-10-01,OSO,*02SBB,SBL,15305,0,22.30,8.00,3.19,XPA150,R,MP,16
71082,12-10-01,OSO,*02SBN,SBL,15305,0,24.60,9.46,3.22,XPA150,R,MP,16
71091,12-10-01,OLV,*11PNH,PNN,22865,0,22.40,9.26,3.17,"OV   3,OV   2,927,B",BL,MP,21
71092,12-10-01,OLV,*11PNI,PNN,5595,0,23.00,9.48,3.20,"927,B    1",BL,MP,5
71101,12-10-01,OSO,*02SBB,SBL,16472,0,22.30,8.00,3.19,RPA150,R,MP,16
71102,12-10-01,OSO,*21SBE,SBL,22648,0,19.40,10.20,2.99,RPA150,R,MP,22
7111,12-10-01,KEL,SPEFOA,FOC,13090,0,24.00,12.20,3.13,RPA150,WA,HP,14
7112,12-10-01,KEL,SPEFOA,FOC,14140,0,24.00,12.20,3.13,RPA150,JJ,HP,16
7113,12-10-02,OLV,*10PNH,PNN,9885,0,21.80,7.23,3.32,"919,B    1",BC,MP,9
7114,12-10-02,OLV,*10PGV,PGR,27235,0,24.50,7.46,3.27,XPA150,BC,MP,25
71151,12-10-02,OLV,*09PGB,PGR,900,0,22.80,8.73,3.19,XPA150,BC,HP,1
71152,12-10-02,OLV,*09PGD,PGR,900,0,22.20,8.02,3.15,XPA150,BC,HP,1
71161,12-10-02,OSO,*03CHM,CHD,20278,0,23.10,9.10,3.21,XPA320,BC,MP,20
71162,12-10-02,OSO,*03CHN,CHD,16222,0,22.80,8.71,3.25,XPA320,BC,MP,16
7117,12-10-02,NAR,*15PGS,PGR,28420,0,22.50,10.10,3.10,XPA150,BC,HP,30
71181,12-10-02,OSO,*02CHD,CHD,1078,0,21.90,8.71,3.16,XPA320,CB,HP,1
71182,12-10-02,OSO,*02CHE,CHD,1078,0,23.10,8.99,3.22,XPA320,CB,HP,1
71183,12-10-02,OSO,*03CHN,CHD,36664,0,22.80,8.71,3.25,XPA320,CB,MP,34
71201,12-10-02,OLV,*10PNH,PNN,26677,0,21.80,7.23,3.32,"919,920,B    1",R,MP,23
71202,12-10-02,OLV,*10PNI,PNN,6958,0,22.20,6.88,3.37,"920,B    1",R,MP,6
7119,12-10-02,OSO,BGLPGA,PGR,12540,0,22.60,7.96,3.17,RPA150,BL,HP,14
7121,12-10-02,OLV,*06PGH,PGR,31455,0,23.60,9.39,3.37,RPA150,WA,HP,33
7122,12-10-02,OLV,*12PNH,PNN,25515,0,22.30,6.80,3.33,RPA150,WA,HP,29
71261,12-10-03,NAR,*15PGS,PGR,9313,0,22.50,10.10,3.10,XPA150,BC,HP,10
71262,12-10-03,NAR,*15PGQ,PGR,13637,0,23.20,10.30,3.09,XPA150,BC,HP,14
71231,12-10-03,OLV,*10PNI,PNN,20400,0,22.20,6.88,3.37,"922,B    1",B,MP,19
71232,12-10-03,OLV,*12PNA,PNN,20400,0,22.50,7.30,3.28,"921,B    1",B,MP,19
7124,12-10-03,OLV,*11CHX,CHD,41170,0,23.50,9.10,3.24,XPA320,AM,MP,36
7125,12-10-03,OLV,*11CHX,CHD,35680,0,23.50,9.10,3.24,XPA320,BL,MP,30
71271,12-10-03,OLV,*12PNH,PNN,15689,0,22.30,6.80,3.33,XPA150,R,HP,18
71272,12-10-03,OLV,*12PNO,PNN,3486,0,21.70,7.85,3.28,XPA150,R,HP,4
7128,12-10-03,OLV,*06CHF,CHD,23460,0,22.80,10.40,3.20,RPA150,BL,HP,26
71291,12-10-03,OLV,*12PNO,PNN,17019,0,21.70,7.85,3.28,"XPA150,RPA150",WA,HP,20
71292,12-10-03,OLV,*12PNH,PNN,5956,0,22.30,6.80,3.33,RPA150,WA,HP,7
71301,12-10-04,OLV,*12PNA,PNN,1163,0,22.50,7.30,3.28,"939,B    1,B    1",DB,MP,1
71302,12-10-04,OLV,*12PNB,PNN,5871,0,22.80,6.72,3.31,"939,B    1",DB,MP,5
7131,12-10-04,OLV,*10CHA,CHD,35750,0,23.30,7.06,3.29,XPA320,DB,MP,30
7132,12-10-04,OLV,*08PGB,PGR,11300,0,22.80,9.52,3.13,RPA150,BC,MP,10
7133,12-10-04,OLV,*08CHA,CHD,28520,0,22.00,8.50,3.26,XPA150,BC,MP,26
7134,12-10-04,OLV,*10CHA,CHD,11450,0,23.30,7.06,3.29,XPA320,BC,MP,10
7135,12-10-04,OLV,*12PNA,PNN,31050,0,22.50,7.30,3.28,"939,B    1",BC,MP,26
7136,12-10-04,OLV,*08PGB,PGR,29360,0,22.80,9.52,3.13,RPA150,BC,MP,26
7137,12-10-04,OLV,*12PNC,PNN,12350,0,23.20,6.19,3.33,"923,B    1",R,MP,10
7138,12-10-04,OLV,*10CHA,CHD,32490,0,23.30,7.06,3.29,XPA320,R,MP,26
7141,12-10-04,OLV,*12PNA,PNN,13830,0,22.50,7.30,3.28,"923,B    1",BC,MP,12
7139,12-10-04,OSO,*19MEI,MER,2375,0,24.10,6.00,3.26,OV  18,BL,HP,3
7140,12-10-04,OLV,*12PNO,PNN,11510,0,21.70,7.85,3.28,RPA150,BC,HP,14
