tag.no,crush.tag.date,appell,growblk,variety,lbs,grapecost,brix,ta,ph,tanks,deputy,comments,bins
73032,12-10-17,OSO,*02MEJ,MER,1576,0,26.10,4.18,3.49,OV   2,WS,HP,2
7306,12-10-17,OSO,*03MEF,MER,27680,0,25.50,4.50,3.89,"937,951",CB,HP,34
7309,12-10-18,OLV,*16RSD,RSL,35230,0,22.60,10.50,2.99,"RPA150,XPA320",RT,MP,36
73101,12-10-18,OSO,*02MEM,MER,25266,0,25.90,4.39,3.87,"939,939,951",JJ,MP,28
73102,12-10-18,OSO,*02MEJ,MER,5414,0,26.10,4.19,3.49,"939,939,951",JJ,MP,6
7308,12-10-18,OLV,*16RSD,RSL,35940,0,22.60,10.50,2.99,XPA150,BC,MP,36
7312,12-10-18,OLV,*10RST,RSL,26455,0,21.40,12.30,2.85,XPA320,BL,MP,27
7313,12-10-18,OLV,*16RSD,RSL,8905,0,22.60,10.50,2.99,XPA320,BL,MP,9
7314,12-10-18,OLV,*11PBS,PBL,5275,0,21.30,7.54,3.14,RPA150,JJ,MP,5
7315,12-10-18,OLV,*10RST,RSL,29865,0,21.40,12.30,2.85,XPA320,JJ,MP,31
7316,12-10-18,OLV,*11PBS,PBL,41060,0,21.30,7.54,3.13,"XPA320,RPA150",JJ,MP,36
7317,12-10-18,OSO,CHLMEA,MER,13705,0,24.10,8.50,3.18,602,R,HP,15
7318,12-10-18,OSO,RDHMEB,MER,17045,0,25.00,7.31,3.28,602,R,HP,21
7319,12-10-18,OLV,*11PBS,PBL,35705,0,21.30,7.54,3.14,XPA320,R,MP,31
73241,12-10-18,OLV,*26CHE,CHD,4259,0,23.10,10.40,3.35,XPA320,R,HP,5
73242,12-10-18,OLV,*26CHC,CHD,36631,0,23.40,10.00,3.28,"XPA150,XPA320",R,HP,43
7320,12-10-18,OSO,*02MEL,MER,3300,0,24.70,6.92,3.30,"919,951",R,HP,4
7321,12-10-18,OSO,*02MEJ,MER,2415,0,26.10,4.18,3.49,"919,951",SF,HP,3
7322,12-10-18,OSO,*02MEM,MER,2555,0,25.90,4.39,3.87,"919,951",R,HP,3
73231,12-10-18,OSO,*02MEI,MER,13408,0,25.40,4.20,3.54,"939,939,919,951",R,MP,14
73232,12-10-18,OSO,*02MEJ,MER,11492,0,26.10,4.18,3.49,"939,939,937,951",R,MP,12
73251,12-10-18,KEL,SPEPGG,PGR,10452,0,23.50,10.30,3.07,XPA150,R,HP,13
73252,12-10-18,KEL,SPEPGJ,PGR,5625,0,23.00,10.60,3.07,XPA150,BD,HP,7
73261,12-10-19,OSO,*19MEC,MER,23777,0,22.80,7.21,3.26,455,R,MP,22
73262,12-10-19,OSO,*19MED,MER,15131,0,25.20,6.81,3.25,455,R,MP,14
73263,12-10-19,OSO,*19MEN,MER,2162,0,25.60,5.15,3.88,455,R,MP,2
73271,12-10-19,OLV,*01CFF,CAF,1194,0,22.90,6.18,3.26,914,BC,MP,1
73272,12-10-19,OLV,*01CFI,CAF,11941,0,22.40,5.87,3.29,"914,951",BC,MP,10
7328,12-10-19,OLV,*01MED,MER,25995,0,22.20,7.84,3.19,452,BC,MP,25
73291,12-10-19,OSO,*19MEM,MER,22117,0,26.50,5.10,3.84,"920,951",JJ,MP,20
73292,12-10-19,OSO,*19MEK,MER,4423,0,25.60,5.15,3.88,455,JJ,MP,4
73293,12-10-19,OSO,*19MEC,MER,13270,0,22.80,7.21,3.26,451,JJ,MP,12
7333,12-10-19,OSO,*19MEC,MER,19805,0,22.80,7.21,3.26,"455,456",BL,MP,17
73301,12-10-19,OSO,*19MEC,MER,35956,0,22.80,7.21,3.26,451,JJ,MP,32
73302,12-10-19,OSO,*19MEK,MER,4494,0,25.60,5.15,3.88,455,JJ,MP,4
73311,12-10-19,OSO,*19MEM,MER,17627,0,26.50,5.10,3.84,452,JJ,MP,16
73312,12-10-19,OSO,*19MEC,MER,22033,0,22.90,7.21,3.26,"451,452,455",JJ,MP,20
7334,12-10-19,OLV,*01CFF,CAF,25325,0,22.90,6.18,3.26,"914,916,951",BL,MP,21
7335,12-10-19,OLV,*26CHC,CHD,8490,0,23.40,10.00,3.28,XPA320,JJ,HP,10
7336,12-10-19,OSO,*02MEI,MER,26970,0,25.40,4.20,3.54,"919,920,916,951,951,9",JJ,MP,26
7337,12-10-19,OLV,*11CAQ,CAS,495,0,23.70,8.85,3.16,454,JJH,HP,1
7338,12-10-19,OLV,*27MEF,MER,7350,0,24.60,6.62,3.41,454,JJ,HP,8
73391,12-10-19,OLV,*26CHC,CHD,24598,0,23.40,10.00,3.28,XPA320,JJ,HP,28
73392,12-10-19,OLV,*26CHH,CHD,7907,0,21.60,12.20,3.28,XPA320,JJ,HP,11
7340,12-10-19,KEL,SPEPGJ,PGR,4125,0,23.00,10.60,3.07,XPA150,JJ,HP,5
73411,12-10-19,OSO,*19MEC,MER,40936,0,22.80,7.21,3.26,456,BC,MP,36
73412,12-10-19,OSO,*19MEM,MER,2274,0,26.50,5.10,3.83,454,CB,MP,2
7342,12-10-19,OLV,*27MEF,MER,31870,0,24.60,6.62,3.41,454,BD,HP,38
73431,12-10-19,OSO,*19MEK,MER,4460,0,25.60,5.15,3.88,454,BD,HP,5
73432,12-10-19,OSO,*19MEM,MER,4460,0,26.50,5.10,3.84,454,BD,HP,5
7348,12-10-20,OLV,*10CAN,CAS,35670,0,22.00,8.58,3.24,"457,458",BD,HP,36
7344,12-10-22,OLV,*10CAN,CAS,9930,0,22.00,8.58,3.24,458,DSK,MP,10
7345,12-10-22,OLV,*10CAK,CAS,23750,0,23.10,5.37,3.87,"936,B    1",DSK,MP,26
7346,12-10-22,OLV,*10CAN,CAS,35900,0,22.00,8.58,3.24,458,BL,MP,36
7347,12-10-22,OLV,*10CAK,CAS,34970,0,23.10,5.37,3.86,457,BD,MP,36
73491,12-10-22,OLV,*10CAN,CAS,32143,0,22.00,8.58,3.24,459,R,MP,32
73492,12-10-22,OLV,*10CAE,CAS,6027,0,21.40,8.18,3.22,"459,459",R,MP,6
7350,12-10-22,OLV,*12MEI,MER,35600,0,25.00,6.43,3.34,XPA320,R,MP,38
72511,12-10-22,OLV,*10CAK,CAS,1963,0,23.10,5.37,3.86,915,BD,MP,2
72512,12-10-22,OLV,*10CAN,CAS,33377,0,22.00,8.58,3.24,"459,915",BD,MP,34
7252,12-10-22,KEL,*24PNA,PNN,16790,0,23.00,11.30,3.03,"925,926,B    1",JJ,HP,20
7253,12-10-22,OSO,CMAMEA,MER,19065,0,25.40,6.21,3.39,604,JJ,HP,23
7254,12-10-22,OSO,CHLCAD,CAS,17735,0,24.00,9.33,3.18,"936,B    1",JJ,HP,23
7255,12-10-22,OLV,*10CAE,CAS,26385,0,21.40,8.18,3.22,453,JJ,MP,27
7256,12-10-22,OLV,*12MEI,MER,9800,0,25.00,6.43,3.34,XPA320,JJ,MP,10
7257,12-10-22,OLV,HSDMEB,MER,8150,0,25.40,7.33,3.38,604,JJ,HP,8
72581,12-10-22,OLV,HUGMEC,MER,6041,0,24.50,7.89,3.33,604,JJ,HP,7
72582,12-10-22,OLV,HUGMEE,MER,6041,0,22.90,7.47,3.36,604,JJ,HP,7
72583,12-10-22,OLV,HUGMEF,MER,6903,0,25.10,6.85,3.40,604,JJ,HP,8
72584,12-10-22,OLV,HUGMEI,MER,6903,0,24.60,8.56,3.24,604,JJ,HP,8
72585,12-10-22,OLV,HUGCFB,CAF,7767,0,23.90,9.24,3.22,604,JJ,HP,9
7260,12-10-22,KEL,*24PNA,PNN,13740,0,23.80,10.30,3.09,"926,B    1",JJ,HP,16
7261,12-10-22,OLV,*10CAE,CAS,35850,0,21.40,8.18,3.22,"604,453",R,MP,36
7263,12-10-22,OLV,*27CHB,CHD,31590,0,23.50,8.01,3.26,XPA150,CB,HP,38
72621,12-10-22,OSO,*02MEI,MER,9496,0,25.40,4.20,3.54,601,R,HP,12
72622,12-10-22,OSO,*02MEL,MER,7914,0,26.10,6.50,3.41,601,R,HP,10
72591,12-10-22,OSO,*02CFH,CAF,15190,0,26.10,4.26,3.79,"OV  14,951",BL,HP,18
72592,12-10-22,OSO,*02SZQ,SHZ,23630,0,23.10,4.90,3.91,"932,933,951",BL,HP,28
7265,12-10-23,OSO,CHLSZC,SHZ,26770,0,23.90,7.58,3.28,"917,951",BD,HP,30
7270,12-10-24,KEL,*22PNI,PNN,10530,0,22.90,11.40,3.09,"927,951",R,HP,12
72711,12-10-24,OLV,*12SZE,SHZ,33078,0,22.40,8.75,3.23,905,BD,MP,32
72712,12-10-24,OLV,*12SZK,SHZ,6202,0,22.40,8.75,3.23,905,BD,MP,6
7272,12-10-24,KEL,*22PNC,PNN,15130,0,23.60,10.60,3.06,"931,951,B    1",R,HP,18
72731,12-10-24,OLV,*12CAD,CAS,23980,0,22.70,9.92,3.14,907,R,MP,22
72732,12-10-24,OLV,*12SZE,SHZ,17440,0,22.40,8.75,3.23,905,R,MP,16
7274,12-10-24,OLV,*16MEH,MER,4460,0,26.20,6.22,3.34,601,R,MP,4
72751,12-10-24,OLV,*12CAD,CAS,30229,0,22.70,9.92,3.14,907,R,MP,30
72752,12-10-24,OLV,*12CAL,CAS,4031,0,22.70,9.92,3.14,907,R,MP,4
7277,12-10-24,OLV,*16MEH,MER,24600,0,26.20,6.22,3.34,601,BL,MP,22
72801,12-10-24,KEL,*22PNC,PNN,11368,0,23.60,10.60,3.06,"930,B    1",BC,HP,13
72802,12-10-24,KEL,*22PNI,PNN,4372,0,22.90,11.40,3.09,"930,B    1",BC,HP,5
7276,12-10-24,KEL,SRSPBA,PBL,8575,0,20.10,10.00,3.02,RPA150,R,HP,9
7278,12-10-24,OLV,*04CFC,CAF,14775,0,26.10,5.34,3.74,"OV  13,B    1",BL,HP,19
72791,12-10-24,OSO,*03PBC,PBL,23503,0,25.20,8.50,3.22,XPA320,CB,HP,26
72792,12-10-24,OSO,*03PBD,PBL,10847,0,24.20,7.60,3.26,XPA320,CB,HP,12
7281,12-10-24,OLV,*11MEW,MER,43110,0,23.80,8.45,3.12,911,BL,MP,38
72821,12-10-24,OLV,*11MEV,MER,2178,0,24.20,8.75,3.12,918,BL,MP,2
72822,12-10-24,OLV,*11MEZ,MER,20687,0,22.70,8.26,3.14,"911,918",BL,MP,19
72831,12-10-24,OLV,*16SZK,SHZ,9631,0,24.80,6.45,3.89,OV   8,BL,HP,11
72832,12-10-24,OLV,*16SZL,SHZ,5254,0,23.00,7.00,3.22,"OV   8,B    1",BL,HP,7
7284,12-10-25,OLV,*11MEW,MER,41180,0,23.80,8.45,3.12,918,AM,MP,38
7285,12-10-25,OLV,*16SZL,SHZ,44290,0,23.00,7.00,3.22,935,AM,MP,38
7286,12-10-25,KEL,*24PNB,PNN,13600,0,23.90,8.95,3.15,"934,B    1",R,HP,16
7287,12-10-25,OSO,*19VIA,VIO,8445,0,21.40,8.22,3.11,"904,935,917",R,HP,9
7288,12-10-25,OSO,*03PBD,PBL,26815,0,24.20,7.60,3.26,XPA320,R,HP,29
7289,12-10-25,OLV,*11MEV,MER,5595,0,24.20,8.75,3.12,918,JJ,MP,5
7291,12-10-25,KEL,SRSPBC,PBL,16580,0,20.70,9.55,3.02,RPA150,R,HP,18
72921,12-10-25,OLV,*16SZL,SHZ,24524,0,23.00,7.00,3.22,"904,935,917",R,MP,22
72922,12-10-25,OLV,*16SZK,SHZ,16721,0,24.80,6.45,3.89,917,R,MP,15
7293,12-10-25,KEL,*24PNB,PNN,15560,0,23.90,8.95,3.15,"934,921,B    1",R,HP,18
72981,12-10-25,KEL,*24PNA,PNN,1698,0,23.80,10.30,3.09,921,R,HP,2
72982,12-10-25,KEL,*24PNB,PNN,5094,0,23.90,8.95,3.15,"921,B    1",R,HP,6
72983,12-10-25,KEL,*24PNC,PNN,5943,0,23.90,8.95,3.15,"921,B    1",R,HP,7
7299,12-10-25,KEL,SRSPBA,PBL,16700,0,20.50,10.00,3.02,"RPA150,XPA150",R,HP,18
72901,12-10-25,OLV,*11CAA,CAS,6475,0,23.60,8.41,3.32,"938,B    1",JJ,MP,6
72902,12-10-25,OLV,*11CAB,CAS,8634,0,23.60,8.74,3.22,"938,B    1",JJ,MP,8
72903,12-10-25,OLV,*11CAP,CAS,18346,0,24.70,8.71,3.21,"938,B    1,B    2",JJ,MP,17
7294,12-10-25,OLV,*09SZE,SHZ,16720,0,24.10,6.00,3.74,904,R,MP,16
7295,12-10-25,OLV,*11CAP,CAS,6755,0,24.70,8.71,3.21,"938,B    1",R,MP,7
7296,12-10-25,OLV,*09SZE,SHZ,14915,0,24.10,6.00,3.74,"OV   7,B    1",R,HP,17
7297,12-10-25,OLV,*09SZE,SHZ,36360,0,24.10,6.00,3.74,904,R,MP,34
7300,12-10-25,OLV,*17MEC,MER,14850,0,25.70,4.91,3.54,"OV   6,B    1",CB,HP,18
73511,12-10-25,OSO,*02CAO,CAS,14997,0,26.20,5.18,3.98,"OV  12,B    1",CB,HP,20
73512,12-10-25,OSO,*02CAP,CAS,14248,0,26.10,5.95,3.95,"OV   1,B    1",CB,HP,19
73521,12-10-26,OLV,*11CFL,CAF,1260,0,22.00,7.60,3.19,607,R,MP,1
73522,12-10-26,OLV,*11CFM,CAF,44100,0,22.00,7.10,3.17,607,R,MP,35
73531,12-10-26,OLV,*12SMG,SEM,23646,0,22.20,8.14,3.18,XPA320,R,MP,20
73532,12-10-26,OLV,*12SMN,SEM,20099,0,23.00,7.61,3.18,XPA320,R,MP,17
7354,12-10-26,KEL,*22PGF,PGR,15695,0,23.70,9.66,3.06,XPA150,R,HP,17
7355,12-10-26,KEL,SRSPBA,PBL,15630,0,20.10,10.00,3.02,RPA150,R,HP,18
7356,12-10-26,OLV,*11CFN,CAF,45310,0,21.00,7.05,3.20,"607,910",JZ,MP,36
7357,12-10-26,KEL,SRSPBC,PBL,4645,0,20.70,9.55,3.02,RPA150,R,HP,5
7359,12-10-26,OLV,*11CFL,CAF,45400,0,22.00,7.60,3.19,"910,606",R,MP,36
7360,12-10-26,OLV,*11CFL,CAF,3705,0,22.00,7.60,3.18,606,BL,MP,3
73581,12-10-26,OSO,*19VIA,VIO,35674,0,21.40,8.22,3.11,XPA320,R,MP,31
73582,12-10-26,OSO,*19VIB,VIO,8056,0,21.40,8.22,3.11,XPA320,R,MP,7
73611,12-10-26,OLV,*10VAA,VIO,4690,0,26.60,7.23,3.44,XPA320,BL,HP,5
73612,12-10-26,OLV,*10VAB,VIO,7505,0,26.60,7.76,3.42,XPA320,BL,HP,8
7362,12-10-26,OSO,*19VIA,VIO,40895,0,21.40,8.22,3.11,"XPA150,XPA320",BL,MP,35
73631,12-10-29,KEL,*22PBP,PBL,3578,0,21.90,11.30,2.89,XPA320,R,HP,4
73632,12-10-29,KEL,*22PBN,PBL,5367,0,21.90,11.30,2.89,XPA320,R,HP,6
73633,12-10-29,KEL,*22PBL,PBL,8945,0,21.90,11.30,2.89,XPA320,R,HP,10
7364,12-10-29,OLV,*08MEC,MER,40300,0,27.10,5.21,3.82,"912,B    1",BL,MP,38
73651,12-10-29,KEL,*22PBL,PBL,8010,0,21.90,11.30,2.89,XPA320,BL,HP,9
73652,12-10-29,KEL,*22PBJ,PBL,9790,0,21.90,11.30,2.89,XPA320,BL,HP,11
7366,12-10-29,KEL,*22PBN,PBL,3525,0,21.90,11.30,2.89,XPA320,BL,HP,5
73671,12-10-29,OLV,*23MEH,MER,14459,0,25.10,6.56,3.37,"924,B    1",R,HP,19
73672,12-10-29,OLV,*23MED,MER,7610,0,25.10,6.56,3.37,"924,B    1",R,HP,10
73681,12-10-29,OSO,*02CAG,CAS,11109,0,25.90,5.21,3.84,"OV  11,B    1",R,HP,15
73682,12-10-29,OSO,*02CAP,CAS,2962,0,26.10,5.95,3.95,OV  11,R,HP,4
73761,12-10-29,OLV,*10SZY,SHZ,10867,0,22.20,7.53,3.30,605,R,MP,10
73762,12-10-29,OLV,*12SZE,SHZ,21733,0,22.40,8.75,3.23,605,R,MP,20
73701,12-10-29,OLV,*10SZL,SHZ,31448,0,21.80,7.89,3.18,605,R,MP,28
73702,12-10-29,OLV,*10SZY,SHZ,11232,0,22.20,7.53,3.30,605,R,MP,10
7372,12-10-29,KEL,SRSPBC,PBL,17070,0,20.70,9.55,3.02,XPA150,BC,HP,18
7373,12-10-29,KEL,SRSPBA,PBL,15890,0,20.10,10.00,3.02,XPA150,R,HP,16
7374,12-10-29,OLV,*09PVF,PVD,3240,0,26.50,10.50,3.12,"912,455,B    1",R,MP,4
7375,12-10-29,OLV,*17MEC,MER,5495,0,25.70,4.91,3.54,"912,B    1",R,MP,5
73691,12-10-29,NAR,*15MEM,MER,5421,0,20.80,8.98,3.21,XPA320,BL,HP,7
73692,12-10-29,NAR,*15MEN,MER,31749,0,19.90,10.40,3.07,XPA320,BL,HP,41
73711,12-10-29,OLV,*23MEH,MER,2318,0,25.10,6.56,3.37,"924,B    1",CB,HP,3
73712,12-10-29,OLV,*23MED,MER,773,0,25.10,6.56,3.37,"924,B    1",CB,HP,1
73713,12-10-29,OLV,*23MEG,MER,13906,0,25.00,5.94,3.41,"913,B    1,451",DB,HP,18
73714,12-10-29,OLV,*23MEC,MER,10816,0,25.00,5.94,3.41,"913,B    1",CB,HP,14
73715,12-10-29,OLV,*23MEF,MER,1545,0,25.00,7.23,3.32,913,CB,HP,2
73716,12-10-29,OLV,*23MEJ,MER,8497,0,24.80,7.44,3.35,451,CB,HP,11
7377,12-10-29,NAR,*15MEM,MER,5610,0,20.80,8.98,3.21,XPA320,BD,HP,8
7378,12-10-29,OLV,*16SZK,SHZ,19125,0,24.80,6.45,3.89,"605,908,602,B    1",BD,MP,17
73791,12-10-29,OSO,GABMEB,MER,3466,0,25.20,7.70,3.22,XPA320,BC,HP,4
73792,12-10-29,OSO,GABMEC,MER,3466,0,24.40,8.21,3.16,XPA320,BD,HP,4
73793,12-10-29,OSO,GABMED,MER,4333,0,24.70,8.04,3.18,XPA320,BD,HP,5
7380,12-10-29,OLV,*16SZK,SHZ,43640,0,24.80,6.45,3.89,"908,B    1",BD,MP,38
7382,12-10-30,OLV,*16SZK,SHZ,2240,0,24.80,6.45,3.89,"908,B    1",BL,MP,2
7383,12-10-30,OLV,*04CFC,CAF,35290,0,26.10,5.34,3.74,"602,B    1",BL,MP,34
7384,12-10-30,OSO,*19VIA,VIO,3870,0,21.40,8.22,3.11,"908,B    1",BL,HP,4
73851,12-10-30,OSO,*03CAK,CAS,3294,0,23.20,7.99,3.23,455,BL,MP,3
73852,12-10-30,OSO,*03CAL,CAS,7686,0,22.40,9.51,3.17,455,BL,MP,7
7386,12-10-30,OSO,*20CAA,CAS,24970,0,24.30,7.76,3.22,"603,602,B    1",BL,MP,22
7387,12-10-30,KEL,*07PNC,PNN,17940,0,24.00,9.62,3.11,"928,906,B    1",R,HP,20
7388,12-10-30,OLV,*04CFC,CAF,2455,0,26.10,5.34,3.74,"602,B    1",R,MP,3
73891,12-10-30,OLV,*11CAQ,CAS,12515,0,23.70,8.85,3.16,603,R,MP,11
73892,12-10-30,OLV,*11CAR,CAS,25030,0,24.00,7.95,3.20,603,R,MP,22
7390,12-10-30,OSO,*03CAL,CAS,47580,0,22.40,9.51,3.17,455,R,MP,40
7391,12-10-30,KEL,SRSPBA,PBL,16800,0,20.10,10.00,3.02,XPA320,R,HP,18
7392,12-10-30,OLV,*11CAQ,CAS,10680,0,23.70,8.85,3.17,603,R,MP,10
73931,12-10-30,OLV,*12CAD,CAS,23736,0,22.70,9.92,3.14,452,R,MP,22
73932,12-10-30,OLV,*12CAL,CAS,1079,0,22.70,9.92,3.14,452,R,MP,1
7395,12-10-30,KEL,*07RSE,RSL,22505,0,21.80,14.10,2.72,XPA150,R,HP,27
7396,12-10-30,KEL,SRSPBC,PBL,16420,0,20.70,9.55,3.02,XPA320,R,HP,18
7397,12-10-30,OSO,*03CAL,CAS,8645,0,22.40,9.51,3.17,452,BD,MP,9
7399,12-10-30,KEL,SRSPBC,PBL,15825,0,20.70,9.55,3.02,XPA320,R,HP,17
73981,12-10-30,OSO,*03CFG,CAF,14970,0,25.60,4.38,3.90,"OV  10,B    1",R,HP,19
73982,12-10-30,OSO,*03CAH,CAS,14970,0,25.80,5.59,3.89,"452,OV   9,B    1",R,MP,19
74001,12-10-30,NAR,*15MEN,MER,24294,0,19.90,10.40,3.07,XPA320,BC,HP,32
74002,12-10-30,NAR,*15MEO,MER,13666,0,20.20,11.20,3.05,XPA320,BC,HP,18
7401,12-10-31,OLV,*16CFG,CAF,26575,0,25.30,7.17,3.19,"906,B    1",R,MP,25
74021,12-10-31,KEL,SRSPNB,PNN,16381,0,22.90,11.20,2.99,XPA150,R,HP,8
74022,12-10-31,KEL,SRSPND,PNN,8672,0,22.40,9.69,3.12,XPA150,R,HP,9
7403,12-10-31,KEL,SRSPBA,PBL,1904,0,20.10,10.00,3.02,XPA150,R,HP,2
74041,12-10-31,OLV,*23MEI,MER,3878,0,24.80,7.44,3.35,451,BL,HP,5
74042,12-10-31,OLV,*23MEE,MER,22490,0,25.00,7.23,3.32,451,BL,HP,29
74043,12-10-31,OLV,*23MEA,MER,4652,0,25.00,7.23,3.32,451,BL,HP,6
74051,12-10-31,OLV,*23MEF,MER,4632,0,25.00,7.23,3.32,451,R,HP,6
74052,12-10-31,OLV,*23MEB,MER,5403,0,25.00,7.23,3.32,451,R,HP,7
74071,12-10-31,OSO,GABMEB,MER,5288,0,25.20,7.73,3.22,452,BD,HP,6
74072,12-10-31,OSO,GABMEC,MER,5288,0,24.40,8.21,3.16,452,BL,HP,6
74073,12-10-31,OSO,GABMED,MER,6169,0,24.70,8.04,3.18,452,BL,HP,7
7406,12-10-31,OSO,*02CAS,CAS,21220,0,25.90,9.33,3.21,909,BC,MP,20
7408,12-11-01,KEL,*07RSD,RSL,21665,0,22.00,14.80,2.71,XPA320,BD,HP,25
7410,12-11-01,KEL,*07RSA,RSL,22360,0,22.20,15.00,2.70,XPA320,BD,HP,26
7412,12-11-01,NAR,*15GWH,GZT,8800,0,24.60,6.93,3.37,XPA150,BC,HP,12
7413,12-11-01,NAR,*15RSK,RSL,20190,0,21.60,13.80,2.74,XPA150,BC,HP,26
7409,12-11-01,KEL,SRSPNB,PNN,17080,0,22.90,11.20,2.99,XPA320,W,HP,18
7411,12-11-01,KEL,SRSPND,PNN,17120,0,22.40,9.69,3.12,XPA320,BD,HP,18
7414,12-11-01,OLV,*26CBD,CBL,13605,0,0.00,0.00,0.00,XPA150,BD,HP,13
7415,12-11-01,OLV,*12RSF,RSL,21985,0,20.40,10.70,2.96,XPA150,BC,MP,21
7418,12-11-02,KEL,SRSPND,PNN,15380,0,22.40,9.69,3.12,XPA320,R,HP,16
7419,12-11-02,KEL,SRSPNB,PNN,16430,0,22.90,11.20,2.99,XPA320,W,HP,18
7420,12-11-02,NAR,*15CHY,CHD,41730,0,23.00,10.80,3.13,XPA150,R,MP,36
7421,12-11-02,OSO,*02CAO,CAS,4641,0,26.20,5.18,3.98,"923,B    3",R,MP,4
7422,12-11-02,OSO,*02CAP,CAS,14471,0,26.10,5.95,3.95,"923,B    3",R,MP,14
7423,12-11-02,OSO,*02CFT,CAF,8704,0,25.50,4.35,3.90,"922,B    3",R,HP,11
7424,12-11-02,OSO,*21PVA,PVD,9994,0,25.90,12.60,3.04,"OV  18,B    3",R,MP,11
7425,12-11-02,OLV,*09PVF,PVD,9335,0,26.50,10.50,3.12,"OV  18,909,B    3,906",R,HP,9
7426,12-11-02,OLV,*01CFA,CAF,1470,0,23.90,5.73,3.39,906,R,HP,2
7427,12-11-02,OLV,*05SZJ,SHZ,5230,0,23.20,7.73,3.38,457,R,HP,6
7428,12-11-02,OLV,*05SZF,SHZ,28155,0,24.50,6.80,3.36,457,R,HP,31
7429,12-11-02,KEL,SRSPND,PNN,5410,0,22.40,9.69,3.12,XPA320,BD,HP,6
7430,12-11-02,KEL,SRSGAE,GAM,5740,0,23.40,12.00,3.00,RPA150,BD,HP,6
7431,12-11-02,OSO,*03CFG,CAF,3815,0,25.60,4.38,3.90,"922,B    3",BD,HP,5
7432,12-11-02,OSO,*03CAH,CAS,17380,0,25.80,5.59,3.88,909,BD,MP,16
7433,12-11-02,OSO,*02CFT,CAF,8573,0,25.50,4.35,3.90,906,BC,MP,11
7434,12-11-02,OSO,*02CFH,CAF,1911,0,26.10,4.26,3.79,"922,B    3",BD,MP,2
7435,12-11-02,KEL,SRSGAE,GAM,13975,0,23.40,12.00,3.00,RPA150,BD,HP,15
7436,12-11-02,OSO,*02CFH,CAF,7389,0,26.10,4.26,3.79,"922,B    3",BC,MP,11
7437,12-11-02,OLV,*05SZC,SHZ,10625,0,23.30,8.08,3.32,457,BC,HP,15
7438,12-11-02,OSO,GABMEC,MER,15905,0,24.60,7.47,3.23,458,BC,HP,19
7439,12-11-02,OLV,BROMEB,MER,18225,0,23.70,6.29,3.44,"RPA150,458",BC,HP,19
7440,12-11-02,OSO,*02CAA,CAS,13820,0,24.90,9.22,3.11,909,BC,HP,18
7441,12-11-02,OSO,*02CFH,CAF,9955,0,26.10,4.26,3.79,906,BC,HP,11
7442,12-11-02,OSO,*03CAH,CAS,2215,0,25.80,5.59,3.88,909,BC,HP,3
7443,12-11-02,OSO,*03CFG,CAF,9230,0,25.60,4.38,3.90,906,BC,HP,10
7444,12-11-05,KEL,*22RSS,RSL,17280,0,20.80,15.60,2.66,XPA320,BD,HP,20
74461,12-11-05,KEL,*22RSS,RSL,7457,0,20.80,15.60,2.66,XPA320,BD,HP,9
74462,12-11-05,KEL,*22RSQ,RSL,7457,0,21.00,15.00,2.61,XPA320,BD,HP,9
74463,12-11-05,KEL,*22RSM,RSL,1656,0,20.80,15.60,2.66,XPA320,BD,HP,2
7450,12-11-05,KEL,*07PNC,PNN,8920,0,24.00,9.62,3.11,"929,B    3",R,HP,10
7451,12-11-05,NAR,*15CHG,CHD,3570,0,23.40,10.50,3.17,XPA150,BC,MP,4
74521,12-11-05,NAR,*15RSJ,RSL,8491,0,23.50,12.70,2.89,XPA320,BC,HP,12
74522,12-11-05,NAR,*15RSL,RSL,16983,0,20.90,12.40,2.87,XPA320,BC,HP,24
74523,12-11-05,NAR,*15RSZ,RSL,5661,0,20.60,15.20,2.72,XPA320,BC,HP,8
74524,12-11-05,NAR,*15RSI,RSL,1415,0,22.00,13.70,2.79,XPA320,BC,HP,2
74531,12-11-05,OSO,GABMEC,MER,7101,0,24.60,7.47,3.23,XPA320,R,HP,9
74532,12-11-05,OSO,GABCFE,CAF,12624,0,23.20,8.48,3.17,"458,XPA320",R,HP,16
7455,12-11-05,KEL,*07PNC,PNN,7240,0,24.00,9.62,3.11,907,R,HP,8
74581,12-11-05,KEL,*22PNB,PNN,14620,0,23.70,10.60,3.05,"929,907,B    3",R,HP,17
74582,12-11-05,KEL,*22PNI,PNN,2580,0,22.90,11.40,3.09,907,R,HP,3
7459,12-11-05,KEL,*07PNC,PNN,9975,0,24.00,9.62,3.11,907,BL,HP,11
7463,12-11-05,NAR,*15CHY,CHD,12235,0,23.00,10.80,3.13,XPA150,BC,MP,11
74651,12-11-05,NAR,*15CHG,CHD,16304,0,23.40,10.50,3.17,XPA150,DSK,MP,16
74652,12-11-05,NAR,*15CHF,CHD,19361,0,23.60,12.20,3.10,XPA150,DSK,MP,19
74653,12-11-05,NAR,*15VIA,VIO,1,0,21.60,11.10,2.97,XPA150,DSK,MP,0
74471,12-11-05,OLV,*26MED,MER,9848,0,23.80,7.87,3.41,"RPA150,XPA320",R,HP,12
74472,12-11-05,OLV,*26MEF,MER,14771,0,22.70,8.48,3.41,RPA150,R,HP,18
74473,12-11-05,OLV,*26MEG,MER,14771,0,24.10,9.91,3.28,RPA150,R,HP,18
