"","Field","Block","Planted","Variety","Acres","Lag.Phase.G.Vine","Pick.Weight.Grams","X","Year","Plants","Row.Spacing","Av.Bunch.Weight.Grams","Clust.per.Vine","Spurs.per.Block","Berries.per.Cluster","Row","Av.Berry.Weight.Grams","Av.Berry.Weight.Grams.1","Av.Bunch.Weight.Grams.1","Lag.Estimate.t","Berry.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg.1","X2007.Actual","Percentage","Notes","Veraison.Estimate","X2008.Actual","CommentsPlanted","CommentsFlowering","CommentsVerasion","CommentsBudburst","phenologyEvent","phenologyDate"
"754","F2","B9",1998,"Gamay Noir",0.91,1850,NA,NA,"2002",1257,"2.1 x 1.4","47.4g",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 20-21","original verasion date is Aug 22-23","original budburst date is Apr-30","Lag.Phase.Date",2002-07-25
"755","F3","B1",19975,"Chenin Blanc",1.93,2100,NA,NA,"2002",1373,"3.0 x 2.1","41.1g",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  19975/97","original flowering date was Jun 22-23","original verasion date is ","original budburst date is Apr-29","Lag.Phase.Date",2002-07-25
"756","F3","B2",1965,"Foch",1.25,2525,NA,NA,"2002",780,"3.1 x 2.1","19.1g",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 13-14","original verasion date is Aug 05-06","original budburst date is Apr 28-29","Lag.Phase.Date",2002-07-25
"757","F3","B3",1996,"Pinot Noir",2.47,1275,NA,NA,"2002",5000,"2.0 x 1.0","34.4g",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 18-19","original budburst date is May 02-03","Lag.Phase.Date",2002-07-23
"758","F3","B4",1996,"Chardonnay",2.47,975,NA,NA,"2002",5000,"2.0 x 1.0","28.6g",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun-22","original verasion date is ","original budburst date is Apr-29","Lag.Phase.Date",2002-07-22
"759","F3","B5",1990,"Pinot Noir",0.91,1550,NA,NA,"2002",1103,"2.4 x 1.3","37.8g",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 21-22","original budburst date is May 02-03","Lag.Phase.Date",2002-07-23
"760","F3","B6",1987,"Pinot Noir",0.5,1125,NA,NA,"2002",600,"2.4 x 1.3","27.4g",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 21-22","original budburst date is May 02-03","Lag.Phase.Date",2002-07-23
"761","F3","B7",1987,"Pinot Noir",0.96,1700,NA,NA,"2002",1160,"2.4 x 1.3","38.6g",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 22-23","original verasion date is Aug 21-22","original budburst date is May 02-03","Lag.Phase.Date",2002-07-23
"762","F3","B8",1975,"Pinot Noir",0.54,1100,NA,NA,"2002",631,"2.4 x 1.3","30.5g",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/90","original flowering date was Jun 22-23","original verasion date is Aug 21-22","original budburst date is May 02-03","Lag.Phase.Date",2002-07-23
"763","F4","B1",1982,"Riesling",2.23,1800,NA,NA,"2002",2614,"2.4 x 1.3","33.9g",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was Jun 24-25","original verasion date is ","original budburst date is May 04-05","Lag.Phase.Date",2002-07-25
"764","F4","B2",1975,"Riesling",1.01,1900,NA,NA,"2002",711,"3.0 x 2.1","28.3g",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/90","original flowering date was Jun 24-25","original verasion date is ","original budburst date is May 04-05","Lag.Phase.Date",2002-07-25
