"","Field","Block","Planted","Variety","Acres","Lag.Phase.G.Vine","Pick.Weight.Grams","X","Year","Plants","Row.Spacing","Av.Bunch.Weight.Grams","Clust.per.Vine","Spurs.per.Block","Berries.per.Cluster","Row","Av.Berry.Weight.Grams","Av.Berry.Weight.Grams.1","Av.Bunch.Weight.Grams.1","Lag.Estimate.t","Berry.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg","Bunch.Veraison.Estimate.Kg.1","X2007.Actual","Percentage","Notes","Veraison.Estimate","X2008.Actual","CommentsPlanted","CommentsFlowering","CommentsVerasion","CommentsBudburst","phenologyEvent","phenologyDate"
"1117","F2","B4",1987,"Chardonnay",1.42,2026,NA,NA,"2008",1532,"2.7 x 1.3","62",43,NA,"140",14,0.53,1.2,158.6,6.8,11067.168,10448,NA,NA,NA,NA,10.4,15.9,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-24
"1119","F2","B6",1997,"Chenin Blanc",4.04,2540,NA,NA,"2008",6500,"2.1 x 1.4","160.6",24,NA,"305",44,0.6,1,211.2,36.3,47580,32947.2,NA,NA,NA,NA,32.9,35.8,NA,"original flowering date was 28-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-08-01
"1120","F2","B7",1998,"Merlot",2.7,1750,NA,NA,"2008",4500,"2.1 x 1.4","103",23,NA,"290",95,0.4,1.2,153.8,17.3,36018,15918.3,NA,NA,NA,NA,15.9,9.9,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2008-07-31
"1121","F2","B8",1998,"Merlot",0.85,1540,NA,NA,"2008",1600,"2.1 x 1.4","89",20,NA,"256",100,0.4,1,155,5.4,8192,4960,NA,NA,NA,NA,5,4,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2008-07-31
"1123","F3","B1",2005,"Pinot Noir",1.79,1365,NA,NA,"2008",2895,"2.1 x 1.1","56",24,NA,"155",6,0.38,1.2,182,8.7,12923.28,12645.36,NA,NA,NA,NA,12.6,8.4,NA,"original flowering date was 23-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2008-07-28
"1124","F3","B2",1965,"Foch",1.09,5962,NA,NA,"2008",780,"3.1 x 2.1","75",183,NA,"134",6,0.58,1.2,133,10.2,22952.592,18984.42,NA,NA,NA,NA,19,8.4,NA,"original flowering date was 18-Jun","original verasion date is NA","original budburst date is 28-Apr","Lag.Phase.Date",2008-07-28
"1125","F3","B3",1996,"Pinot Noir",2.47,1756,NA,NA,"2008",5000,"2.0 x 1.0","84",19,NA,"172",22,0.5,1,161.8,19.3,16340,15371,NA,NA,NA,NA,15.4,13,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-29
"1126","F3","B4",1996,"Chardonnay",2.57,1942,NA,NA,"2008",5000,"2.0 x 1.0","73",27,NA,"141",20,0.53,1.4,181.4,21.4,26649,24489,NA,NA,NA,NA,24.5,22.6,NA,"original flowering date was 24-Jun","original verasion date is NA","original budburst date is 3-May","Lag.Phase.Date",2008-07-24
"1127","F3","B5",1990,"Pinot Noir",0.92,3044,NA,NA,"2008",1103,"2.4 x 1.3","101",32,NA,"168",6,0.68,1.2,196.4,7.4,7115.6736,6932.1344,NA,NA,NA,NA,6.9,4.4,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-28
"1128","F3","B6",1987,"Pinot Noir",0.55,3262,NA,NA,"2008",600,"2.4 x 1.3","96",35,NA,"167",8,0.6,1.2,198.6,4.3,4208.4,4170.6,NA,NA,NA,NA,4.2,2.3,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-28
"1129","F3","B7",1987,"Pinot Noir",0.96,2744,NA,NA,"2008",1160,"2.4 x 1.3","80",35,NA,"148",6,0.56,1,187.4,7,6008.8,7608.44,NA,NA,NA,NA,7.6,3.9,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-28
"1130","F3","B8",1975,"Pinot Noir",0.47,3732,NA,NA,"2008",631,"2.4 x 1.3","96",36,NA,"153",8,0.67,1.2,184,5.2,4170.6576,4179.744,NA,NA,NA,NA,4.2,2.2,"dates planted range  1975/90","original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-29
"1132","F4","B2",2005,"Pinot Noir",0.9,1780,NA,NA,"2008",1240,"2.1 x 1.1","68",33,NA,"150",9,0.34,1,186.6,4.9,6138,7635.672,NA,NA,NA,NA,7.6,4.9,NA,"original flowering date was 23-Jun","original verasion date is NA","original budburst date is 3-May","Lag.Phase.Date",2008-07-29
"1133","F4","B3",1990,"Pinot Noir",2.68,2338,NA,NA,"2008",3279,"2.4 x 1.3","79",33,NA,"152",20,0.51,1.6,221,16.9,26315.9424,23913.747,NA,NA,NA,NA,23.9,16,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-29
"1134","F4","B4",1965,"Foch",0.83,12454,NA,NA,"2008",1339,"3.0 x 2.1","67",83,NA,"139",5,0.48,1.2,112.6,36.7,18537.6516,12514.0262,NA,NA,NA,NA,12.5,10.9,"dates planted range  1965/98","original flowering date was 18-Jun","original verasion date is NA","original budburst date is 28-Apr","Lag.Phase.Date",2008-07-25
"1135","F4","B5",2003,"Cab Sauvignon",2.36,1614,NA,NA,"2008",3920,"2.1 x 1.2","57",29,NA,"133",24,0.48,1.2,182.6,13.9,18143.328,20757.968,NA,NA,NA,NA,20.8,7.6,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 9-May","Lag.Phase.Date",2008-07-31
"1136","F4","B6",1997,"Cab Sauvignon",1.17,1546,NA,NA,"2008",1900,"2.0 x 1.4","87.3",22,NA,"176.5",11,0.5,1.2,152,6.5,8853.24,6353.6,NA,NA,NA,NA,6.4,4.5,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 9-May","Lag.Phase.Date",2008-07-31
"1137","F4","B7",2005,"Pinot Noir",0.53,2018,NA,NA,"2008",965,"2.1 x 1.1","80",23,NA,"162",6,0.5,1.2,211.4,4.3,4314.708,4692.023,NA,NA,NA,NA,4.7,2.3,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2008-07-29
"1138","F4","B8",2005,"Pinot Noir",1.25,2062,NA,NA,"2008",1990,"2.1 x 1.1","79",28,NA,"182",24,0.4,1,174.8,9,10141.04,9739.856,NA,NA,NA,NA,9.7,5.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2008-07-29
"1139","F4","B9",2005,"Pinot Noir",1.63,2010,NA,NA,"2008",2600,"2.1 x 1.1","75",29,NA,"206",39,0.37,1.2,193.2,11.5,18638.88,14567.28,NA,NA,NA,NA,14.6,6.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2008-07-29
"1140","F4","B10",1990,"Pinot Noir",1.72,2874,NA,NA,"2008",2093,"2.4 x 1.3","83",31,NA,"160",12,0.52,1.2,202,13.2,12457.536,13106.366,NA,NA,NA,NA,13.1,10.7,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-30
"1141","F4","B11",2003,"Pinot Noir",1.57,2254,NA,NA,"2008",2600,"2.1 x 1.1","84",24,NA,"169",6,0.54,0.8,175.2,12.9,8436.48,10932.48,NA,NA,NA,NA,10.9,8.8,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 5-May","Lag.Phase.Date",2008-07-30
"1142","F5","B1",1997,"Chardonnay",1.8,1342,NA,NA,"2008",3000,"2.0 x 1.4","61",26,NA,"120",5,0.58,1.2,164,8.9,11232,12792,NA,NA,NA,NA,12.8,13.3,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2008-07-25
"1143","F5","B2",1997,"Chardonnay",1.92,2070,NA,NA,"2008",3000,"2.0 x 1.4","91",26,NA,"114",16,0.76,1.4,184.4,13.7,12448.8,14383.2,NA,NA,NA,NA,14.4,13.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2008-07-25
"1144","F5","B3",1997,"Chardonnay",1.43,1224,NA,NA,"2008",3000,"2.0 x 1.4","70",20,NA,"139",27,0.5,1.2,146.2,8.1,10008,8772,NA,NA,NA,NA,8.8,13.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2008-07-25
"1145","F5","B4",1997,"Chardonnay",1.03,1576,NA,NA,"2008",1000,"2.0 x 1.4","76",29,NA,"133",34,0.54,1.2,191.2,3.5,4628.4,5544.8,NA,NA,NA,NA,5.5,4.9,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2008-07-25
"1146","F5","B5",1997,"Pinot Noir",1.01,1714,NA,NA,"2008",2450,"2.0 x 1.1","72",23,NA,"116",39,0.61,1.2,204.2,9.2,7843.92,11506.67,NA,NA,NA,NA,11.5,6.1,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-31
"1147","F5","B6",1997,"Pinot Noir",1.5,1800,NA,NA,"2008",3200,"2.0 x 1.1","73.3",25,NA,"118",46,0.62,1.2,172,12.7,11328,13760,NA,NA,NA,NA,13.8,7.8,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-07-31
"1148","F5","B7",1997,"Cab Sauvignon",0.95,2203,NA,NA,"2008",1716,"2.0 x 1.4","94",24,NA,"119.3",NA,0.8,1.2,136,8.3,5895.90144,5601.024,NA,NA,NA,NA,5.6,3.8,NA,"original flowering date was 25-Jun","original verasion date is NA","original budburst date is 9-May","Lag.Phase.Date",2008-07-31
"1149","F5","B8",1994,"Gewurztraminer",0.52,2035,NA,NA,"2008",632,"2.4 x 1.3","93.6",32,NA,"159",NA,0.8,1.2,158.6,2.8,3858.7392,3207.5264,NA,NA,NA,NA,3.2,10.7,NA,"original flowering date was 28-Jun","original verasion date is NA","original budburst date is 6-May","Lag.Phase.Date",2008-08-01
"1151","F6","B1",2003,"Merlot",2.2,1250,NA,NA,"2008",4100,"2.1 x 1.1","79",23,NA,"142",35,0.6,1,158.8,11.3,13390.6,14974.84,NA,NA,NA,NA,15,15.7,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2008-08-01
"1152","F6","B2",2003,"Merlot",2.2,2380,NA,NA,"2008",4163,"2.1 x 1.1","66",17,NA,"114",88,0.54,1,142.4,21.8,8067.894,10077.7904,NA,NA,NA,NA,10,NA,NA,"original flowering date was 26-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2008-07-31
"1161","F1","B1",1994,"Merlot",0.91,1380,NA,NA,"2009",996,"2.4 x 1.2","138 g",10,NA,"294",NA,0.64,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1994/97","original flowering date was 18-Jun","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-29
"1163","F1","B2",1996,"Chardonnay",1.82,1056,NA,NA,"2009",2213,"2.0 x 1.0","66 g",16,NA,"131",NA,0.5,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 14-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-21
"1164","F1","B3",1982,"Optima",4.43,1598,NA,NA,"2009",4833,"2.7 x 1.3","94 g",17,NA,"156",NA,0.67,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 21-Jun","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-31
"1165","F1","B4",1982,"Riesling",5.07,2537,NA,NA,"2009",5536,"2.7 x 1.3","110.3 g",23,NA,"177",NA,0.69,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 21-Jun","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-31
"1166","F1","B5",1997,"Pinot Blanc",3.38,944,NA,NA,"2009",5341,"2.1 x 1.4","72.6 g",13,NA,"240",NA,0.6,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1997/98","original flowering date was 18-Jun","original verasion date is NA","original budburst date is 8-May","Lag.Phase.Date",2009-07-23
"1167","F1","B6",1997,"Sauvig. Blanc",1.49,664,NA,NA,"2009",2213,"2.1 x 1.4","55.3 g",12,NA,"153",NA,0.47,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 18-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-23
"1168","F1","B7",1975,"Chasselas",4.32,9975,NA,NA,"2009",2114,"3.0 x 2.1","133 g",75,NA,"226",NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/83","original flowering date was 22-Jun","original verasion date is NA","original budburst date is 13-May","Lag.Phase.Date",2009-07-28
"1169","F2","B1",1987,"Riesling",2.69,2580,NA,NA,"2009",3078,"2.7 x 1.3","129 g",20,NA,"174",NA,0.6,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 20-Jun","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-24
"1170","F2","B2",1998,"Merlot",2.79,1456,NA,NA,"2009",4500,"2.1 x 1.4","91 g",16,NA,"163",NA,0.58,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 19-Jun","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-24
"1171","F2","B3",1975,"Chasselas",1.92,6020,NA,NA,"2009",1590,"3.0 x 2.1","172 g",35,NA,"159",NA,1.1,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/83","original flowering date was 22-Jun","original verasion date is NA","original budburst date is 13-May","Lag.Phase.Date",2009-07-28
"1172","","",NA,"T-bar",NA,12707,NA,NA,"2009",NA,"","131 g",97,NA,"147",NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was ","original verasion date is NA","original budburst date is ","Lag.Phase.Date",2009-07-28
"1173","F2","B4",1987,"Chardonnay",1.42,2646,NA,NA,"2009",1532,"2.7 x 1.3","98 g",27,NA,"157",NA,0.6,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 10-May","Lag.Phase.Date",2009-07-21
"1174","F2","B5",1993,"Chardonnay",0.72,2646,NA,NA,"2009",800,"2.4 x 1.2","98 g",27,NA,"157",NA,0.6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 10-May","Lag.Phase.Date",2009-07-21
"1175","F2","B6",1997,"Chenin Blanc",4.04,1627,NA,NA,"2009",6500,"2.1 x 1.4","108.5 g",15,NA,"262",NA,0.52,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 19-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-24
"1176","F2","B7",1998,"Merlot",2.7,1365,NA,NA,"2009",4500,"2.1 x 1.4","91 g",15,NA,"188",NA,0.51,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 19-Jun","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-24
"1177","F2","B8",1998,"Merlot",0.85,1162,NA,NA,"2009",1600,"2.1 x 1.4","83 g",14,NA,"180",NA,0.53,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was ","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-24
"1178","F2","B9",1998,"Gamay Noir",0.78,1752,NA,NA,"2009",1257,"2.1 x 1.4","109.5 g",16,NA,"209",NA,0.54,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was ","original verasion date is NA","original budburst date is 10-May","Lag.Phase.Date",2009-07-24
"1179","F3","B1",2005,"Pinot Noir",1.79,823,NA,NA,"2009",2895,"2.1 x 1.1","68.6 g",12,NA,"167",NA,0.51,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 15-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-22
"1180","F3","B2",1965,"Foch",1.09,5751,NA,NA,"2009",780,"3.1 x 2.1","71 g",81,NA,"164",NA,0.52,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 12-Jun","original verasion date is NA","original budburst date is 1-May","Lag.Phase.Date",2009-07-21
"1181","F3","B3",1996,"Pinot Noir",2.47,1299,NA,NA,"2009",5000,"2.0 x 1.0","86.6 g",15,NA,"178",NA,0.6,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 18-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-22
"1182","F3","B4",1996,"Chardonnay",2.57,1548,NA,NA,"2009",5000,"2.0 x 1.0","86 g",18,NA,"156",NA,0.52,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 14-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-21
"1183","F3","B5",1990,"Pinot Noir",0.92,2384,NA,NA,"2009",1103,"2.4 x 1.3","119.2 g",20,NA,"145",NA,0.63,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-22
"1184","F3","B6",1987,"Pinot Noir",0.55,2449,NA,NA,"2009",600,"2.4 x 1.3","106.5 g",23,NA,"162",NA,0.61,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-22
"1185","F3","B7",1987,"Pinot Noir",0.96,2419,NA,NA,"2009",1160,"2.4 x 1.3","115.2 g",21,NA,"181",NA,0.64,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 8-May","Lag.Phase.Date",2009-07-22
"1186","F3","B8",1975,"Pinot Noir",0.47,2283,NA,NA,"2009",631,"2.4 x 1.3","108.7 g",21,NA,"177",NA,0.62,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1975/90","original flowering date was 17-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-22
"1187","F4","B1",1982,"Grafted Chard",2.35,2067,NA,NA,"2009",2614,"2.4 x 1.3","159 g",13,NA,"210",NA,0.75,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-Jun","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-31
"1188","F4","B2",2005,"Pinot Noir",0.9,1670,NA,NA,"2009",1240,"2.1 x 1.1","104.4 g",16,NA,"141",NA,0.68,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 15-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-22
"1189","F4","B3",1990,"Pinot Noir",2.68,2489,NA,NA,"2009",3279,"2.4 x 1.3","131 g",19,NA,"159",NA,0.7,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 5-May","Lag.Phase.Date",2009-07-22
"1190","F4","B4",1965,"Foch",0.83,4416,NA,NA,"2009",1339,"3.0 x 2.1","69 g",64,NA,"148",NA,0.64,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1965/98","original flowering date was 12-Jun","original verasion date is NA","original budburst date is 1-May","Lag.Phase.Date",2009-07-20
"1191","F4","B5",2003,"Cab Sauvignon",2.36,1548,NA,NA,"2009",3920,"2.1 x 1.2","86 g",18,NA,"206",NA,0.56,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-24
"1192","F4","B6",1997,"Cab Sauvignon",1.17,1729,NA,NA,"2009",1900,"2.0 x 1.4","91 g",19,NA,"194",NA,0.6,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-24
"1193","F4","B7",2005,"Pinot Noir",0.53,1350,NA,NA,"2009",965,"2.1 x 1.1","84.4 g",16,NA,"170",NA,0.57,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-22
"1194","F4","B8",2005,"Pinot Noir",1.25,1504,NA,NA,"2009",1990,"2.1 x 1.1","94 g",16,NA,"193",NA,0.72,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-22
"1195","F4","B9",2005,"Pinot Noir",1.63,1733,NA,NA,"2009",2600,"2.1 x 1.1","115.5 g",15,NA,"185",NA,0.6,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-22
"1196","F4","B10",1990,"Pinot Noir",1.72,3393,NA,NA,"2009",2093,"2.4 x 1.3","147.5 g",23,NA,"176",NA,0.68,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 5-May","Lag.Phase.Date",2009-07-22
"1197","F4","B11",2003,"Pinot Noir",1.57,1525,NA,NA,"2009",2600,"2.1 x 1.1","95.3 g",16,NA,"161",NA,0.6,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 17-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-22
"1198","F5","B1",1997,"Chardonnay",1.8,1632,NA,NA,"2009",3000,"2.0 x 1.4","96 g",17,NA,"139",NA,0.6,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-21
"1199","F5","B2",1997,"Chardonnay",1.92,1456,NA,NA,"2009",3000,"2.0 x 1.4","104 g",14,NA,"148",NA,0.6,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-21
"1200","F5","B3",1997,"Chardonnay",1.43,1472,NA,NA,"2009",3000,"2.0 x 1.4","92 g",16,NA,"152",NA,0.6,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-21
"1201","F5","B4",1997,"Chardonnay",1.03,1632,NA,NA,"2009",1000,"2.0 x 1.4","102 g",16,NA,"150",NA,0.6,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 16-Jun","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-21
"1202","F5","B5",1997,"Pinot Noir",1.01,1428,NA,NA,"2009",2450,"2.0 x 1.1","84 g",17,NA,"132",NA,0.58,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 18-Jun","original verasion date is NA","original budburst date is 8-May","Lag.Phase.Date",2009-07-22
"1203","F5","B6",1997,"Pinot Noir",1.5,1530,NA,NA,"2009",3200,"2.0 x 1.1","85 g",18,NA,"160",NA,0.54,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 18-Jun","original verasion date is NA","original budburst date is 8-May","Lag.Phase.Date",2009-07-22
"1204","F5","B7",1997,"Cab Sauvignon",0.95,1719,NA,NA,"2009",1716,"2.0 x 1.4","95.5 g",18,NA,"250",NA,0.48,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 19-Jun","original verasion date is NA","original budburst date is 7-May","Lag.Phase.Date",2009-07-24
"1205","F5","B8",1994,"Gewurztraminer",0.52,2331,NA,NA,"2009",632,"2.4 x 1.3","111 g",21,NA,"170",NA,0.68,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was ","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-24
"1206","F5","B9",1989,"Gewurztraminer",1.37,2331,NA,NA,"2009",1526,"2.4 x 1.3","111 g",21,NA,"170",NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was ","original verasion date is NA","original budburst date is 4-May","Lag.Phase.Date",2009-07-24
"1207","F6","B1",2003,"Merlot",2.2,920,NA,NA,"2009",4100,"2.1 x 1.1","92 g",10,NA,"222",NA,0.55,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 18-Jun","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-23
"1208","F6","B2",2003,"Merlot",2.2,990,NA,NA,"2009",4163,"2.1 x 1.1","90 g",11,NA,"264",NA,0.56,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 18-Jun","original verasion date is NA","original budburst date is 11-May","Lag.Phase.Date",2009-07-23
"1217","F1","B1",1994,"Merlot",0.91,2990,NA,NA,"2010",996,"2.4 x 1.2","151",19.8,NA,"262",NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1994/97","original flowering date was 25-Jun","original verasion date is NA","original budburst date is 28-Apr","Lag.Phase.Date",2010-08-04
"1219","F1","B2",1996,"Chardonnay",1.82,646,NA,NA,"2010",2213,"2.0 x 1.0","38",17.3,NA,"103",NA,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 23-Jun","original verasion date is NA","original budburst date is 21-Apr","Lag.Phase.Date",2010-07-22
"1220","F1","B3",1982,"Optima",4.43,2238,NA,NA,"2010",4833,"2.7 x 1.3","77.7",28.8,NA,"158",NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 27-Jun","original verasion date is NA","original budburst date is 25-Apr","Lag.Phase.Date",2010-08-04
"1221","F1","B4",1982,"Riesling",5.07,2654,NA,NA,"2010",5536,"2.7 x 1.3","99.4",26.7,NA,"174",NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"original flowering date was 28-Jun","original verasion date is NA","original budburst date is 28-Apr","Lag.Phase.Date",2010-08-04
"1222","F1","B5",1997,"Pinot Blanc",3.38,2391,NA,NA,"2010",5341,"2.1 x 1.4","83.9",28.5,NA,"212",NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dates planted range  1997/98","original flowering date was 23-Jun","original verasion date is NA","original budburst date is 24-Apr","Lag.Phase.Date",2010-07-30
