Business Unit,Vineyard,Block,Variety,Pheno Stage,Date
Oliver North,SF12,Ma 12 PBMa,Pinot Blanc,16. 10 Leaves separated,11-06-02
Oliver North,SF12,L 12CAL,Cabernet Sauvignon,16. 10 Leaves separated,11-06-02
Oliver North,SF12,K 12SZK,Shiraz,16. 10 Leaves separated,11-06-02
Oliver North,SF12,J 12SBJ (Retired Mar. 16  2016),Sauvignon Blanc,16. 10 Leaves separated,11-06-02
Oliver North,SF12,I 12MEI (Retired Nov. 30  2014),Merlot,16. 10 Leaves separated,11-06-02
Oliver North,SF12,Ha 12PNHa,Pinot Noir,16. 10 Leaves separated,11-06-02
Oliver North,SF12,G 12SMG (Retired Mar. 16  2016),Semillon,16. 10 Leaves separated,11-06-02
Oliver North,SF12,F 12RSF,Riesling,16. 10 Leaves separated,11-06-02
Oliver North,SF12,E 12SZE (Retired Apr 2  2013),Shiraz,16. 10 Leaves separated,11-06-02
Oliver North,SF12,D 12CAD,Cabernet Sauvignon,16. 10 Leaves separated,11-06-02
Oliver North,SF12,C 12PNC,Pinot Noir,16. 10 Leaves separated,11-06-02
Oliver North,SF12,B 12PNB,Pinot Noir,16. 10 Leaves separated,11-06-02
Oliver North,SF12,Aa 12PNAa,Pinot Noir,16. 10 Leaves separated,11-06-02
Oliver North,SF10,Y 10SZY,Shiraz,16. 10 Leaves separated,11-06-02
Oliver North,SF10,X 10PBX,Pinot Blanc,16. 10 Leaves separated,11-06-02
Oliver North,SF10,W 10PBW,Pinot Blanc,16. 10 Leaves separated,11-06-02
Oliver North,SF10,V 10PGV,Pinot Gris,16. 10 Leaves separated,11-06-02
Oliver North,SF10,U 10RSU,Riesling,16. 10 Leaves separated,11-06-02
Oliver North,SF10,T 10RST,Riesling,16. 10 Leaves separated,11-06-02
Oliver North,SF10,R 10PGR (Retired Mar. 16  2016),Pinot Gris,16. 10 Leaves separated,11-06-02
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,16. 10 Leaves separated,11-06-02
Oliver North,SF10,O 10SBO,Sauvignon Blanc,16. 10 Leaves separated,11-06-02
Oliver North,SF10,N 10CAN (Retired Mar.16  2016),Cabernet Sauvignon,16. 10 Leaves separated,11-06-02
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,16. 10 Leaves separated,11-06-02
Oliver North,SF10,L 10SZL (Retired Apr 2  2013),Syrah,16. 10 Leaves separated,11-06-02
Oliver North,SF10,J 10MEJ,Merlot,16. 10 Leaves separated,11-06-02
Oliver North,SF10,I 10PNI,Pinot Noir,16. 10 Leaves separated,11-06-02
Oliver North,SF10,H 10PNH,Pinot Noir,16. 10 Leaves separated,11-06-02
Oliver North,SF10,G 10PNG,Pinot Noir,16. 10 Leaves separated,11-06-02
Oliver North,SF10,F 10RSF,Riesling,16. 10 Leaves separated,11-06-02
Oliver North,SF10,B 10SBB (Retired Apr. 1St  2015) ,Sauvignon Blanc,16. 10 Leaves separated,11-06-02
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,21. 30% Cap Fall,11-06-28
Oliver North,SF12,I 12MEI (Retired Nov. 30  2014),Merlot,23. Full Bloom  50% Cap Fall,11-06-28
Oliver North,SF12,B 12PNB,Pinot Noir,23. Full Bloom  50% Cap Fall,11-06-28
Oliver North,SF12,Aa 12PNAa,Pinot Noir,23. Full Bloom  50% Cap Fall,11-06-28
Oliver North,SF12,C 12PNC,Pinot Noir,23. Full Bloom  50% Cap Fall,11-06-28
Oliver North,SF12,D 12CAD,Cabernet Sauvignon,23. Full Bloom  50% Cap Fall,11-06-28
Oliver North,SF16,Ga 16CFGa,Cabernet Franc,29. Berries 4mm,11-07-05
Oliver North,SF12,Hb 12PNHb,Pinot Noir,26. Cap Fall Complete,11-07-05
Oliver North,SF16,Ga 16CFGa,Cabernet Franc,29. Berries 4mm,11-07-05
Oliver North,SF10,J 10MEJ,Merlot,27. Setting,11-07-05
Oliver North,SF10,Y 10SZY,Shiraz,27. Setting,11-07-05
Oliver North,SF10,AA 10VIAA,Viognier,29. Berries 4mm,11-07-05
Oliver North,SF10,AB 10VIAB,Viognier,29. Berries 4mm,11-07-05
Oliver North,SF10,E 10CAE,Cabernet Sauvignon,27. Setting,11-07-05
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,29. Berries 4mm,11-07-05
Oliver North,SF10,H 10PNH,Pinot Noir,27. Setting,11-07-05
Oliver North,SF16,H 16MEH,Merlot,29. Berries 4mm,11-07-05
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,27. Setting,11-07-05
Oliver North,SF10,F 10RSF,Riesling,27. Setting,11-07-05
Oliver North,SF16,A 16MUA,Muscat Ottonel,27. Setting,11-07-05
Oliver North,SF12,Oa 12PNOa,Pinot Noir,26. Cap Fall Complete,11-07-05
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,29. Berries 4mm,11-07-05
Oliver North,SF10,AB 10VIAB,Viognier,29. Berries 4mm,11-07-06
Oliver North,SF10,B 10SBB (Retired Apr. 1St  2015) ,Sauvignon Blanc,29. Berries 4mm,11-07-06
Oliver North,SF10,R 10PGR (Retired Mar. 16  2016),Pinot Gris,29. Berries 4mm,11-07-06
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,29. Berries 4mm,11-07-06
Oliver North,SF10,C 10PGC,Pinot Gris,29. Berries 4mm,11-07-06
Oliver North,SF10,O 10SBO,Sauvignon Blanc,29. Berries 4mm,11-07-06
Oliver North,SF10,D 10PGD,Pinot Gris,29. Berries 4mm,11-07-06
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,29. Berries 4mm,11-07-06
Oliver North,SF16,A 16MUA,Muscat Ottonel,29. Berries 4mm,11-07-06
Oliver North,SF16,B 16SBB,Sauvignon Blanc,29. Berries 4mm,11-07-06
Oliver North,SF16,CD 16SBCD,Sauvignon Blanc,29. Berries 4mm,11-07-06
Oliver North,SF10,G 10PNG,Pinot Noir,29. Berries 4mm,11-07-06
Oliver North,SF16,Da 16RSDa,Riesling,29. Berries 4mm,11-07-06
Oliver North,SF10,F 10RSF,Riesling,29. Berries 4mm,11-07-06
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,29. Berries 4mm,11-07-06
Oliver North,SF16,L 16SZL,Shiraz,29. Berries 4mm,11-07-06
Oliver North,SF10,AA 10VIAA,Viognier,29. Berries 4mm,11-07-06
Oliver North,SF10,E 10CAE,Cabernet Sauvignon,29. Berries 4mm,11-07-06
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,29. Berries 4mm,11-07-06
Oliver North,SF10,J 10MEJ,Merlot,29. Berries 4mm,11-07-06
Oliver North,SF10,U 10RSU,Riesling,29. Berries 4mm,11-07-06
Oliver North,SF10,V 10PGV,Pinot Gris,29. Berries 4mm,11-07-06
Oliver North,SF10,W 10PBW,Pinot Blanc,29. Berries 4mm,11-07-06
Oliver North,SF10,S 10PBS,Pinot Blanc,29. Berries 4mm,11-07-06
Oliver North,SF10,X 10PBX,Pinot Blanc,29. Berries 4mm,11-07-06
Oliver North,SF16,E 16SME,Semillon,29. Berries 4mm,11-07-07
Oliver North,SF16,F 16SMF,Semillon,29. Berries 4mm,11-07-07
Oliver North,SF10,N 10CAN (Retired Mar.16  2016),Cabernet Sauvignon,29. Berries 4mm,11-07-07
Oliver North,SF10,M 10SZM (Retired Aug 21  2013),Syrah,29. Berries 4mm,11-07-07
Oliver North,MH11,L 11CFL (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-16
Oliver North,MH01,B 01CFB (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-16
Oliver North,MH01,A 01CFA (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-16
Oliver North,MH01,I 01CFI (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-16
Oliver North,MH11,E 11CHE (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-16
Oliver North,MH01,F 01CFF (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-16
Oliver North,MH11,M 11CFM (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-16
Oliver North,MH01,C 01CFC (Retired Nov. 30  2014),Cabernet Franc,3. Woolly Bud,12-04-16
