Business Unit,Vineyard,Block,Variety,Pheno Stage,Date
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,3. Woolly Bud,12-04-27
Oliver North,SF10,L 10SZL (Retired Apr 2  2013),Syrah,3. Woolly Bud,12-04-27
Oliver North,SF16,L 16SZL,Shiraz,3. Woolly Bud,12-04-27
Oliver North,MH11,N 11CFN (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-30
Oliver North,SF10,D 10PGD,Pinot Gris,3. Woolly Bud,12-04-30
Oliver North,SF10,D 10PGD,Pinot Gris,3. Woolly Bud,12-04-30
Oliver North,SF10,I 10PNI,Pinot Noir,3. Woolly Bud,12-04-30
Oliver North,MH11,M 11CFM (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-30
Oliver North,MH11,L 11CFL (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-30
Oliver North,MH04,C 04CFC (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-04-30
Oliver North,SF10,H 10PNH,Pinot Noir,3. Woolly Bud,12-04-30
Oliver North,SF10,C 10PGC,Pinot Gris,3. Woolly Bud,12-04-30
Oliver North,SF10,C 10PGC,Pinot Gris,3. Woolly Bud,12-04-30
Oliver North,SF10,I 10PNI,Pinot Noir,3. Woolly Bud,12-04-30
Oliver North,SF10,B 10SBB (Retired Apr. 1St  2015) ,Sauvignon Blanc,4. Budburst,12-05-01
Oliver North,SF10,X 10PBX,Pinot Blanc,4. Budburst,12-05-01
Oliver North,SF12,B 12PNB,Pinot Noir,3. Woolly Bud,12-05-01
Oliver North,SF12,C 12PNC,Pinot Noir,3. Woolly Bud,12-05-01
Oliver North,SF10,V 10PGV,Pinot Gris,4. Budburst,12-05-01
Oliver North,SF12,J 12SBJ (Retired Mar. 16  2016),Sauvignon Blanc,4. Budburst,12-05-01
Oliver North,SF12,E 12SZE (Retired Apr 2  2013),Shiraz,4. Budburst,12-05-01
Oliver North,SF10,N 10CAN (Retired Mar.16  2016),Cabernet Sauvignon,3. Woolly Bud,12-05-01
Oliver North,SF10,R 10PGR (Retired Mar. 16  2016),Pinot Gris,3. Woolly Bud,12-05-01
Oliver North,SF10,Y 10SZY,Shiraz,4. Budburst,12-05-01
Oliver North,SF12,A 12PNA,Pinot Noir,3. Woolly Bud,12-05-01
Oliver North,SF12,J 12SBJ (Retired Mar. 16  2016),Sauvignon Blanc,3. Woolly Bud,12-05-02
Oliver North,SF16,B 16SBB,Sauvignon Blanc,3. Woolly Bud,12-05-02
Oliver North,SF12,M 12PBM,Pinot Blanc,4. Budburst,12-05-02
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,1. Winter Bud,12-05-02
Oliver North,SF12,N 12SMN,Semillon,4. Budburst,12-05-02
Oliver North,SF10,E 10CAE,Cabernet Sauvignon,1. Winter Bud,12-05-02
Oliver North,SF12,I 12MEI (Retired Nov. 30  2014),Merlot,3. Woolly Bud,12-05-02
Oliver North,SF12,F 12RSF,Riesling,4. Budburst,12-05-02
Oliver North,SF16,G 16CFG (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-05-02
Oliver North,SF10,F 10RSF,Riesling,3. Woolly Bud,12-05-02
Oliver North,SF10,S 10PBS,Pinot Blanc,4. Budburst,12-05-02
Oliver North,SF10,J 10MEJ,Merlot,1. Winter Bud,12-05-02
Oliver North,SF12,G 12SMG (Retired Mar. 16  2016),Semillon,4. Budburst,12-05-02
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,1. Winter Bud,12-05-02
Oliver North,SF16,G 16CFG (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-05-02
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,1. Winter Bud,12-05-02
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,1. Winter Bud,12-05-02
Oliver North,SF16,A 16MUA,Muscat Ottonel,3. Woolly Bud,12-05-02
Oliver North,SF16,H 16MEH,Merlot,3. Woolly Bud,12-05-03
Oliver North,SF16,I 16SMI,Semillon,3. Woolly Bud,12-05-03
Oliver North,SF16,E 16SME,Semillon,3. Woolly Bud,12-05-03
Oliver North,SF16,F 16SMF,Semillon,3. Woolly Bud,12-05-03
Oliver North,SF10,L 10SZL (Retired Apr 2  2013),Syrah,3. Woolly Bud,12-05-04
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,3. Woolly Bud,12-05-04
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,1. Winter Bud,12-05-04
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,3. Woolly Bud,12-05-04
Oliver North,SF16,L 16SZL,Shiraz,4. Budburst,12-05-04
Oliver North,SF10,M 10SZM (Retired Aug 21  2013),Syrah,3. Woolly Bud,12-05-04
Oliver North,SF10,N 10CAN (Retired Mar.16  2016),Cabernet Sauvignon,14. 7 Leaves separated,12-05-06
Oliver North,SF10,N 10CAN (Retired Mar.16  2016),Cabernet Sauvignon,14. 7 Leaves separated,12-05-06
Oliver North,SF10,AB 10VIAB,Viognier,5. Rosette Visible,12-05-07
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,3. Woolly Bud,12-05-07
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,3. Woolly Bud,12-05-07
Oliver North,SF10,U 10RSU,Riesling,5. Rosette Visible,12-05-07
Oliver North,SF10,H 10PNH,Pinot Noir,5. Rosette Visible,12-05-07
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,1. Winter Bud,12-05-07
Oliver North,SF10,E 10CAE,Cabernet Sauvignon,4. Budburst,12-05-07
Oliver North,SF10,V 10PGV,Pinot Gris,7. First Petiole separated题迨,12-05-07
Oliver North,SF10,T 10RST,Riesling,5. Rosette Visible,12-05-07
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,3. Woolly Bud,12-05-07
Oliver North,SF16,D 16RSD (Retired Apr. 1St  2015),Riesling,3. Woolly Bud,12-05-07
Oliver North,SF16,G 16CFG (Retired Apr. 1St  2015),Cabernet Franc,3. Woolly Bud,12-05-07
Oliver North,SF16,D 16RSD (Retired Apr. 1St  2015),Riesling,3. Woolly Bud,12-05-07
Oliver North,SF16,D 16RSD (Retired Apr. 1St  2015),Riesling,3. Woolly Bud,12-05-07
Oliver North,SF16,D 16RSD (Retired Apr. 1St  2015),Riesling,3. Woolly Bud,12-05-07
Oliver North,SF12,J 12SBJ (Retired Mar. 16  2016),Sauvignon Blanc,5. Rosette Visible,12-05-07
Oliver North,SF16,H 16MEH,Merlot,1. Winter Bud,12-05-07
Oliver North,SF12,F 12RSF,Riesling,5. Rosette Visible,12-05-07
Oliver North,SF12,G 12SMG (Retired Mar. 16  2016),Semillon,5. Rosette Visible,12-05-07
Oliver North,SF10,I 10PNI,Pinot Noir,5. Rosette Visible,12-05-07
Oliver North,SF12,H 12PNH (Retired Mar. 16  2016),Pinot Noir,4. Budburst,12-05-07
Oliver North,SF10,S 10PBS,Pinot Blanc,5. Rosette Visible,12-05-07
Oliver North,SF10,C 10PGC,Pinot Gris,4. Budburst,12-05-07
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,3. Woolly Bud,12-05-07
Oliver North,SF10,D 10PGD,Pinot Gris,4. Budburst,12-05-07
Oliver North,SF16,B 16SBB,Sauvignon Blanc,4. Budburst,12-05-07
Oliver North,SF10,G 10PNG,Pinot Noir,5. Rosette Visible,12-05-07
Oliver North,SF16,A 16MUA,Muscat Ottonel,3. Woolly Bud,12-05-07
Oliver North,SF10,F 10RSF,Riesling,7. First Petiole separated题迨,12-05-07
Oliver North,SF10,N 10CAN (Retired Mar.16  2016),Cabernet Sauvignon,3. Woolly Bud,12-05-07
Oliver North,SF10,AA 10VIAA,Viognier,5. Rosette Visible,12-05-07
Oliver North,SF16,I 16SMI,Semillon,3. Woolly Bud,12-05-07
Oliver North,SF16,D 16RSD (Retired Apr. 1St  2015),Riesling,3. Woolly Bud,12-05-07
Oliver North,SF16,F 16SMF,Semillon,3. Woolly Bud,12-05-08
Oliver North,SF12,I 12MEI (Retired Nov. 30  2014),Merlot,1. Winter Bud,12-05-08
Oliver North,SF16,E 16SME,Semillon,3. Woolly Bud,12-05-08
Oliver North,SF12,A 12PNA,Pinot Noir,3. Woolly Bud,12-05-08
Oliver North,SF10,B 10SBB (Retired Apr. 1St  2015) ,Sauvignon Blanc,3. Woolly Bud,12-05-08
Oliver North,SF10,J 10MEJ,Merlot,3. Woolly Bud,12-05-08
Oliver North,SF10,M 10SZM (Retired Aug 21  2013),Syrah,3. Woolly Bud,12-05-08
Oliver North,SF12,P 12MEP (Retired Aug 21  2013),Merlot,3. Woolly Bud,12-05-08
Oliver North,SF12,C 12PNC,Pinot Noir,3. Woolly Bud,12-05-08
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,1. Winter Bud,12-05-08
Oliver North,SF12,D 12CAD,Cabernet Sauvignon,1. Winter Bud,12-05-08
Oliver North,SF10,L 10SZL (Retired Apr 2  2013),Syrah,3. Woolly Bud,12-05-08
Oliver North,SF12,E 12SZE (Retired Apr 2  2013),Shiraz,1. Winter Bud,12-05-08
Oliver North,SF12,B 12PNB,Pinot Noir,3. Woolly Bud,12-05-08
Oliver North,SF10,P 10CHP,Chardonnay,4. Budburst,12-05-09
Oliver North,SF10,I 10PNI,Pinot Noir,4. Budburst,12-05-09
Oliver North,MH04,B 04PNB (Retired Jan 2 2014),Pinot Noir,4. Budburst,12-05-09
Oliver North,MH11,F 11PNF (Retired Apr. 1St  2015),Pinot Noir,2. Budswell,12-05-09
Oliver North,SF10,O 10SBO,Sauvignon Blanc,4. Budburst,12-05-09
Oliver North,MH11,G 11PNG (Retired Apr. 1St  2015),Pinot Noir,4. Budburst,12-05-09
Oliver North,MH11,H 11PNH (Retired Apr. 1St  2015),Pinot Noir,4. Budburst,12-05-09
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,4. Budburst,12-05-09
Oliver North,SF10,R 10PGR (Retired Mar. 16  2016),Pinot Gris,4. Budburst,12-05-09
Oliver North,MH11,I 11PNI (Retired Apr. 1St  2015),Pinot Noir,4. Budburst,12-05-09
Oliver North,SF12,O 12PNO,Pinot Noir,4. Budburst,12-05-09
Oliver North,SF12,N 12SMN,Semillon,4. Budburst,12-05-09
Oliver North,SF12,M 12PBM,Pinot Blanc,4. Budburst,12-05-09
Oliver North,SF10,F 10RSF,Riesling,3. Woolly Bud,12-05-10
Oliver North,SF10,AB 10VIAB,Viognier,3. Woolly Bud,12-05-10
Oliver North,SF10,F 10RSF,Riesling,3. Woolly Bud,12-05-10
Oliver North,SF10,X 10PBX,Pinot Blanc,4. Budburst,12-05-10
Oliver North,SF10,W 10PBW,Pinot Blanc,4. Budburst,12-05-10
Oliver North,SF10,G 10PNG,Pinot Noir,3. Woolly Bud,12-05-10
Oliver North,SF16,B 16SBB,Sauvignon Blanc,3. Woolly Bud,12-05-10
Oliver North,SF10,AA 10VIAA,Viognier,4. Budburst,12-05-10
Oliver North,SF10,V 10PGV,Pinot Gris,3. Woolly Bud,12-05-10
Oliver North,SF12,J 12SBJ (Retired Mar. 16  2016),Sauvignon Blanc,9. 2-3 Leaves separated,12-05-10
Oliver North,SF12,H 12PNH (Retired Mar. 16  2016),Pinot Noir,9. 2-3 Leaves separated,12-05-10
Oliver North,SF10,H 10PNH,Pinot Noir,4. Budburst,12-05-10
Oliver North,SF10,E 10CAE,Cabernet Sauvignon,3. Woolly Bud,12-05-10
Oliver North,SF10,C 10PGC,Pinot Gris,3. Woolly Bud,12-05-10
Oliver North,SF10,D 10PGD,Pinot Gris,3. Woolly Bud,12-05-10
Oliver North,SF10,Y 10SZY,Shiraz,11. 4 Leaves separated,12-05-10
Oliver North,SF12,D 12CAD,Cabernet Sauvignon,7. First Petiole separated题迨,12-05-11
Oliver North,SF12,L 12CAL,Cabernet Sauvignon,4. Budburst,12-05-11
Oliver North,SF12,I 12MEI (Retired Nov. 30  2014),Merlot,4. Budburst,12-05-11
Oliver North,SF12,K 12SZK,Shiraz,4. Budburst,12-05-11
Oliver North,SF10,I 10PNI,Pinot Noir,9. 2-3 Leaves separated,12-05-11
Oliver North,SF12,C 12PNC,Pinot Noir,9. 2-3 Leaves separated,12-05-14
Oliver North,SF10,I 10PNI,Pinot Noir,9. 2-3 Leaves separated,12-05-14
Oliver North,SF12,B 12PNB,Pinot Noir,9. 2-3 Leaves separated,12-05-14
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,9. 2-3 Leaves separated,12-05-14
Oliver North,SF12,D 12CAD,Cabernet Sauvignon,9. 2-3 Leaves separated,12-05-14
Oliver North,SF10,O 10SBO,Sauvignon Blanc,9. 2-3 Leaves separated,12-05-14
Oliver North,SF12,I 12MEI (Retired Nov. 30  2014),Merlot,11. 4 Leaves separated,12-05-14
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,9. 2-3 Leaves separated,12-05-14
Oliver North,SF10,J 10MEJ,Merlot,9. 2-3 Leaves separated,12-05-14
Oliver North,SF12,A 12PNA,Pinot Noir,9. 2-3 Leaves separated,12-05-14
Oliver North,SF16,I 16SMI,Semillon,9. 2-3 Leaves separated,12-05-14
Oliver North,SF10,N 10CAN (Retired Mar.16  2016),Cabernet Sauvignon,9. 2-3 Leaves separated,12-05-14
Oliver North,SF16,A 16MUA,Muscat Ottonel,9. 2-3 Leaves separated,12-05-15
Oliver North,SF16,A 16MUA,Muscat Ottonel,9. 2-3 Leaves separated,12-05-16
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,12. Shoots 10cm,12-05-22
Oliver North,SF12,F 12RSF,Riesling,12. Shoots 10cm,12-05-22
Oliver North,SF10,T 10RST,Riesling,12. Shoots 10cm,12-05-22
Oliver North,SF10,L 10SZL (Retired Apr 2  2013),Syrah,14. 7 Leaves separated,12-06-05
Oliver North,SF10,AB 10VIAB,Viognier,14. 7 Leaves separated,12-06-06
Oliver North,SF10,Y 10SZY,Shiraz,14. 7 Leaves separated,12-06-06
Oliver North,SF10,R 10PGR (Retired Mar. 16  2016),Pinot Gris,14. 7 Leaves separated,12-06-06
Oliver North,SF10,O 10SBO,Sauvignon Blanc,14. 7 Leaves separated,12-06-06
Oliver North,SF10,P 10CHP,Chardonnay,14. 7 Leaves separated,12-06-06
Oliver North,SF10,V 10PGV,Pinot Gris,14. 7 Leaves separated,12-06-06
Oliver North,SF10,X 10PBX,Pinot Blanc,14. 7 Leaves separated,12-06-06
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,14. 7 Leaves separated,12-06-06
Oliver North,SF10,B 10SBB (Retired Apr. 1St  2015) ,Sauvignon Blanc,14. 7 Leaves separated,12-06-07
Oliver North,SF10,B 10SBB (Retired Apr. 1St  2015) ,Sauvignon Blanc,14. 7 Leaves separated,12-06-07
Oliver North,SF10,C 10PGC,Pinot Gris,14. 7 Leaves separated,12-06-07
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,14. 7 Leaves separated,12-06-07
Oliver North,SF10,C 10PGC,Pinot Gris,14. 7 Leaves separated,12-06-07
Oliver North,SF10,E 10CAE,Cabernet Sauvignon,14. 7 Leaves separated,12-06-07
Oliver North,SF10,D 10PGD,Pinot Gris,14. 7 Leaves separated,12-06-07
Oliver North,SF10,E 10CAE,Cabernet Sauvignon,14. 7 Leaves separated,12-06-07
Oliver North,SF10,P 10CHP,Chardonnay,14. 7 Leaves separated,12-06-07
Oliver North,SF10,F 10RSF,Riesling,14. 7 Leaves separated,12-06-07
Oliver North,SF10,D 10PGD,Pinot Gris,14. 7 Leaves separated,12-06-07
Oliver North,SF12,G 12SMG (Retired Mar. 16  2016),Semillon,14. 7 Leaves separated,12-06-11
Oliver North,SF12,K 12SZK,Shiraz,14. 7 Leaves separated,12-06-11
Oliver North,SF12,N 12SMN,Semillon,14. 7 Leaves separated,12-06-11
Oliver North,SF12,D 12CAD,Cabernet Sauvignon,14. 7 Leaves separated,12-06-11
Oliver North,SF12,D 12CAD,Cabernet Sauvignon,14. 7 Leaves separated,12-06-11
Oliver North,SF12,B 12PNB,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,M 12PBM,Pinot Blanc,14. 7 Leaves separated,12-06-11
Oliver North,SF12,H 12PNH (Retired Mar. 16  2016),Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,N 12SMN,Semillon,14. 7 Leaves separated,12-06-11
Oliver North,SF10,H 10PNH,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,C 12PNC,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,O 12PNO,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF10,H 10PNH,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,14. 7 Leaves separated,12-06-11
Oliver North,SF12,J 12SBJ (Retired Mar. 16  2016),Sauvignon Blanc,14. 7 Leaves separated,12-06-11
Oliver North,SF12,M 12PBM,Pinot Blanc,14. 7 Leaves separated,12-06-11
Oliver North,SF12,I 12MEI (Retired Nov. 30  2014),Merlot,14. 7 Leaves separated,12-06-11
Oliver North,SF12,J 12SBJ (Retired Mar. 16  2016),Sauvignon Blanc,14. 7 Leaves separated,12-06-11
Oliver North,SF12,A 12PNA,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,A 12PNA,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF10,G 10PNG,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,A 12PNA,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,O 12PNO,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF10,G 10PNG,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,P 12MEP (Retired Aug 21  2013),Merlot,14. 7 Leaves separated,12-06-11
Oliver North,SF12,P 12MEP (Retired Aug 21  2013),Merlot,14. 7 Leaves separated,12-06-11
Oliver North,SF12,O 12PNO,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,C 12PNC,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF10,F 10RSF,Riesling,14. 7 Leaves separated,12-06-11
Oliver North,SF12,F 12RSF,Riesling,14. 7 Leaves separated,12-06-11
Oliver North,SF12,K 12SZK,Shiraz,14. 7 Leaves separated,12-06-11
Oliver North,SF12,F 12RSF,Riesling,14. 7 Leaves separated,12-06-11
Oliver North,SF12,H 12PNH (Retired Mar. 16  2016),Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,L 12CAL,Cabernet Sauvignon,14. 7 Leaves separated,12-06-11
Oliver North,SF12,E 12SZE (Retired Apr 2  2013),Shiraz,14. 7 Leaves separated,12-06-11
Oliver North,SF12,E 12SZE (Retired Apr 2  2013),Shiraz,14. 7 Leaves separated,12-06-11
Oliver North,SF10,I 10PNI,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,L 12CAL,Cabernet Sauvignon,14. 7 Leaves separated,12-06-11
Oliver North,SF10,I 10PNI,Pinot Noir,14. 7 Leaves separated,12-06-11
Oliver North,SF12,G 12SMG (Retired Mar. 16  2016),Semillon,14. 7 Leaves separated,12-06-11
Oliver North,SF10,J 10MEJ,Merlot,14. 7 Leaves separated,12-06-11
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,14. 7 Leaves separated,12-06-11
Oliver North,SF10,J 10MEJ,Merlot,14. 7 Leaves separated,12-06-11
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,17. 12 Leaves separated,12-06-12
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,14. 7 Leaves separated,12-06-15
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,17. 12 Leaves separated,12-06-15
Oliver North,MH01,I 01CFI (Retired Apr. 1St  2015),Cabernet Franc,17. 12 Leaves separated,12-06-15
Oliver North,MH01,I 01CFI (Retired Apr. 1St  2015),Cabernet Franc,17. 12 Leaves separated,12-06-15
Oliver North,MH01,I 01CFI (Retired Apr. 1St  2015),Cabernet Franc,14. 7 Leaves separated,12-06-15
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,17. 12 Leaves separated,12-06-15
Oliver North,MH11,Y 11SBY (Retired Apr. 1St  2015),Sauvignon Blanc,17. 12 Leaves separated,12-06-15
Oliver North,MH11,X 11CHX (Retired Apr. 1St  2015),Chardonnay,17. 12 Leaves separated,12-06-15
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,17. 12 Leaves separated,12-06-15
Oliver North,MH11,Y 11SBY (Retired Apr. 1St  2015),Sauvignon Blanc,17. 12 Leaves separated,12-06-15
Oliver North,SF10,K 10CAK,Cabernet Sauvignon,17. 12 Leaves separated,12-06-15
Oliver North,MH01,I 01CFI (Retired Apr. 1St  2015),Cabernet Franc,14. 7 Leaves separated,12-06-15
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,17. 12 Leaves separated,12-06-15
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,17. 12 Leaves separated,12-06-15
Oliver North,MH01,F 01CFF (Retired Apr. 1St  2015),Cabernet Franc,17. 12 Leaves separated,12-06-15
Oliver North,MH01,F 01CFF (Retired Apr. 1St  2015),Cabernet Franc,17. 12 Leaves separated,12-06-15
Oliver North,MH01,F 01CFF (Retired Apr. 1St  2015),Cabernet Franc,14. 7 Leaves separated,12-06-15
Oliver North,MH01,F 01CFF (Retired Apr. 1St  2015),Cabernet Franc,14. 7 Leaves separated,12-06-15
Oliver North,SF10,I 10PNI,Pinot Noir,17. 12 Leaves separated,12-06-15
Oliver North,SF10,I 10PNI,Pinot Noir,17. 12 Leaves separated,12-06-15
Oliver North,SF10,H 10PNH,Pinot Noir,17. 12 Leaves separated,12-06-15
Oliver North,SF10,H 10PNH,Pinot Noir,17. 12 Leaves separated,12-06-15
Oliver North,SF10,G 10PNG,Pinot Noir,17. 12 Leaves separated,12-06-15
Oliver North,MH09,B 09PGB,Pinot Gris,17. 12 Leaves separated,12-06-15
Oliver North,MH11,V 11MEV (Retired Apr. 1St  2015),Merlot,17. 12 Leaves separated,12-06-15
Oliver North,MH11,V 11MEV (Retired Apr. 1St  2015),Merlot,17. 12 Leaves separated,12-06-15
Oliver North,MH11,X 11CHX (Retired Apr. 1St  2015),Chardonnay,17. 12 Leaves separated,12-06-15
Oliver North,MH11,U 11SBU (Retired Apr. 1St  2015),Sauvignon Blanc,17. 12 Leaves separated,12-06-15
Oliver North,MH11,Z 11MEZ (Retired Apr. 1St  2015),Merlot,17. 12 Leaves separated,12-06-15
Oliver North,MH11,W 11MEW (Retired Apr. 1St  2015),Merlot,17. 12 Leaves separated,12-06-15
Oliver North,MH11,W 11MEW (Retired Apr. 1St  2015),Merlot,17. 12 Leaves separated,12-06-15
Oliver North,MH11,Z 11MEZ (Retired Apr. 1St  2015),Merlot,17. 12 Leaves separated,12-06-15
Oliver North,MH11,Z 11MEZ (Retired Apr. 1St  2015),Merlot,17. 12 Leaves separated,12-06-15
Oliver North,MH11,Z 11MEZ (Retired Apr. 1St  2015),Merlot,17. 12 Leaves separated,12-06-15
Oliver North,MH11,S 11PBS (Retired Apr. 1St  2015),Pinot Blanc,17. 12 Leaves separated,12-06-15
Oliver North,MH11,U 11SBU (Retired Apr. 1St  2015),Sauvignon Blanc,17. 12 Leaves separated,12-06-15
Oliver North,MH11,S 11PBS (Retired Apr. 1St  2015),Pinot Blanc,17. 12 Leaves separated,12-06-15
Oliver North,MH09,D 09PGD (Retired Apr. 1St  2015),Pinot Gris,14. 7 Leaves separated,12-06-15
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,20. 10% Cap Fall,12-06-20
Oliver North,SF10,B 10SBB (Retired Apr. 1St  2015) ,Sauvignon Blanc,20. 10% Cap Fall,12-06-20
Oliver North,SF10,A 10CHA (Retired Apr. 1St  2015),Chardonnay,27. Setting,12-06-30
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,23. Full Bloom  50% Cap Fall,12-07-03
Oliver North,MH11,S 11PBS (Retired Apr. 1St  2015),Pinot Blanc,23. Full Bloom  50% Cap Fall,12-07-04
Oliver North,MH11,X 11CHX (Retired Apr. 1St  2015),Chardonnay,23. Full Bloom  50% Cap Fall,12-07-04
Oliver North,MH01,B 01CFB (Retired Apr. 1St  2015),Cabernet Franc,23. Full Bloom  50% Cap Fall,12-07-05
Oliver North,MH11,X 11CHX (Retired Apr. 1St  2015),Chardonnay,23. Full Bloom  50% Cap Fall,12-07-06
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,29. Berries 4mm,12-07-10
Oliver North,SF16,C 16SBC (Retired Sept 26 2013),Sauvignon Blanc,29. Berries 4mm,12-07-10
Oliver North,SF12,P 12MEP (Retired Aug 21  2013),Merlot,29. Berries 4mm,12-07-11
Oliver North,SF12,P 12MEP (Retired Aug 21  2013),Merlot,27. Setting,12-07-11
Oliver North,SF10,Q 10CHQ (Retired Apr. 1St  2015),Chardonnay,27. Setting,12-07-11
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,2. Budswell,13-04-08
Oliver North,MH04,C 04CFC (Retired Apr. 1St  2015),Cabernet Franc,2. Budswell,13-04-08
Oliver North,MH11,L 11CFL (Retired Apr. 1St  2015),Cabernet Franc,2. Budswell,13-04-08
Oliver North,SF10,L 10SZL (Retired Aug 21  2013),Shiraz,2. Budswell,13-04-08
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,11. 4 Leaves separated,13-05-08
Oliver North,SF16,K 16SZK (Retired Apr. 1St  2015),Shiraz,11. 4 Leaves separated,13-05-08
Oliver North,SF16,L 16SZL,Shiraz,11. 4 Leaves separated,13-05-08
Oliver North,SF16,J 16CAJ,Cabernet Sauvignon,13. 6 Leaves separated,13-05-17
Oliver North,MH11,O 11CHO (Retired Apr. 1St  2015),Chardonnay,26. Cap Fall Complete,13-06-19
Oliver North,SF10,AB 10VIAB,Viognier,26. Cap Fall Complete,13-06-19
Oliver North,MH11,K 11GAK (Retired Apr. 1St  2015),Gamay Noir,26. Cap Fall Complete,13-06-19
