NK_MIP,A,Merlot,08-Jun,,05-Jun,,,,,,,,,,,,,,,,06-Jun,
NK_MIP,B,Cabernet Sauvignon,03-Jun,,05-Jun,,,,,,,,,,,,,,,,04-Jun,
NK_MIP,C,Shiraz,07-Jun,,05-Jun,,,,,,,,,,,,,,,,06-Jun,
NK_MIP,D,Cabernet Franc,07-Jun,,06-Jun,,,,,,,,,,,,,,,,06-Jun,
NK_MIP,E,Merlot,03-Jun,,01-Jun,08-Jun,17-Jun,15-Jun,26-Jun,02-Jul,27-Jun,,,,,,,,,,16-Jun,
NK_MIP,F,Shiraz,03-Jun,,30-May,02-Jun,12-Jun,12-Jun,25-Jun,28-Jun,24-Jun,,,,,,,,,,13-Jun,
NK_MIP,G,Merlot,07-Jun,,01-Jun,08-Jun,15-Jun,13-Jun,27-Jun,30-Jun,24-Jun,,,,,,,,,,15-Jun,
Perfect Hedge,A,Viognier,07-Jun,,01-Jun,08-Jun,17-Jun,12-Jun,27-Jun,01-Jul,24-Jun,,,,,,,,,,15-Jun,
Perfect Hedge,B,Malbec,03-Jun,,30-May,01-Jun,11-Jun,11-Jun,25-Jun,29-Jun,24-Jun,,,,,,,,,,12-Jun,
Perfect Hedge,C,Shiraz,08-Jun,,30-May,01-Jun,15-Jun,12-Jun,25-Jun,28-Jun,24-Jun,,,,,,,,,,14-Jun,
Perfect Hedge,D,Merlot,03-Jun,,31-May,05-Jun,15-Jun,13-Jun,25-Jun,01-Jul,25-Jun,,,,,,,,,,14-Jun,
Perfect Hedge,E,Cabernet Sauvignon,08-Jun,,31-May,05-Jun,15-Jun,13-Jun,25-Jun,01-Jul,25-Jun,,,,,,,,,,15-Jun,
Plut,A,Chardonnay,08-Jun,,30-May,01-Jun,12-Jun,12-Jun,25-Jun,29-Jun,24-Jun,,,,,,,,,,13-Jun,
Plut,B,Pinot Gris,07-Jun,,31-May,08-Jun,14-Jun,13-Jun,27-Jun,30-Jun,23-Jun,,,,,,,,,,15-Jun,
Plut,C,Malbec,07-Jun,,30-May,01-Jun,12-Jun,13-Jun,25-Jun,30-Jun,24-Jun,,,,,,,,,,13-Jun,
Plut,D,Petit Verdot,08-Jun,,01-Jun,08-Jun,17-Jun,16-Jun,29-Jun,01-Jul,30-Jun,,,,,,,,,,17-Jun,
Plut,G,Merlot,08-Jun,,01-Jun,08-Jun,17-Jun,16-Jun,29-Jun,20-Jun,29-Jun,,,,,,,,,,16-Jun,
Plut,H,Merlot,08-Jun,,31-May,05-Jun,13-Jun,13-Jun,29-Jun,29-Jun,23-Jun,,,,,,,,,,15-Jun,
Sumac,A,Gewurtztraminer,03-Jun,,31-May,05-Jun,13-Jun,13-Jun,29-Jun,29-Jun,23-Jun,,,,,,,,,,14-Jun,
Sumac,B,Gewurtztraminer,07-Jun,,02-Jun,07-Jun,16-Jun,12-Jun,29-Jun,02-Jul,,,,,,,,,,,15-Jun,
Sumac,C,Riesling,,,02-Jun,07-Jun,14-Jun,15-Jun,29-Jun,03-Jul,,,,,,,,,,,16-Jun,
Sumac,D,Pinot Noir,05-Jun,,02-Jun,07-Jun,17-Jun,13-Jun,29-Jun,06-Jul,,,,,,,,,,,15-Jun,
Thomas,A,Viognier,,,30-May,01-Jun,12-Jun,13-Jun,25-Jun,29-Jun,24-Jun,,,,,,,,,,14-Jun,
Thomas,B,Chardonnay,02-Jun,21-Jun,31-May,03-Jun,13-Jun,18-Jun,23-Jun,30-Jun,27-Jun,16-Jun,23-Jun,16-Jun,11-Jun,17-Jun,16-Jun,16-Jun,20-Jun,,16-Jun,
Thomas,C,Pinot Gris,05-Jun,21-Jun,27-May,02-Jun,10-Jun,15-Jun,,,,16-Jun,23-Jun,16-Jun,11-Jun,17-Jun,16-Jun,16-Jun,20-Jun,,13-Jun,
Thomas,D,Pinot Gris,,13-Jun,27-May,30-May,09-Jun,07-Jun,22-Jun,25-Jun,23-Jun,08-Jun,20-Jun,06-Jun,08-Jun,05-Jun,10-Jun,15-Jun,,,11-Jun,
Thomas,E,Chardonnay,06-Jun,20-Jun,30-May,02-Jun,13-Jun,12-Jun,25-Jun,30-Jun,26-Jun,12-Jun,23-Jun,08-Jun,08-Jun,13-Jun,05-Jun,15-Jun,,,13-Jun,
Thomas,F,Chardonnay,01-Jun,20-Jun,30-May,01-Jun,13-Jun,12-Jun,25-Jun,28-Jun,26-Jun,12-Jun,23-Jun,08-Jun,08-Jun,13-Jun,05-Jun,15-Jun,,,13-Jun,
Thomas,G,Pinot Gris,05-Jun,15-Jun,31-May,01-Jun,11-Jun,12-Jun,23-Jun,27-Jun,26-Jun,10-Jun,19-Jun,10-Jun,11-Jun,09-Jun,10-Jun,,,,12-Jun,
Thomas,H,Pinot Gris,02-Jun,15-Jun,31-May,01-Jun,11-Jun,12-Jun,22-Jun,28-Jun,26-Jun,10-Jun,23-Jun,10-Jun,11-Jun,09-Jun,10-Jun,,,,12-Jun,
Thomas,I,Chardonnay,04-Jun,17-Jun,31-May,31-May,10-Jun,12-Jun,23-Jun,30-Jun,26-Jun,10-Jun,20-Jun,07-Jun,11-Jun,06-Jun,04-Jun,,,,12-Jun,
Thomas,J,Pinot Gris,06-Jun,17-Jun,01-Jun,30-May,10-Jun,07-Jun,23-Jun,24-Jun,26-Jun,10-Jun,19-Jun,05-Jun,08-Jun,09-Jun,04-Jun,15-Jun,,,11-Jun,
Thomas,L,Chardonnay,06-Jun,20-Jun,01-Jun,01-Jun,17-Jun,17-Jun,26-Jun,30-Jun,25-Jun,16-Jun,23-Jun,15-Jun,11-Jun,16-Jun,10-Jun,18-Jun,,,15-Jun,
Thomas,M,Viognier,05-Jun,20-Jun,31-May,03-Jun,16-Jun,11-Jun,25-Jun,30-Jun,26-Jun,16-Jun,19-Jun,10-Jun,08-Jun,13-Jun,04-Jun,17-Jun,,,13-Jun,
Thomas,N,Viognier,05-Jun,15-Jun,01-Jun,01-Jun,17-Jun,10-Jun,24-Jun,30-Jun,24-Jun,10-Jun,30-Jun,15-Jun,11-Jun,16-Jun,10-Jun,18-Jun,,,14-Jun,
Thomas,O,Pinot Gris,06-Jun,18-Jun,31-May,31-May,11-Jun,18-Jun,25-Jun,30-Jun,24-Jun,16-Jun,30-Jun,15-Jun,11-Jun,16-Jun,10-Jun,18-Jun,,,15-Jun,
Thomas,P,Pinot Gris,04-Jun,21-Jun,01-Jun,03-Jun,17-Jun,18-Jun,27-Jun,01-Jul,26-Jun,16-Jun,23-Jun,15-Jun,11-Jun,16-Jun,10-Jun,18-Jun,,,16-Jun,
Thomas,Q,Pinot Gris,02-Jun,18-Jun,27-May,31-May,12-Jun,17-Jun,27-Jun,30-Jun,26-Jun,16-Jun,22-Jun,13-Jun,08-Jun,11-Jun,05-Jun,,,,13-Jun,
Thomas,R,Pinot Noir,16-Jun,18-Jun,31-May,05-Jun,13-Jun,17-Jun,27-Jun,,,,,,,,,,,,13-Jun,
Thomas,S,Pinot Gris,18-Jun,22-Jun,27-May,05-Jun,15-Jun,16-Jun,27-Jun,,,16-Jun,21-Jun,18-Jun,08-Jun,16-Jun,06-Jun,,,,14-Jun,
Thomas ,K,Chardonnay,16-Jun,16-Jun,27-May,28-May,07-Jun,12-Jun,20-Jun,,,10-Jun,,,,,,,,,09-Jun,
Whitetail,A,Semillon,16-Jun,14-Jun,31-May,31-May,10-Jun,15-Jun,27-Jun,27-Jun,22-Jun,10-Jun,19-Jun,07-Jun,08-Jun,07-Jun,06-Jun,,,,12-Jun,
Whitetail,B,Riesling,,,,,,,,27-Jun,27-Jun,,20-Jun,10-Jun,08-Jun,,,,,,18-Jun,
Whitetail,C,Chardonnay,,,,,,,,20-Jun,19-Jun,,15-Jun,07-Jun,06-Jun,,,,,,13-Jun,
Whitetail,D,Sauvignon Blanc,,,,,,,,20-Jun,19-Jun,,15-Jun,07-Jun,07-Jun,,,,,,13-Jun,
Whitetail,E,Sauvignon Blanc,,,,,,,,28-Jun,22-Jun,,10-Jun,07-Jun,07-Jun,,,,,,14-Jun,
Whitetail,F,Cabernet Sauvignon,,,,,,,,,,,16-Jun,,,,,,,,16-Jun,
Whitetail,G,Merlot,,,,,,,,,,,,,,,,,18-Jun,15-Jun,16-Jun,
Whitetail,H,Pinotage,,,,,,,,,,,,,,,,,19-Jun,19-Jun,19-Jun,
Whitetail,I,Gewurtztraminer,,,,,,,,,,,,,,,,,19-Jun,19-Jun,19-Jun,
Whitetail,J,Riesling,,,,,,,,,,,,,,,,,19-Jun,19-Jun,19-Jun,
Whitetail,K,Gewurtztraminer,,,,,,,,,,,,,,,,,19-Jun,21-Jun,20-Jun,
Whitetail,L_Bottom,Riesling,,,,,,,,,,,,,,,,,19-Jun,21-Jun,20-Jun,
Whitetail,L_Top,Riesling,,,,,,,,,,,,,,,,,19-Jun,23-Jun,21-Jun,
Whitetail,M,Riesling,,,,,,,,,,,,,,,,,15-Jun,,15-Jun,
Whitetail,N,Pinot Blanc,,,,,,,,,,,,,,,,,15-Jun,,15-Jun,
Whitetail,N2,Vidal,,,,,,,,,,,,,,,,,16-Jun,,16-Jun,
Whitetail,O,Vidal,,,,,,,,,,,,,,,,,16-Jun,,16-Jun,
Whitetail,OIB,Chardonnay,,,,,,,,,,,,,,,,,16-Jun,,16-Jun,
Whitetail,P,Pinot Gris,,,,,,,,,,,,,,,,,16-Jun,,16-Jun,
