BSV1,4G,Cabernet Franc,02-Jun,13-Jun,27-May,02-Jun,09-Jun,07-Jun,18-Jun,18-Jun,23-Jun,,,,,,,,,,09-Jun,
BSV1,5A,Merlot,02-Jun,16-Jun,30-May,31-May,08-Jun,09-Jun,22-Jun,25-Jun,26-Jun,,,,,,,,,,11-Jun,
BSV1,5B1,Malbec,04-Jun,,31-May,03-Jun,11-Jun,,18-Jun,22-Jun,22-Jun,,,,,,,,,,11-Jun,
BSV1,5B2,Zinfandel,09-Jun,,27-May,06-Jun,11-Jun,,18-Jun,22-Jun,22-Jun,,,,,,,,,,12-Jun,
BSV1,5B3,Tempranillo,07-Jun,,04-Jun,01-Jun,07-Jun,,18-Jun,22-Jun,22-Jun,,,,,,,,,,11-Jun,
BSV1,5C,Chardonnay,01-Jun,13-Jun,29-May,30-May,08-Jun,06-Jun,18-Jun,22-Jun,22-Jun,,,,,,,,,,09-Jun,
BSV2,A,Shiraz,09-Jun,17-Jun,01-Jun,31-May,15-Jun,10-Jun,23-Jun,30-Jun,30-Jun,,22-Jun,12-Jun,,,,,,,15-Jun,
BSV2,A2,Cabernet Franc,03-Jun,13-Jun,24-May,31-May,09-Jun,10-Jun,,,,,,,,,,,,,04-Jun,
BSV2,B,Merlot,30-May,14-Jun,25-May,27-May,10-Jun,10-Jun,20-Jun,22-Jun,29-Jun,,20-Jun,10-Jun,,,,,,,11-Jun,
BSV2,C,Shiraz,09-Jun,17-Jun,01-Jun,03-Jun,17-Jun,15-Jun,23-Jun,28-Jun,26-Jun,,22-Jun,12-Jun,,,,,,,15-Jun,
BSV2,D,Cabernet Sauvignon,02-Jun,15-Jun,26-May,31-May,11-Jun,10-Jun,22-Jun,22-Jun,25-Jun,,22-Jun,15-Jun,,,,,,,12-Jun,
BSV2,E,Merlot,31-May,14-Jun,27-May,27-May,10-Jun,10-Jun,20-Jun,24-Jun,29-Jun,,20-Jun,12-Jun,,,,,,,11-Jun,
Bullpine,A,Merlot,07-Jun,13-Jun,31-May,02-Jun,,10-Jun,21-Jun,26-Jun,21-Jun,11-Jun,18-Jun,11-Jun,13-Jun,03-Jun,07-Jun,14-Jun,18-Jun,17-Jun,12-Jun,
Bullpine,B,Merlot,04-Jun,13-Jun,27-May,02-Jun,,10-Jun,19-Jun,27-Jun,20-Jun,11-Jun,17-Jun,08-Jun,10-Jun,03-Jun,07-Jun,14-Jun,18-Jun,17-Jun,11-Jun,
